ibge,siglauf,anomes,qtd_ben_bas,qtd_ben_var,qtd_ben_bvj,qtd_ben_bvn,qtd_ben_bvg,qtd_ben_bsp
110001,RO,202001,1173,2416,220,43,57,234
110001,RO,202002,1153,2365,234,35,47,239
110001,RO,202003,1143,2378,241,37,48,230
110001,RO,202004,1158,2396,252,39,45,231
110001,RO,202005,1163,2375,264,36,55,234
110001,RO,202006,1162,2380,264,31,44,236
110001,RO,202007,1315,2377,264,20,39,236
110001,RO,202008,1315,2377,264,19,31,236
110001,RO,202009,1327,2345,308,19,42,242
110001,RO,202010,1336,2345,308,12,38,243
110001,RO,202011,1337,2345,308,10,29,244
110001,RO,202012,1337,2345,308,10,28,244
110002,RO,202001,2375,5939,527,106,140,426
110002,RO,202002,2379,5925,559,90,118,424
110002,RO,202003,2478,6280,590,110,132,461
110002,RO,202004,2529,6343,620,114,127,451
110002,RO,202005,2528,6292,666,101,151,445
110002,RO,202006,2544,6299,666,89,103,447
110002,RO,202007,2977,6302,666,50,85,447
110002,RO,202008,2977,6302,666,45,76,449
110002,RO,202009,3014,6219,769,41,138,460
110002,RO,202010,3022,6220,769,26,126,459
110002,RO,202011,3027,6221,769,24,113,461
110002,RO,202012,3027,6222,769,24,99,461
110003,RO,202001,102,302,23,3,7,39
110003,RO,202002,105,305,26,3,3,40
110003,RO,202003,106,302,28,4,4,42
110003,RO,202004,108,304,28,4,3,43
110003,RO,202005,108,303,29,3,6,44
110003,RO,202006,109,303,29,2,4,45
110003,RO,202007,156,303,29,1,4,45
110003,RO,202008,156,303,29,1,4,45
110003,RO,202009,155,297,32,,4,43
110003,RO,202010,156,297,32,0,4,43
110003,RO,202011,156,297,32,0,4,43
110003,RO,202012,156,297,32,0,3,43
110004,RO,202001,1942,4711,439,86,117,809
110004,RO,202002,1932,4694,459,85,112,811
110004,RO,202003,2001,4783,484,101,104,847
110004,RO,202004,2104,4892,523,109,99,897
110004,RO,202005,2117,4867,559,92,134,896
110004,RO,202006,2122,4857,559,86,117,896
110004,RO,202007,2479,4862,559,52,101,897
110004,RO,202008,2479,4863,559,44,97,899
110004,RO,202009,2494,4762,665,27,138,892
110004,RO,202010,2497,4766,665,7,118,894
110004,RO,202011,2500,4768,665,6,103,896
110004,RO,202012,2500,4768,665,6,99,896
110005,RO,202001,479,1152,106,11,34,37
110005,RO,202002,480,1133,112,8,30,37
110005,RO,202003,482,1132,115,17,28,38
110005,RO,202004,502,1169,118,28,31,40
110005,RO,202005,501,1150,133,25,34,39
110005,RO,202006,500,1150,133,22,21,39
110005,RO,202007,567,1150,133,21,19,39
110005,RO,202008,567,1150,133,18,15,39
110005,RO,202009,570,1142,153,14,21,40
110005,RO,202010,570,1143,153,6,20,40
110005,RO,202011,572,1143,153,5,18,41
110005,RO,202012,572,1143,153,5,16,41
110006,RO,202001,211,572,67,12,22,67
110006,RO,202002,210,568,70,12,18,66
110006,RO,202003,223,576,74,11,21,69
110006,RO,202004,232,593,74,11,22,73
110006,RO,202005,232,583,82,10,24,74
110006,RO,202006,232,584,82,6,19,74
110006,RO,202007,306,584,82,2,15,74
110006,RO,202008,306,584,82,2,14,74
110006,RO,202009,307,585,87,10,17,67
110006,RO,202010,307,585,87,8,14,67
110006,RO,202011,307,585,87,8,13,67
110006,RO,202012,307,585,87,8,9,67
110007,RO,202001,269,627,81,9,25,15
110007,RO,202002,267,623,85,8,21,15
110007,RO,202003,257,606,87,9,19,14
110007,RO,202004,262,616,87,13,19,11
110007,RO,202005,261,608,93,12,20,11
110007,RO,202006,263,608,93,9,11,11
110007,RO,202007,338,609,93,7,9,11
110007,RO,202008,338,609,93,7,5,11
110007,RO,202009,338,597,103,4,9,10
110007,RO,202010,338,597,103,0,7,10
110007,RO,202011,338,597,103,0,7,10
110007,RO,202012,338,597,103,0,7,10
110008,RO,202001,1480,2470,325,40,85,415
110008,RO,202002,1474,2467,337,28,84,413
110008,RO,202003,1455,2437,339,23,83,416
110008,RO,202004,1592,2594,355,27,67,426
110008,RO,202005,1599,2579,368,26,73,423
110008,RO,202006,1602,2580,368,22,58,423
110008,RO,202007,1659,2582,368,16,46,426
