ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
310980,201407,107,18896.0
310990,201407,571,89962.0
311000,201407,1842,265441.0
311010,201407,421,65366.0
311020,201407,428,68289.0
311030,201407,600,74071.0
311040,201407,193,23984.0
311050,201407,1022,160203.0
311060,201407,617,93541.0
311070,201407,649,104790.0
311080,201407,487,96821.0
311090,201407,824,125475.0
311100,201407,1013,132749.0
311110,201407,1507,230902.0
311115,201407,670,132400.0
311120,201407,2913,392216.0
311130,201407,900,156619.0
311140,201407,448,97150.0
311150,201407,778,156094.0
311160,201407,1929,268285.0
311170,201407,397,53021.0
311180,201407,351,47073.0
311190,201407,432,58494.0
311200,201407,896,112042.0
311205,201407,520,88703.0
311210,201407,619,102272.0
311220,201407,397,54883.0
311230,201407,4427,700516.0
311240,201407,496,72783.0
311250,201407,316,50280.0
311260,201407,844,112722.0
311265,201407,743,126406.0
311270,201407,2026,416371.0
311280,201407,328,50148.0
311290,201407,1467,231233.0
311300,201407,3067,570596.0
311310,201407,281,47206.0
311320,201407,2069,321899.0
311330,201407,2503,354768.0
311340,201407,6065,850420.0
311350,201407,1034,165382.0
311360,201407,467,65024.0
311370,201407,1827,282163.0
311380,201407,182,29207.0
311390,201407,928,155098.0
311400,201407,619,106911.0
311410,201407,1132,193482.0
311420,201407,657,86272.0
311430,201407,1171,162787.0
311440,201407,879,120161.0
311450,201407,750,111382.0
311455,201407,558,92289.0
311460,201407,202,31858.0
311470,201407,195,31444.0
311480,201407,492,59421.0
311490,201407,119,19285.0
311500,201407,133,21560.0
311510,201407,902,127305.0
311520,201407,350,44466.0
311530,201407,3745,462818.0
311535,201407,219,29093.0
311540,201407,446,65645.0
311545,201407,1340,291768.0
311547,201407,920,156428.0
311550,201407,1304,186305.0
311560,201407,114,17110.0
311570,201407,1106,215167.0
311580,201407,943,127608.0
311590,201407,232,32587.0
311600,201407,704,97248.0
311610,201407,1914,296907.0
311615,201407,1609,365321.0
311620,201407,193,36423.0
311630,201407,847,115295.0
311640,201407,377,69567.0
311650,201407,1093,233044.0
311660,201407,756,105367.0
311670,201407,761,102343.0
311680,201407,1323,225536.0
311690,201407,215,49823.0
311700,201407,1442,287596.0
311710,201407,634,81066.0
311720,201407,276,37991.0
311730,201407,1258,196738.0
311740,201407,563,74777.0
311750,201407,2312,455858.0
311760,201407,285,49838.0
311770,201407,908,146237.0
311780,201407,410,61733.0
311783,201407,1193,292628.0
311787,201407,259,42450.0
311790,201407,399,59464.0
311800,201407,1220,174297.0
311810,201407,814,207218.0
311820,201407,258,40603.0
311830,201407,2732,371910.0
311840,201407,1709,244094.0
311850,201407,164,22874.0
311860,201407,23366,3647841.0
311870,201407,827,123864.0
311880,201407,4497,765322.0
311890,201407,551,81044.0
311900,201407,336,57948.0
311910,201407,2225,328445.0
311920,201407,1240,276353.0
311930,201407,1427,187646.0
311940,201407,4990,657394.0
311950,201407,1541,282866.0
311960,201407,159,27183.0
311970,201407,90,16748.0
311980,201407,262,41687.0
311990,201407,210,25387.0
311995,201407,199,32450.0
312000,201407,385,69217.0
312010,201407,512,88043.0
312015,201407,948,169497.0
312020,201407,404,74413.0
312030,201407,1116,240850.0
312040,201407,333,50002.0
312050,201407,704,101542.0
312060,201407,453,56296.0
312070,201407,286,49379.0
312080,201407,1239,184660.0
312083,201407,495,91883.0
312087,201407,1300,222027.0
312090,201407,4587,713221.0
312100,201407,650,110238.0
312110,201407,433,56433.0
312120,201407,278,38860.0
312125,201407,504,93099.0
312130,201407,283,45671.0
312140,201407,423,55481.0
312150,201407,345,49687.0
312160,201407,3421,507489.0
312170,201407,620,92418.0
312180,201407,736,101999.0
312190,201407,204,28680.0
312200,201407,2952,578759.0
312210,201407,473,71436.0
312220,201407,977,225024.0
312230,201407,3093,413509.0
312235,201407,889,139238.0
312240,201407,274,49816.0
312245,201407,1493,310589.0
312247,201407,414,56059.0
312250,201407,475,83530.0
312260,201407,526,96497.0
312270,201407,307,48980.0
312280,201407,147,18334.0
312290,201407,292,39812.0
312300,201407,216,26607.0
312310,201407,511,82782.0
312320,201407,780,104376.0
312330,201407,607,87749.0
312340,201407,149,29156.0
312350,201407,154,25823.0
312352,201407,839,133074.0
312360,201407,1216,182644.0
312370,201407,1047,148167.0
312380,201407,977,185475.0
312385,201407,752,110963.0
312390,201407,1039,140400.0
312400,201407,1662,217851.0
312410,201407,4693,761499.0
312420,201407,2610,370351.0
312430,201407,4674,729839.0
312440,201407,274,41775.0
312450,201407,440,54547.0
312460,201407,207,30574.0
312470,201407,180,24435.0
312480,201407,491,79690.0
312490,201407,1029,175277.0
312500,201407,331,61364.0
312510,201407,780,142467.0
312520,201407,102,14563.0
312530,201407,355,68562.0
312540,201407,806,114215.0
312550,201407,412,85890.0
312560,201407,1185,244879.0
312570,201407,1245,185527.0
312580,201407,275,45225.0
312590,201407,870,110230.0
312595,201407,1046,156144.0
312600,201407,303,62215.0
312610,201407,2171,316150.0
312620,201407,1212,225043.0
312630,201407,161,24252.0
312640,201407,224,38370.0
312650,201407,1048,141556.0
312660,201407,767,129992.0
312670,201407,3373,470989.0
312675,201407,820,143720.0
312680,201407,925,180732.0
312690,201407,1185,202999.0
312695,201407,604,105190.0
312700,201407,917,165775.0
312705,201407,841,152339.0
312707,201407,984,183440.0
312710,201407,1661,206052.0
312720,201407,383,58382.0
312730,201407,843,124287.0
312733,201407,941,168006.0
312735,201407,426,59420.0
312737,201407,449,63791.0
312738,201407,190,30374.0
312740,201407,155,22402.0
312750,201407,675,116290.0
312760,201407,782,105641.0
312770,201407,16621,2381447.0
312780,201407,1580,285020.0
312790,201407,76,9630.0
312800,201407,2149,333248.0
312810,201407,915,121216.0
312820,201407,1309,212131.0
312825,201407,756,140004.0
312830,201407,730,100575.0
312840,201407,626,118081.0
312850,201407,293,45864.0
312860,201407,445,66241.0
312870,201407,1881,307103.0
312880,201407,465,91449.0
312890,201407,529,78255.0
312900,201407,755,123365.0
312910,201407,475,63132.0
312920,201407,457,66711.0
312930,201407,1263,163549.0
312940,201407,414,53090.0
312950,201407,1552,238369.0
312960,201407,1244,203906.0
312965,201407,1053,178484.0
312970,201407,403,53134.0
312980,201407,8049,1131337.0
312990,201407,190,26866.0
313000,201407,261,41315.0
313005,201407,1639,275289.0
313010,201407,1771,303942.0
313020,201407,330,45591.0
313030,201407,451,70986.0
313040,201407,306,48460.0
313050,201407,868,133930.0
313055,201407,1081,153973.0
313060,201407,300,34214.0
313065,201407,1186,229863.0
313070,201407,474,75286.0
313080,201407,164,26062.0
313090,201407,3297,435350.0
313100,201407,471,99078.0
313110,201407,739,116082.0
313115,201407,1445,216908.0
313120,201407,1951,280498.0
313130,201407,11072,1658217.0
313140,201407,282,52551.0
313150,201407,640,78898.0
313160,201407,404,83316.0
313170,201407,2697,394317.0
313180,201407,1262,176302.0
313190,201407,1234,228342.0
313200,201407,764,152530.0
313210,201407,2514,494045.0
313220,201407,514,67599.0
313230,201407,1611,334264.0
313240,201407,2782,470878.0
313250,201407,4368,719906.0
313260,201407,224,32726.0
313270,201407,3389,638350.0
313280,201407,184,27571.0
313290,201407,428,69172.0
313300,201407,652,86109.0
313310,201407,361,49239.0
313320,201407,1046,144254.0
313330,201407,2326,419152.0
313340,201407,779,114271.0
313350,201407,1165,148093.0
313360,201407,558,86447.0
313370,201407,650,117824.0
313375,201407,617,84999.0
313380,201407,1718,252857.0
313390,201407,595,120500.0
313400,201407,2390,461456.0
313410,201407,701,99586.0
313420,201407,3936,526373.0
313430,201407,412,65294.0
313440,201407,1475,315201.0
313450,201407,234,36276.0
313460,201407,1137,169075.0
313470,201407,2023,389660.0
313480,201407,388,55642.0
313490,201407,404,65602.0
313500,201407,209,35620.0
313505,201407,4552,1083864.0
313507,201407,734,140048.0
313510,201407,8542,1437669.0
313520,201407,8885,1738984.0
313530,201407,185,38258.0
313535,201407,1500,245639.0
313540,201407,405,52173.0
313545,201407,876,159563.0
313550,201407,1084,163535.0
313560,201407,1287,199891.0
313570,201407,444,65602.0
313580,201407,3678,680367.0
313590,201407,504,71933.0
313600,201407,2468,447655.0
313610,201407,513,73375.0
313620,201407,2121,333153.0
313630,201407,3132,501929.0
313640,201407,320,49461.0
313650,201407,1390,294938.0
313652,201407,529,115198.0
313655,201407,540,92864.0
313657,201407,806,148698.0
313660,201407,467,74900.0
313665,201407,1654,294899.0
313670,201407,15532,2371268.0
313680,201407,572,119852.0
313690,201407,318,55058.0
313695,201407,830,152760.0
313700,201407,2419,481341.0
313710,201407,573,77927.0
313720,201407,1967,313267.0
313730,201407,594,103930.0
313740,201407,617,76582.0
313750,201407,879,123391.0
313753,201407,794,123545.0
313760,201407,2260,319858.0
313770,201407,2002,280050.0
313780,201407,1518,260860.0
313790,201407,370,54333.0
313800,201407,582,92353.0
313810,201407,863,191399.0
313820,201407,4028,684880.0
