ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado,qtd_familias_beneficiarias_bolsa_familia_ajustado
2012,AC,Acre,804256.0,131235840.0,163.18,361.93,67021.0
2012,AL,Alagoas,5153923.0,684449448.0,132.8,294.55,429494.0
2012,AM,Amazonas,3883747.0,592418676.0,152.54,338.33,323646.0
2012,AP,Amapá,627418.0,97187278.0,154.9,343.57,52285.0
2012,BA,Bahia,21325395.0,2745399558.0,128.74,285.55,1777116.0
2012,CE,Ceará,13068781.0,1682212386.0,128.72,285.5,1089065.0
2012,DF,Distrito Federal,1049007.0,117744390.0,112.24,248.95,87417.0
2012,ES,Espírito Santo,2340001.0,287678836.0,122.94,272.68,195000.0
2012,GO,Goiás,4070569.0,503670231.0,123.73,274.43,339214.0
2012,MA,Maranhão,11250308.0,1587398372.0,141.1,312.96,937526.0
2012,MG,Minas Gerais,14032413.0,1748030913.0,124.57,276.3,1169368.0
2012,MS,Mato Grosso do Sul,1651648.0,213096228.0,129.02,286.17,137637.0
2012,MT,Mato Grosso,2132458.0,270874506.0,127.02,281.73,177705.0
2012,PA,Pará,9554691.0,1374529852.0,143.86,319.08,796224.0
2012,PB,Paraíba,5967579.0,773695346.0,129.65,287.56,497298.0
2012,PE,Pernambuco,13591239.0,1726095580.0,127.0,281.69,1132603.0
2012,PI,Piauí,5375907.0,711762091.0,132.4,293.66,447992.0
2012,PR,Paraná,5288032.0,634769161.0,120.04,266.25,440669.0
2012,RJ,Rio de Janeiro,9157405.0,1161814934.0,126.87,281.4,763117.0
2012,RN,Rio Grande do Norte,4281259.0,543066280.0,126.85,281.35,356772.0
2012,RO,Rondônia,1379379.0,181188534.0,131.36,291.36,114948.0
2012,RR,Roraima,557144.0,82008674.0,147.19,326.47,46429.0
2012,RS,Rio Grande do Sul,5443774.0,680500672.0,125.01,277.27,453648.0
2012,SC,Santa Catarina,1700608.0,213981658.0,125.83,279.09,141717.0
2012,SE,Sergipe,3144356.0,407888109.0,129.72,287.72,262030.0
2012,SP,São Paulo,14645039.0,1785146440.0,121.89,270.35,1220420.0
2012,TO,Tocantins,1624829.0,218900702.0,134.72,298.81,135402.0
