ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado
2009,AC,Acre,706567.00,70480788.00,99.75,220.64
2009,AL,Alagoas,4547256.00,418051447.00,91.93,203.34
2009,AM,Amazonas,2945990.00,297805814.00,101.09,223.60
2009,AP,Amapá,512073.00,52577974.00,102.68,227.12
2009,BA,Bahia,18079315.00,1663238830.00,92.00,203.50
2009,CE,Ceará,11048930.00,1008130971.00,91.24,201.81
2009,DF,Distrito Federal,941735.00,74411196.00,79.02,174.78
2009,ES,Espírito Santo,2227324.00,180269180.00,80.94,179.03
2009,GO,Goiás,3410343.00,271603489.00,79.64,176.16
2009,MA,Maranhão,9561232.00,943841215.00,98.72,218.36
2009,MG,Minas Gerais,12933853.00,1046437741.00,80.91,178.97
2009,MS,Mato Grosso do Sul,1424309.00,116685417.00,81.92,181.20
2009,MT,Mato Grosso,1778915.00,145158195.00,81.60,180.49
2009,PA,Pará,7090919.00,714241108.00,100.73,222.80
2009,PB,Paraíba,5202232.00,477101969.00,91.71,202.85
2009,PE,Pernambuco,11650969.00,1062895529.00,91.23,201.79
2009,PI,Piauí,4645575.00,433021424.00,93.21,206.17
2009,PR,Paraná,5340957.00,404945234.00,75.82,167.71
2009,RJ,Rio de Janeiro,7240113.00,617267928.00,85.26,188.59
2009,RN,Rio Grande do Norte,3746466.00,330812114.00,88.30,195.31
2009,RO,Rondônia,1293718.00,117490447.00,90.82,200.88
2009,RR,Roraima,472594.00,48064116.00,101.70,224.95
2009,RS,Rio Grande do Sul,5154910.00,425434593.00,82.53,182.55
2009,SC,Santa Catarina,1678017.00,130377682.00,77.70,171.86
2009,SE,Sergipe,2413736.00,228065256.00,94.49,209.00
2009,SP,São Paulo,13364122.00,1055782881.00,79.00,174.74
2009,TO,Tocantins,1364402.00,120509963.00,88.32,195.36
