ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado,qtd_familias_beneficiarias_bolsa_familia_ajustado
2016,AC,Acre,1006410,247542727.0,245.97,349.9,83868.0
2016,AL,Alagoas,4804250,853968339.0,177.75,252.85,400354.0
2016,AM,Amazonas,4448472,948077427.0,213.12,303.17,370706.0
2016,AP,Amapá,753430,150755264.0,200.09,284.63,62786.0
2016,BA,Bahia,21860928,3775541552.0,172.71,245.68,1821744.0
2016,CE,Ceará,12651300,2148374535.0,169.81,241.56,1054275.0
2016,DF,Distrito Federal,1008830,150499707.0,149.18,212.21,84069.0
2016,ES,Espírito Santo,2206314,337111276.0,152.79,217.35,183860.0
2016,GO,Goiás,3818427,573519217.0,150.2,213.66,318202.0
2016,MA,Maranhão,11568133,2313161106.0,199.96,284.45,964011.0
2016,MG,Minas Gerais,13067982,2086034173.0,159.63,227.08,1088998.0
2016,MS,Mato Grosso do Sul,1644761,270769971.0,164.63,234.19,137063.0
2016,MT,Mato Grosso,2062543,324306460.0,157.24,223.68,171879.0
2016,PA,Pará,10904201,2085567476.0,191.26,272.07,908683.0
2016,PB,Paraíba,6220368,1157053660.0,186.01,264.6,518364.0
2016,PE,Pernambuco,13512460,2284309513.0,169.05,240.48,1126038.0
2016,PI,Piauí,5392156,1052950326.0,195.27,277.78,449346.0
2016,PR,Paraná,4635086,680975221.0,146.92,209.0,386257.0
2016,RJ,Rio de Janeiro,9764520,1588104562.0,162.64,231.36,813710.0
2016,RN,Rio Grande do Norte,4237664,715637136.0,168.88,240.24,353139.0
2016,RO,Rondônia,1181066,177249923.0,150.08,213.49,98422.0
2016,RR,Roraima,586138,113115552.0,192.98,274.52,48845.0
2016,RS,Rio Grande do Sul,4804746,747126338.0,155.5,221.2,400396.0
2016,SC,Santa Catarina,1508842,236043849.0,156.44,222.54,125737.0
2016,SE,Sergipe,3259118,524631919.0,160.97,228.98,271593.0
2016,SP,São Paulo,17470926,2682409405.0,153.54,218.41,1455910.0
2016,TO,Tocantins,1613572,281348507.0,174.36,248.03,134464.0
