ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado,qtd_familias_beneficiarias_bolsa_familia_ajustado
2018,AC,Acre,1053499,275327547.0,261.35,347.57,87792.0
2018,AL,Alagoas,4879817,922689785.0,189.08,251.46,406651.0
2018,AM,Amazonas,4797297,1085790134.0,226.33,301.0,399775.0
2018,AP,Amapá,892713,193100959.0,216.31,287.67,74393.0
2018,BA,Bahia,22062829,4033722725.0,182.83,243.15,1838569.0
2018,CE,Ceará,12664774,2316889230.0,182.94,243.3,1055398.0
2018,DF,Distrito Federal,917948,153313408.0,167.02,222.12,76496.0
2018,ES,Espírito Santo,2105970,355763578.0,168.93,224.66,175498.0
2018,GO,Goiás,3686439,566468568.0,153.66,204.36,307203.0
2018,MA,Maranhão,11825711,2493688352.0,210.87,280.44,985476.0
2018,MG,Minas Gerais,12626840,2196128773.0,173.93,231.31,1052237.0
2018,MS,Mato Grosso do Sul,1519850,262789220.0,172.9,229.94,126654.0
2018,MT,Mato Grosso,1911996,312445627.0,163.41,217.32,159333.0
2018,PA,Pará,11409540,2266243343.0,198.63,264.16,950795.0
2018,PB,Paraíba,6194483,1225647739.0,197.86,263.14,516207.0
2018,PE,Pernambuco,13891299,2489016559.0,179.18,238.29,1157608.0
2018,PI,Piauí,5407813,1113458060.0,205.9,273.83,450651.0
2018,PR,Paraná,4450768,698130231.0,156.86,208.61,370897.0
2018,RJ,Rio de Janeiro,10061973,1780907356.0,176.99,235.38,838498.0
2018,RN,Rio Grande do Norte,4202065,759785887.0,180.81,240.46,350172.0
2018,RO,Rondônia,992355,149662299.0,150.82,200.58,82696.0
2018,RR,Roraima,556912,114491446.0,205.58,273.4,46409.0
2018,RS,Rio Grande do Sul,4384969,726181625.0,165.61,220.25,365414.0
2018,SC,Santa Catarina,1430984,242028241.0,169.13,224.93,119249.0
2018,SE,Sergipe,3415083,573259657.0,167.86,223.24,284590.0
2018,SP,São Paulo,18627450,3047820940.0,163.62,217.6,1552288.0
2018,TO,Tocantins,1478685,270890330.0,183.2,243.64,123224.0
