ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado,qtd_familias_beneficiarias_bolsa_familia_ajustado
2017,AC,Acre,1007201,260853784.0,258.99,358.37,83933.0
2017,AL,Alagoas,4732324,880053947.0,185.97,257.33,394360.0
2017,AM,Amazonas,4525740,1015626200.0,224.41,310.52,377145.0
2017,AP,Amapá,789746,167055910.0,211.53,292.7,65812.0
2017,BA,Bahia,21407736,3863515088.0,180.47,249.72,1783978.0
2017,CE,Ceará,12216322,2181953826.0,178.61,247.15,1018027.0
2017,DF,Distrito Federal,960375,151730592.0,157.99,218.61,80031.0
2017,ES,Espírito Santo,2010855,323442734.0,160.85,222.57,167571.0
2017,GO,Goiás,3686234,558471387.0,151.5,209.63,307186.0
2017,MA,Maranhão,11553218,2412820783.0,208.84,288.98,962768.0
2017,MG,Minas Gerais,12390192,2076481563.0,167.59,231.9,1032516.0
2017,MS,Mato Grosso do Sul,1510605,256968630.0,170.11,235.39,125884.0
2017,MT,Mato Grosso,1902329,307513747.0,161.65,223.68,158527.0
2017,PA,Pará,10925691,2172358455.0,198.83,275.13,910474.0
2017,PB,Paraíba,6059862,1180933013.0,194.88,269.66,504988.0
2017,PE,Pernambuco,13408533,2374111329.0,177.06,245.0,1117378.0
2017,PI,Piauí,5260479,1073289077.0,204.03,282.32,438373.0
2017,PR,Paraná,4310016,654542533.0,151.87,210.15,359168.0
2017,RJ,Rio de Janeiro,9338877,1606282595.0,172.0,238.0,778240.0
2017,RN,Rio Grande do Norte,4068599,719679672.0,176.89,244.77,339050.0
2017,RO,Rondônia,1030356,154803120.0,150.24,207.89,85863.0
2017,RR,Roraima,546364,112091876.0,205.16,283.89,45530.0
2017,RS,Rio Grande do Sul,4297092,695069373.0,161.75,223.82,358091.0
2017,SC,Santa Catarina,1398278,228290118.0,163.27,225.92,116523.0
2017,SE,Sergipe,3242210,541722824.0,167.08,231.19,270184.0
2017,SP,São Paulo,17560121,2806387560.0,159.82,221.15,1463343.0
2017,TO,Tocantins,1496705,270063198.0,180.44,249.68,124725.0
