ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado,qtd_familias_beneficiarias_bolsa_familia_ajustado
2007,AC,Acre,642520.0,47426879.0,73.81,184.37,53543.0
2007,AL,Alagoas,4127823.0,289229113.0,70.07,175.03,343985.0
2007,AM,Amazonas,2544207.0,192924893.0,75.83,189.42,212017.0
2007,AP,Amapá,390765.0,29594606.0,75.74,189.19,32564.0
2007,BA,Bahia,16886240.0,1204402913.0,71.32,178.15,1407187.0
2007,CE,Ceará,10640901.0,749617542.0,70.45,175.98,886742.0
2007,DF,Distrito Federal,983548.0,59543149.0,60.54,151.22,81962.0
2007,ES,Espírito Santo,2268056.0,140831600.0,62.09,155.1,189005.0
2007,GO,Goiás,3111613.0,186427926.0,59.91,149.65,259301.0
2007,MA,Maranhão,8718469.0,664518268.0,76.22,190.39,726539.0
2007,MG,Minas Gerais,13161003.0,828553498.0,62.96,157.27,1096750.0
2007,MS,Mato Grosso do Sul,1347819.0,83533451.0,61.98,154.82,112318.0
2007,MT,Mato Grosso,1609500.0,99881208.0,62.06,155.02,134125.0
2007,PA,Pará,6294414.0,482918640.0,76.72,191.64,524534.0
2007,PB,Paraíba,4975569.0,354791990.0,71.31,178.13,414631.0
2007,PE,Pernambuco,10571409.0,744508843.0,70.43,175.93,880951.0
2007,PI,Piauí,4419035.0,320210898.0,72.46,181.0,368253.0
2007,PR,Paraná,5183864.0,308815528.0,59.57,148.8,431989.0
2007,RJ,Rio de Janeiro,5565217.0,360983781.0,64.86,162.02,463768.0
2007,RN,Rio Grande do Norte,3615331.0,243606645.0,67.38,168.31,301278.0
2007,RO,Rondônia,1150021.0,80523336.0,70.02,174.91,95835.0
2007,RR,Roraima,380966.0,28809074.0,75.62,188.89,31747.0
2007,RS,Rio Grande do Sul,5035084.0,320167620.0,63.59,158.84,419590.0
2007,SC,Santa Catarina,1645187.0,100078597.0,60.83,151.95,137099.0
2007,SE,Sergipe,2253567.0,164180652.0,72.85,181.97,187797.0
2007,SP,São Paulo,13010158.0,793164049.0,60.96,152.27,1084180.0
2007,TO,Tocantins,1276778.0,86254909.0,67.56,168.76,106398.0
