ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado
2014,AC,Acre,945260.00,211937759.00,224.21,376.98
2014,AL,Alagoas,5286327.00,871570605.00,164.87,277.21
2014,AM,Amazonas,4324597.00,838659333.00,193.93,326.07
2014,AP,Amapá,651861.00,125823850.00,193.02,324.54
2014,BA,Bahia,21641379.00,3521434489.00,162.72,273.59
2014,CE,Ceará,13156005.00,2119820489.00,161.13,270.92
2014,DF,Distrito Federal,1079006.00,147613782.00,136.81,230.03
2014,ES,Espírito Santo,2347758.00,333798747.00,142.18,239.06
2014,GO,Goiás,4051536.00,594572492.00,146.75,246.74
2014,MA,Maranhão,11722842.00,2176773672.00,185.69,312.21
2014,MG,Minas Gerais,13905641.00,2086335876.00,150.04,252.27
2014,MS,Mato Grosso do Sul,1765202.00,273993441.00,155.22,260.98
2014,MT,Mato Grosso,2248791.00,339085825.00,150.79,253.53
2014,PA,Pará,10574427.00,1896916071.00,179.39,301.62
2014,PB,Paraíba,6223669.00,1061119422.00,170.50,286.67
2014,PE,Pernambuco,13788206.00,2170678175.00,157.43,264.70
2014,PI,Piauí,5445594.00,989972080.00,181.79,305.65
2014,PR,Paraná,4988311.00,697127973.00,139.75,234.97
2014,RJ,Rio de Janeiro,10091324.00,1549328023.00,153.53,258.14
2014,RN,Rio Grande do Norte,4347388.00,693467871.00,159.51,268.19
2014,RO,Rondônia,1391753.00,209862805.00,150.79,253.53
2014,RR,Roraima,568942.00,102887180.00,180.84,304.06
2014,RS,Rio Grande do Sul,5331680.00,793729853.00,148.87,250.30
2014,SC,Santa Catarina,1670555.00,248631365.00,148.83,250.24
2014,SE,Sergipe,3341423.00,515810850.00,154.37,259.55
2014,SP,São Paulo,15951587.00,2334973894.00,146.38,246.12
2014,TO,Tocantins,1680762.00,281369311.00,167.41,281.48
