ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado,qtd_familias_beneficiarias_bolsa_familia_ajustado
2013,AC,Acre,868712.0,176948772.0,203.69,364.93,72393.0
2013,AL,Alagoas,5169810.0,801449280.0,155.02,277.73,430818.0
2013,AM,Amazonas,4044859.0,725029658.0,179.25,321.14,337072.0
2013,AP,Amapá,633831.0,114252000.0,180.26,322.95,52819.0
2013,BA,Bahia,21387273.0,3257581269.0,152.31,272.88,1782273.0
2013,CE,Ceará,13033169.0,1974026187.0,151.46,271.35,1086097.0
2013,DF,Distrito Federal,1083030.0,136882148.0,126.39,226.44,90252.0
2013,ES,Espírito Santo,2379678.0,316338586.0,132.93,238.15,198306.0
2013,GO,Goiás,4064472.0,558431404.0,137.39,246.15,338706.0
2013,MA,Maranhão,11355024.0,1961536178.0,172.75,309.5,946252.0
2013,MG,Minas Gerais,13983057.0,1964722416.0,140.51,251.74,1165255.0
2013,MS,Mato Grosso do Sul,1679837.0,246093588.0,146.5,262.47,139986.0
2013,MT,Mato Grosso,2178743.0,308678235.0,141.68,253.83,181562.0
2013,PA,Pará,9890129.0,1658481264.0,167.69,300.43,824177.0
2013,PB,Paraíba,6008526.0,941564574.0,156.7,280.74,500710.0
2013,PE,Pernambuco,13607853.0,2001810016.0,147.11,263.56,1133988.0
2013,PI,Piauí,5381086.0,903263807.0,167.86,300.73,448424.0
2013,PR,Paraná,5153088.0,677018513.0,131.38,235.38,429424.0
2013,RJ,Rio de Janeiro,9746902.0,1402859286.0,143.93,257.86,812242.0
2013,RN,Rio Grande do Norte,4301254.0,637742452.0,148.27,265.64,358438.0
2013,RO,Rondônia,1391003.0,201070260.0,144.55,258.97,115917.0
2013,RR,Roraima,556898.0,92971784.0,166.95,299.1,46408.0
2013,RS,Rio Grande do Sul,5413444.0,756838872.0,139.81,250.48,451120.0
2013,SC,Santa Catarina,1713967.0,239764328.0,139.89,250.62,142831.0
2013,SE,Sergipe,3197857.0,471592186.0,147.47,264.2,266488.0
2013,SP,São Paulo,15529029.0,2103544648.0,135.46,242.69,1294086.0
2013,TO,Tocantins,1643159.0,259615380.0,158.0,283.07,136930.0
