ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado,qtd_familias_beneficiarias_bolsa_familia_ajustado
2020,AC,Acre,1075984,97873134.0,90.96,112.29,89665.0
2020,AL,Alagoas,4821324,277849457.0,57.63,71.15,401777.0
2020,AM,Amazonas,4846399,350816544.0,72.39,89.37,403867.0
2020,AP,Amapá,913789,64545817.0,70.64,87.21,76149.0
2020,BA,Bahia,21775366,1198976786.0,55.06,67.97,1814614.0
2020,CE,Ceará,12791474,678046010.0,53.01,65.44,1065956.0
2020,DF,Distrito Federal,959537,52175244.0,54.38,67.13,79961.0
2020,ES,Espírito Santo,2276350,119011311.0,52.28,64.54,189696.0
2020,GO,Goiás,3596814,183717365.0,51.08,63.06,299734.0
2020,MA,Maranhão,11432715,794934753.0,69.53,85.84,952726.0
2020,MG,Minas Gerais,12636817,729067527.0,57.69,71.22,1053068.0
2020,MS,Mato Grosso do Sul,1516904,90685524.0,59.78,73.8,126409.0
2020,MT,Mato Grosso,1887238,106724568.0,56.55,69.81,157270.0
2020,PA,Pará,11458144,710491114.0,62.01,76.55,954845.0
2020,PB,Paraíba,6176978,370135087.0,59.92,73.97,514748.0
2020,PE,Pernambuco,13938817,751522124.0,53.92,66.57,1161568.0
2020,PI,Piauí,5386803,334853848.0,62.16,76.74,448900.0
2020,PR,Paraná,4480336,238788649.0,53.3,65.8,373361.0
2020,RJ,Rio de Janeiro,10908766,590729380.0,54.15,66.85,909064.0
2020,RN,Rio Grande do Norte,4282774,228274570.0,53.3,65.8,356898.0
2020,RO,Rondônia,962969,42423061.0,44.05,54.38,80247.0
2020,RR,Roraima,602168,42347245.0,70.32,86.81,50181.0
2020,RS,Rio Grande do Sul,4409071,253997881.0,57.61,71.12,367423.0
2020,SC,Santa Catarina,1499905,92839425.0,61.9,76.42,124992.0
2020,SE,Sergipe,3414239,171739533.0,50.3,62.1,284520.0
2020,SP,São Paulo,18552770,1012067368.0,54.55,67.34,1546064.0
2020,TO,Tocantins,1400891,83120137.0,59.33,73.24,116741.0
