ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado,qtd_familias_beneficiarias_bolsa_familia_ajustado
2019,AC,Acre,1073437,287938637.0,268.24,345.43,89453.0
2019,AL,Alagoas,4817318,934749645.0,194.04,249.87,401443.0
2019,AM,Amazonas,4815624,1106537055.0,229.78,295.9,401302.0
2019,AP,Amapá,928014,207172664.0,223.24,287.48,77334.0
2019,BA,Bahia,21729040,4073054339.0,187.45,241.39,1810753.0
2019,CE,Ceará,12567323,2373396667.0,188.85,243.19,1047277.0
2019,DF,Distrito Federal,843963,150125272.0,177.88,229.06,70330.0
2019,ES,Espírito Santo,2131990,372317033.0,174.63,224.88,177666.0
2019,GO,Goiás,3538202,561117247.0,158.59,204.22,294850.0
2019,MA,Maranhão,11519416,2476154772.0,214.95,276.8,959951.0
2019,MG,Minas Gerais,12260429,2223067226.0,181.32,233.49,1021702.0
2019,MS,Mato Grosso do Sul,1473038,265004044.0,179.9,231.67,122753.0
2019,MT,Mato Grosso,1836464,310199236.0,168.91,217.51,153039.0
2019,PA,Pará,11521019,2315600915.0,200.99,258.82,960085.0
2019,PB,Paraíba,6188826,1248596120.0,201.75,259.8,515736.0
2019,PE,Pernambuco,13930814,2561012986.0,183.84,236.74,1160901.0
2019,PI,Piauí,5390938,1134584950.0,210.46,271.02,449245.0
2019,PR,Paraná,4335297,708673734.0,163.47,210.51,361275.0
2019,RJ,Rio de Janeiro,10324141,1900008051.0,184.04,237.0,860345.0
2019,RN,Rio Grande do Norte,4213698,788541911.0,187.14,240.99,351142.0
2019,RO,Rondônia,928874,142760771.0,153.69,197.91,77406.0
2019,RR,Roraima,569048,120047248.0,210.96,271.66,47421.0
2019,RS,Rio Grande do Sul,4195339,722094029.0,172.12,221.65,349612.0
2019,SC,Santa Catarina,1387068,244093646.0,175.98,226.62,115589.0
2019,SE,Sergipe,3454619,589398837.0,170.61,219.7,287885.0
2019,SP,São Paulo,18027294,3078050973.0,170.74,219.87,1502274.0
2019,TO,Tocantins,1396059,264937688.0,189.78,244.39,116338.0
