Ano,Região,UF,Código do Município,Nome do Município,Localização,Total_abandono_EF2011,Total_abandono_EM2011
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,4.5,11.1
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,4.4,11.1
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,4.5,--
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,4,--
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,4.8,11.1
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,4.9,--
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,4.9,--
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,4.8,--
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,6,--
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,4.1,11.1
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,4.1,11.1
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,4.5,--
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,0.3,--
2011,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,4.7,11.1
2011,Norte,RO,1100023,ARIQUEMES,Total,2.4,14.6
2011,Norte,RO,1100023,ARIQUEMES,Total,2.5,15.6
2011,Norte,RO,1100023,ARIQUEMES,Total,0.1,0
2011,Norte,RO,1100023,ARIQUEMES,Total,2.5,--
2011,Norte,RO,1100023,ARIQUEMES,Total,--,3.6
2011,Norte,RO,1100023,ARIQUEMES,Total,2.4,16.7
2011,Norte,RO,1100023,ARIQUEMES,Rural,2.7,3.6
2011,Norte,RO,1100023,ARIQUEMES,Rural,2.7,3.6
2011,Norte,RO,1100023,ARIQUEMES,Rural,2.7,--
2011,Norte,RO,1100023,ARIQUEMES,Rural,--,3.6
2011,Norte,RO,1100023,ARIQUEMES,Urbana,2.2,15.7
2011,Norte,RO,1100023,ARIQUEMES,Urbana,2.4,16.7
2011,Norte,RO,1100023,ARIQUEMES,Urbana,0.1,0
2011,Norte,RO,1100023,ARIQUEMES,Urbana,2.5,--
2011,Norte,RO,1100023,ARIQUEMES,Urbana,2.4,16.7
2011,Norte,RO,1100031,CABIXI,Total,1,6.1
2011,Norte,RO,1100031,CABIXI,Total,1,6.1
2011,Norte,RO,1100031,CABIXI,Total,0.2,--
2011,Norte,RO,1100031,CABIXI,Total,1.6,6.1
2011,Norte,RO,1100031,CABIXI,Rural,0.8,15.2
2011,Norte,RO,1100031,CABIXI,Rural,0.8,15.2
2011,Norte,RO,1100031,CABIXI,Rural,0.8,15.2
2011,Norte,RO,1100031,CABIXI,Urbana,1,4.9
2011,Norte,RO,1100031,CABIXI,Urbana,1,4.9
2011,Norte,RO,1100031,CABIXI,Urbana,0.2,--
2011,Norte,RO,1100031,CABIXI,Urbana,1.8,4.9
2011,Norte,RO,1100049,CACOAL,Total,2.2,12
2011,Norte,RO,1100049,CACOAL,Total,2.5,14
2011,Norte,RO,1100049,CACOAL,Total,0.1,0.3
2011,Norte,RO,1100049,CACOAL,Total,1,--
2011,Norte,RO,1100049,CACOAL,Total,--,2.5
2011,Norte,RO,1100049,CACOAL,Total,3.8,14.1
2011,Norte,RO,1100049,CACOAL,Rural,2.4,0.6
2011,Norte,RO,1100049,CACOAL,Rural,2.4,--
2011,Norte,RO,1100049,CACOAL,Rural,0,0.6
2011,Norte,RO,1100049,CACOAL,Rural,1.5,--
2011,Norte,RO,1100049,CACOAL,Rural,9.3,--
2011,Norte,RO,1100049,CACOAL,Urbana,2.1,12.4
2011,Norte,RO,1100049,CACOAL,Urbana,2.5,14
2011,Norte,RO,1100049,CACOAL,Urbana,0.1,0.3
2011,Norte,RO,1100049,CACOAL,Urbana,0.6,--
2011,Norte,RO,1100049,CACOAL,Urbana,--,2.5
2011,Norte,RO,1100049,CACOAL,Urbana,3.5,14.1
2011,Norte,RO,1100056,CEREJEIRAS,Total,2.2,10.1
2011,Norte,RO,1100056,CEREJEIRAS,Total,2.2,10.6
2011,Norte,RO,1100056,CEREJEIRAS,Total,0,0
2011,Norte,RO,1100056,CEREJEIRAS,Total,0.6,--
2011,Norte,RO,1100056,CEREJEIRAS,Total,3.4,10.6
2011,Norte,RO,1100056,CEREJEIRAS,Rural,0.7,--
2011,Norte,RO,1100056,CEREJEIRAS,Rural,0.7,--
2011,Norte,RO,1100056,CEREJEIRAS,Rural,0.7,--
2011,Norte,RO,1100056,CEREJEIRAS,Urbana,2.4,10.1
2011,Norte,RO,1100056,CEREJEIRAS,Urbana,2.6,10.6
2011,Norte,RO,1100056,CEREJEIRAS,Urbana,0,0
2011,Norte,RO,1100056,CEREJEIRAS,Urbana,0.4,--
2011,Norte,RO,1100056,CEREJEIRAS,Urbana,3.4,10.6
2011,Norte,RO,1100064,COLORADO DO OESTE,Total,0.3,3.6
2011,Norte,RO,1100064,COLORADO DO OESTE,Total,0.3,3.6
2011,Norte,RO,1100064,COLORADO DO OESTE,Total,0,--
2011,Norte,RO,1100064,COLORADO DO OESTE,Total,0.6,--
2011,Norte,RO,1100064,COLORADO DO OESTE,Total,--,0.3
2011,Norte,RO,1100064,COLORADO DO OESTE,Total,0.3,5.1
2011,Norte,RO,1100064,COLORADO DO OESTE,Rural,0.6,0.3
2011,Norte,RO,1100064,COLORADO DO OESTE,Rural,0.6,0.3
2011,Norte,RO,1100064,COLORADO DO OESTE,Rural,0.6,--
2011,Norte,RO,1100064,COLORADO DO OESTE,Rural,--,0.3
2011,Norte,RO,1100064,COLORADO DO OESTE,Urbana,0.3,5.1
2011,Norte,RO,1100064,COLORADO DO OESTE,Urbana,0.3,5.1
2011,Norte,RO,1100064,COLORADO DO OESTE,Urbana,0,--
2011,Norte,RO,1100064,COLORADO DO OESTE,Urbana,0,--
2011,Norte,RO,1100064,COLORADO DO OESTE,Urbana,0.3,5.1
2011,Norte,RO,1100072,CORUMBIARA,Total,3.3,13.9
2011,Norte,RO,1100072,CORUMBIARA,Total,3.3,13.9
2011,Norte,RO,1100072,CORUMBIARA,Total,2.8,--
2011,Norte,RO,1100072,CORUMBIARA,Total,3.7,13.9
2011,Norte,RO,1100072,CORUMBIARA,Rural,4.3,9.8
2011,Norte,RO,1100072,CORUMBIARA,Rural,4.3,9.8
2011,Norte,RO,1100072,CORUMBIARA,Rural,4.2,--
2011,Norte,RO,1100072,CORUMBIARA,Rural,4.6,9.8
2011,Norte,RO,1100072,CORUMBIARA,Urbana,1.8,16.7
2011,Norte,RO,1100072,CORUMBIARA,Urbana,1.8,16.7
2011,Norte,RO,1100072,CORUMBIARA,Urbana,0,--
2011,Norte,RO,1100072,CORUMBIARA,Urbana,2.9,16.7
2011,Norte,RO,1100080,COSTA MARQUES,Total,4.5,15.1
2011,Norte,RO,1100080,COSTA MARQUES,Total,4.5,15.1
2011,Norte,RO,1100080,COSTA MARQUES,Total,6.3,--
2011,Norte,RO,1100080,COSTA MARQUES,Total,2.7,15.1
2011,Norte,RO,1100080,COSTA MARQUES,Rural,7.6,19.6
2011,Norte,RO,1100080,COSTA MARQUES,Rural,7.6,19.6
2011,Norte,RO,1100080,COSTA MARQUES,Rural,8.1,--
2011,Norte,RO,1100080,COSTA MARQUES,Rural,3.8,19.6
2011,Norte,RO,1100080,COSTA MARQUES,Urbana,2.1,13.1
2011,Norte,RO,1100080,COSTA MARQUES,Urbana,2.1,13.1
2011,Norte,RO,1100080,COSTA MARQUES,Urbana,0,--
