Ano;Região;UF;Código do Município;Nome do Município;Localização;Total.2;Total  .2
2021;Norte;RO;1100080;Costa Marques;Total;0;0.2
2021;Norte;RO;1100080;Costa Marques;Urbana;0;0.2
2021;Norte;RO;1100080;Costa Marques;Rural;0;0
2021;Norte;RO;1100080;Costa Marques;Total;4.6;--
2021;Norte;RO;1100080;Costa Marques;Urbana;0.6;--
2021;Norte;RO;1100080;Costa Marques;Rural;8.2;--
2021;Norte;RO;1100080;Costa Marques;Total;3.1;0.2
2021;Norte;RO;1100080;Costa Marques;Urbana;0.3;0.2
2021;Norte;RO;1100080;Costa Marques;Rural;7.1;0
2021;Norte;RO;1100098;Espigão D'Oeste;Total;0.9;0
2021;Norte;RO;1100098;Espigão D'Oeste;Urbana;0.1;0
2021;Norte;RO;1100098;Espigão D'Oeste;Rural;4.3;0
2021;Norte;RO;1100098;Espigão D'Oeste;Total;1.6;0
2021;Norte;RO;1100098;Espigão D'Oeste;Urbana;0;0
2021;Norte;RO;1100098;Espigão D'Oeste;Rural;14.7;0
2021;Norte;RO;1100098;Espigão D'Oeste;Total;0.2;--
2021;Norte;RO;1100098;Espigão D'Oeste;Urbana;0.3;--
2021;Norte;RO;1100098;Espigão D'Oeste;Rural;0;--
2021;Norte;RO;1100098;Espigão D'Oeste;Total;0;0
2021;Norte;RO;1100098;Espigão D'Oeste;Urbana;0;0
2021;Norte;RO;1100098;Espigão D'Oeste;Total;1;0
2021;Norte;RO;1100098;Espigão D'Oeste;Urbana;0.2;0
2021;Norte;RO;1100098;Espigão D'Oeste;Rural;4.3;0
2021;Norte;RO;1100106;Guajará-Mirim;Total;1.6;9.6
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;0.5;9.6
2021;Norte;RO;1100106;Guajará-Mirim;Rural;7;9.3
2021;Norte;RO;1100106;Guajará-Mirim;Total;--;0.2
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;--;0.2
2021;Norte;RO;1100106;Guajará-Mirim;Total;2.4;11.9
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;0.5;12
2021;Norte;RO;1100106;Guajará-Mirim;Rural;7;9.3
2021;Norte;RO;1100106;Guajará-Mirim;Total;0.6;--
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;0.6;--
2021;Norte;RO;1100106;Guajará-Mirim;Total;0;11.1
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;0;11.1
2021;Norte;RO;1100106;Guajará-Mirim;Total;1.8;9.6
2021;Norte;RO;1100106;Guajará-Mirim;Urbana;0.6;9.6
2021;Norte;RO;1100106;Guajará-Mirim;Rural;7;9.3
2021;Norte;RO;1100114;Jaru;Total;0.1;2.3
2021;Norte;RO;1100114;Jaru;Urbana;0.1;2.1
2021;Norte;RO;1100114;Jaru;Rural;0;17
2021;Norte;RO;1100114;Jaru;Total;--;0.6
2021;Norte;RO;1100114;Jaru;Urbana;--;0.6
2021;Norte;RO;1100114;Jaru;Total;0.2;2.3
2021;Norte;RO;1100114;Jaru;Urbana;0.2;2.3
2021;Norte;RO;1100114;Jaru;Rural;0;--
2021;Norte;RO;1100114;Jaru;Total;0;--
2021;Norte;RO;1100114;Jaru;Urbana;0;--
2021;Norte;RO;1100114;Jaru;Rural;0;--
2021;Norte;RO;1100114;Jaru;Total;0;11.5
2021;Norte;RO;1100114;Jaru;Urbana;0;0
2021;Norte;RO;1100114;Jaru;Rural;--;17
2021;Norte;RO;1100114;Jaru;Total;0.1;2
2021;Norte;RO;1100114;Jaru;Urbana;0.1;2
2021;Norte;RO;1100114;Jaru;Rural;0;--
2021;Norte;RO;1100122;Ji-Paraná;Total;0.6;1.6
2021;Norte;RO;1100122;Ji-Paraná;Urbana;0.2;1.2
2021;Norte;RO;1100122;Ji-Paraná;Rural;4.6;9.9
2021;Norte;RO;1100122;Ji-Paraná;Total;--;0.9
2021;Norte;RO;1100122;Ji-Paraná;Urbana;--;0.9
2021;Norte;RO;1100122;Ji-Paraná;Total;0.9;1.6
2021;Norte;RO;1100122;Ji-Paraná;Urbana;0.2;1.3
2021;Norte;RO;1100122;Ji-Paraná;Rural;14.7;22.2
2021;Norte;RO;1100122;Ji-Paraná;Total;0;--
2021;Norte;RO;1100122;Ji-Paraná;Urbana;0;--
2021;Norte;RO;1100122;Ji-Paraná;Rural;0;--
2021;Norte;RO;1100122;Ji-Paraná;Total;0;2.6
2021;Norte;RO;1100122;Ji-Paraná;Urbana;0;0.6
2021;Norte;RO;1100122;Ji-Paraná;Rural;--;5
2021;Norte;RO;1100122;Ji-Paraná;Total;0.6;1.6
2021;Norte;RO;1100122;Ji-Paraná;Urbana;0.2;1.3
2021;Norte;RO;1100122;Ji-Paraná;Rural;4.6;22.2
2021;Norte;RO;1100130;Machadinho D'Oeste;Total;3.4;7.8
2021;Norte;RO;1100130;Machadinho D'Oeste;Urbana;3.6;7.3
2021;Norte;RO;1100130;Machadinho D'Oeste;Rural;2.8;11.4
2021;Norte;RO;1100130;Machadinho D'Oeste;Total;7;7.9
2021;Norte;RO;1100130;Machadinho D'Oeste;Urbana;6.6;7.4
2021;Norte;RO;1100130;Machadinho D'Oeste;Rural;8.4;11.4
2021;Norte;RO;1100130;Machadinho D'Oeste;Total;0.1;--
2021;Norte;RO;1100130;Machadinho D'Oeste;Urbana;0.1;--
2021;Norte;RO;1100130;Machadinho D'Oeste;Rural;0.1;--
2021;Norte;RO;1100130;Machadinho D'Oeste;Total;0;0
2021;Norte;RO;1100130;Machadinho D'Oeste;Urbana;0;0
2021;Norte;RO;1100130;Machadinho D'Oeste;Total;3.6;7.9
2021;Norte;RO;1100130;Machadinho D'Oeste;Urbana;3.8;7.4
2021;Norte;RO;1100130;Machadinho D'Oeste;Rural;2.8;11.4
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;0;0
