Ano,Região,UF,Código do Município,Nome do Município,Localização,Total_abandono_EF2007,Total_abandono_EM2007
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,4.3,--
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,--,--
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,4.3,--
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,4.3,--
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,1.6,21.7
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,--,--
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,0,--
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,1.6,21.7
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,1.4,21.7
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,0,21.7
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,--,--
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,0,--
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,0,21.7
2007,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,0,21.7
2007,Norte,RO,1100023,ARIQUEMES,Rural,--,--
2007,Norte,RO,1100023,ARIQUEMES,Rural,2.9,--
2007,Norte,RO,1100023,ARIQUEMES,Rural,2.9,--
2007,Norte,RO,1100023,ARIQUEMES,Rural,2.9,--
2007,Norte,RO,1100023,ARIQUEMES,Total,0,17
2007,Norte,RO,1100023,ARIQUEMES,Total,--,--
2007,Norte,RO,1100023,ARIQUEMES,Total,2.1,--
2007,Norte,RO,1100023,ARIQUEMES,Total,0,0
2007,Norte,RO,1100023,ARIQUEMES,Total,2.1,17
2007,Norte,RO,1100023,ARIQUEMES,Total,2,16.2
2007,Norte,RO,1100023,ARIQUEMES,Urbana,0,17
2007,Norte,RO,1100023,ARIQUEMES,Urbana,2,--
2007,Norte,RO,1100023,ARIQUEMES,Urbana,0,0
2007,Norte,RO,1100023,ARIQUEMES,Urbana,1.9,17
2007,Norte,RO,1100023,ARIQUEMES,Urbana,1.8,16.2
2007,Norte,RO,1100031,CABIXI,Rural,--,--
2007,Norte,RO,1100031,CABIXI,Rural,--,--
2007,Norte,RO,1100031,CABIXI,Rural,--,--
2007,Norte,RO,1100031,CABIXI,Total,2.3,6.8
2007,Norte,RO,1100031,CABIXI,Total,--,--
2007,Norte,RO,1100031,CABIXI,Total,2.3,6.8
2007,Norte,RO,1100031,CABIXI,Total,2.3,6.8
2007,Norte,RO,1100031,CABIXI,Urbana,2.3,6.8
2007,Norte,RO,1100031,CABIXI,Urbana,--,--
2007,Norte,RO,1100031,CABIXI,Urbana,2.3,6.8
2007,Norte,RO,1100031,CABIXI,Urbana,2.3,6.8
2007,Norte,RO,1100049,CACOAL,Rural,--,--
2007,Norte,RO,1100049,CACOAL,Rural,--,--
2007,Norte,RO,1100049,CACOAL,Rural,--,5.8
2007,Norte,RO,1100049,CACOAL,Rural,--,--
2007,Norte,RO,1100049,CACOAL,Rural,--,5.8
2007,Norte,RO,1100049,CACOAL,Total,2.8,17.2
2007,Norte,RO,1100049,CACOAL,Total,--,--
2007,Norte,RO,1100049,CACOAL,Total,0,1.5
2007,Norte,RO,1100049,CACOAL,Total,2.8,17.2
2007,Norte,RO,1100049,CACOAL,Total,2.5,14.2
2007,Norte,RO,1100049,CACOAL,Urbana,2.8,17.2
2007,Norte,RO,1100049,CACOAL,Urbana,--,--
2007,Norte,RO,1100049,CACOAL,Urbana,0,0
2007,Norte,RO,1100049,CACOAL,Urbana,2.8,17.2
2007,Norte,RO,1100049,CACOAL,Urbana,2.5,14.7
2007,Norte,RO,1100056,CEREJEIRAS,Rural,0,--
