Ano;Região;UF;Código do Município;Nome do Município;Localização;Total Abandono Ens. Fundamental;Total Abandono no Ens. Médio
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Total;3.5;11.1
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Total;3.5;11.1
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Total;0;--
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Total;3.9;--
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Total;3.3;11.1
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Rural;5.8;--
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Rural;5.8;--
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Rural;4.8;--
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Rural;11.6;--
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Urbana;1.9;11.1
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Urbana;1.9;11.1
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Urbana;0;--
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Urbana;0;--
2013;Norte;RO;1100015;ALTA FLORESTA D OESTE;Urbana;2.3;11.1
2013;Norte;RO;1100023;ARIQUEMES;Total;2.1;11
2013;Norte;RO;1100023;ARIQUEMES;Total;2.2;11.7
2013;Norte;RO;1100023;ARIQUEMES;Total;0.1;0.5
2013;Norte;RO;1100023;ARIQUEMES;Total;2.3;--
2013;Norte;RO;1100023;ARIQUEMES;Total;--;1
2013;Norte;RO;1100023;ARIQUEMES;Total;2.3;13.3
2013;Norte;RO;1100023;ARIQUEMES;Rural;3;1
2013;Norte;RO;1100023;ARIQUEMES;Rural;3;1
2013;Norte;RO;1100023;ARIQUEMES;Rural;3;--
2013;Norte;RO;1100023;ARIQUEMES;Rural;--;1
2013;Norte;RO;1100023;ARIQUEMES;Urbana;1.9;12.5
2013;Norte;RO;1100023;ARIQUEMES;Urbana;2;13.3
2013;Norte;RO;1100023;ARIQUEMES;Urbana;0.1;0.5
2013;Norte;RO;1100023;ARIQUEMES;Urbana;2;--
2013;Norte;RO;1100023;ARIQUEMES;Urbana;2.3;13.3
2013;Norte;RO;1100031;CABIXI;Total;0.8;7.1
2013;Norte;RO;1100031;CABIXI;Total;0.8;7.1
2013;Norte;RO;1100031;CABIXI;Total;0;--
2013;Norte;RO;1100031;CABIXI;Total;1.6;7.1
2013;Norte;RO;1100031;CABIXI;Rural;0;3.4
2013;Norte;RO;1100031;CABIXI;Rural;0;3.4
2013;Norte;RO;1100031;CABIXI;Rural;0;3.4
2013;Norte;RO;1100031;CABIXI;Urbana;1;7.6
2013;Norte;RO;1100031;CABIXI;Urbana;1;7.6
2013;Norte;RO;1100031;CABIXI;Urbana;0;--
2013;Norte;RO;1100031;CABIXI;Urbana;2;7.6
2013;Norte;RO;1100049;CACOAL;Total;1.5;11.6
2013;Norte;RO;1100049;CACOAL;Total;1.8;14.1
2013;Norte;RO;1100049;CACOAL;Total;0.1;0.4
2013;Norte;RO;1100049;CACOAL;Total;0.3;--
2013;Norte;RO;1100049;CACOAL;Total;--;0
2013;Norte;RO;1100049;CACOAL;Total;3;14.4
2013;Norte;RO;1100049;CACOAL;Rural;2.6;0.7
2013;Norte;RO;1100049;CACOAL;Rural;2.5;--
2013;Norte;RO;1100049;CACOAL;Rural;0;0.7
2013;Norte;RO;1100049;CACOAL;Rural;0.7;--
2013;Norte;RO;1100049;CACOAL;Rural;15.4;--
2013;Norte;RO;1100049;CACOAL;Urbana;1.3;12
2013;Norte;RO;1100049;CACOAL;Urbana;1.5;14.1
2013;Norte;RO;1100049;CACOAL;Urbana;0;0.3
2013;Norte;RO;1100049;CACOAL;Urbana;0.1;--
2013;Norte;RO;1100049;CACOAL;Urbana;--;0
