Ano,Região,UF,Código do Município,Nome do Município,Localização,Total_abandono_EF2010,Total_abandono_EM2010
2010,Norte,RO,1100080,COSTA MARQUES,Rural,2.4,--
2010,Norte,RO,1100080,COSTA MARQUES,Rural,2.4,--
2010,Norte,RO,1100080,COSTA MARQUES,Rural,2.4,--
2010,Norte,RO,1100080,COSTA MARQUES,Total,1.2,10.5
2010,Norte,RO,1100080,COSTA MARQUES,Total,2.1,--
2010,Norte,RO,1100080,COSTA MARQUES,Total,1.9,10.5
2010,Norte,RO,1100080,COSTA MARQUES,Total,1.9,10.5
2010,Norte,RO,1100080,COSTA MARQUES,Urbana,1.2,10.5
2010,Norte,RO,1100080,COSTA MARQUES,Urbana,1.6,--
2010,Norte,RO,1100080,COSTA MARQUES,Urbana,1.4,10.5
2010,Norte,RO,1100080,COSTA MARQUES,Urbana,1.4,10.5
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Rural,5.8,--
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Rural,0,--
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Rural,1.7,--
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Rural,1.7,--
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Total,1.3,12.6
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Total,0,--
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Total,0,0
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Total,0.6,12.6
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Total,0.6,11.9
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Urbana,0,12.6
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Urbana,0,--
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Urbana,0,0
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Urbana,0,12.6
2010,Norte,RO,1100098,ESPIGAO D'OESTE,Urbana,0,11.9
2010,Norte,RO,1100106,GUAJARA-MIRIM,Rural,--,0
2010,Norte,RO,1100106,GUAJARA-MIRIM,Rural,10.5,--
2010,Norte,RO,1100106,GUAJARA-MIRIM,Rural,10.5,0
2010,Norte,RO,1100106,GUAJARA-MIRIM,Rural,10.5,0
2010,Norte,RO,1100106,GUAJARA-MIRIM,Total,1.4,14
2010,Norte,RO,1100106,GUAJARA-MIRIM,Total,2.5,--
2010,Norte,RO,1100106,GUAJARA-MIRIM,Total,0,2.5
2010,Norte,RO,1100106,GUAJARA-MIRIM,Total,2.2,14
2010,Norte,RO,1100106,GUAJARA-MIRIM,Total,1.9,13.1
2010,Norte,RO,1100106,GUAJARA-MIRIM,Urbana,1.4,14.4
2010,Norte,RO,1100106,GUAJARA-MIRIM,Urbana,1.3,--
2010,Norte,RO,1100106,GUAJARA-MIRIM,Urbana,0,2.5
2010,Norte,RO,1100106,GUAJARA-MIRIM,Urbana,1.4,14.4
2010,Norte,RO,1100106,GUAJARA-MIRIM,Urbana,1.2,13.5
2010,Norte,RO,1100114,JARU,Rural,0,17.7
2010,Norte,RO,1100114,JARU,Rural,0.6,--
2010,Norte,RO,1100114,JARU,Rural,0.4,17.7
2010,Norte,RO,1100114,JARU,Rural,0.4,17.7
2010,Norte,RO,1100114,JARU,Total,1,15.3
2010,Norte,RO,1100114,JARU,Total,0.5,--
2010,Norte,RO,1100114,JARU,Total,0,0
2010,Norte,RO,1100114,JARU,Total,0.7,15.3
2010,Norte,RO,1100114,JARU,Total,0.7,15
2010,Norte,RO,1100114,JARU,Urbana,1.1,14.5
2010,Norte,RO,1100114,JARU,Urbana,0.4,--
2010,Norte,RO,1100114,JARU,Urbana,0,0
2010,Norte,RO,1100114,JARU,Urbana,0.8,14.5
2010,Norte,RO,1100114,JARU,Urbana,0.8,14.1
2010,Norte,RO,1100122,JI-PARANA,Rural,4.1,8
2010,Norte,RO,1100122,JI-PARANA,Rural,0,--
2010,Norte,RO,1100122,JI-PARANA,Rural,1.7,8
2010,Norte,RO,1100122,JI-PARANA,Rural,1.7,8
2010,Norte,RO,1100122,JI-PARANA,Total,0.9,11.3
2010,Norte,RO,1100122,JI-PARANA,Total,--,3.5
2010,Norte,RO,1100122,JI-PARANA,Total,0,--
2010,Norte,RO,1100122,JI-PARANA,Total,0.5,0
2010,Norte,RO,1100122,JI-PARANA,Total,0.7,10.7
2010,Norte,RO,1100122,JI-PARANA,Total,0.6,10.2
2010,Norte,RO,1100122,JI-PARANA,Urbana,0.6,11.6
2010,Norte,RO,1100122,JI-PARANA,Urbana,--,3.5
2010,Norte,RO,1100122,JI-PARANA,Urbana,0,--
2010,Norte,RO,1100122,JI-PARANA,Urbana,0.5,0
2010,Norte,RO,1100122,JI-PARANA,Urbana,0.5,10.8
2010,Norte,RO,1100122,JI-PARANA,Urbana,0.5,10.3
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Rural,4.2,--
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Rural,4.2,--
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Rural,4.2,--
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Total,2.4,16
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Total,2.5,--
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Total,0,--
