ibge,siglauf,anomes,qtd_ben_bas,qtd_ben_var,qtd_ben_bvj,qtd_ben_bvn,qtd_ben_bvg,qtd_ben_bsp
110001,RO,202101,1339,2301,251,20,43,247
110001,RO,202102,1098,2321,248,30,47,262
110001,RO,202103,1113,2329,254,35,51,263
110001,RO,202104,1123,2328,261,41,51,255
110001,RO,202105,1123,2328,261,41,51,255
110001,RO,202106,1123,2328,261,41,35,257
110001,RO,202107,1128,2329,261,31,35,258
110001,RO,202108,1129,2271,322,35,21,257
110001,RO,202109,1129,2264,331,35,6,257
110001,RO,202110,1129,2251,344,0,23,258
110001,RO,202111,,,,,,
110001,RO,202112,,,,,,
110002,RO,202101,3061,6146,618,38,164,488
110002,RO,202102,2849,6826,716,66,165,637
110002,RO,202103,2876,6845,744,60,187,652
110002,RO,202104,2904,6901,785,77,185,657
110002,RO,202105,2904,6901,785,77,185,657
110002,RO,202106,2904,6906,785,77,113,659
110002,RO,202107,2911,6906,785,62,113,661
110002,RO,202108,2909,6774,915,113,36,654
110002,RO,202109,2909,6742,951,113,18,655
110002,RO,202110,2909,6720,974,0,44,658
110002,RO,202111,,,,,,
110002,RO,202112,,,,,,
110003,RO,202101,158,293,33,2,8,42
110003,RO,202102,121,320,35,3,6,48
110003,RO,202103,129,325,36,3,7,52
110003,RO,202104,133,334,36,4,8,54
110003,RO,202105,133,334,36,4,8,54
110003,RO,202106,133,334,36,4,7,55
110003,RO,202107,136,334,36,2,7,55
110003,RO,202108,135,324,44,7,1,54
110003,RO,202109,135,321,47,7,1,54
110003,RO,202110,135,319,49,0,3,54
110003,RO,202111,,,,,,
110003,RO,202112,,,,,,
110004,RO,202101,2514,4709,504,34,148,849
110004,RO,202102,2422,5110,561,55,151,1034
110004,RO,202103,2462,5156,580,67,169,1066
110004,RO,202104,2563,5303,598,94,172,1126
110004,RO,202105,2563,5303,598,94,172,1126
110004,RO,202106,2563,5305,598,94,108,1129
110004,RO,202107,2570,5311,598,65,108,1129
110004,RO,202108,2568,5197,710,107,45,1125
110004,RO,202109,2568,5175,732,107,27,1125
110004,RO,202110,2568,5147,765,0,56,1127
110004,RO,202111,,,,,,
110004,RO,202112,,,,,,
110005,RO,202101,576,1126,118,5,29,43
110005,RO,202102,478,1165,122,16,32,44
110005,RO,202103,481,1170,123,14,40,41
110005,RO,202104,487,1172,134,16,40,39
110005,RO,202105,487,1172,134,16,40,39
110005,RO,202106,487,1173,134,16,29,40
110005,RO,202107,488,1173,134,16,29,41
110005,RO,202108,488,1153,155,29,5,40
110005,RO,202109,488,1149,159,29,2,40
110005,RO,202110,488,1142,166,0,17,40
110005,RO,202111,,,,,,
110005,RO,202112,,,,,,
110006,RO,202101,308,580,60,10,19,60
110006,RO,202102,262,621,65,16,19,69
110006,RO,202103,264,618,71,11,22,68
110006,RO,202104,267,621,74,15,22,72
110006,RO,202105,267,621,74,15,22,72
110006,RO,202106,267,622,74,15,15,72
110006,RO,202107,268,622,74,11,15,72
110006,RO,202108,267,596,96,15,7,71
110006,RO,202109,267,591,101,15,4,72
110006,RO,202110,267,591,102,0,4,73
110006,RO,202111,,,,,,
110006,RO,202112,,,,,,
110007,RO,202101,336,580,88,3,14,12
110007,RO,202102,246,610,93,4,19,13
110007,RO,202103,247,614,95,7,18,15
110007,RO,202104,249,630,95,7,17,19
110007,RO,202105,249,630,95,7,17,19
110007,RO,202106,249,630,95,7,10,19
110007,RO,202107,250,630,95,4,10,20
110007,RO,202108,250,610,113,10,3,20
110007,RO,202109,250,609,114,10,1,20
110007,RO,202110,250,606,117,0,4,20
110007,RO,202111,,,,,,
110007,RO,202112,,,,,,
110008,RO,202101,1664,2491,324,10,90,430
110008,RO,202102,1574,2447,331,11,92,430
110008,RO,202103,1557,2412,344,9,96,424
110008,RO,202104,1567,2420,356,17,96,423
110008,RO,202105,1567,2420,356,17,96,423
110008,RO,202106,1567,2422,356,17,46,430
110008,RO,202107,1568,2422,356,12,46,431
110008,RO,202108,1567,2368,411,46,11,428
110008,RO,202109,1567,2352,427,46,8,428
110008,RO,202110,1567,2338,442,0,14,431
110008,RO,202111,,,,,,
110008,RO,202112,,,,,,
110009,RO,202101,1353,2458,279,5,54,343
110009,RO,202102,1198,2544,290,10,57,391
110009,RO,202103,1214,2550,301,16,62,405
110009,RO,202104,1220,2556,318,21,62,409
110009,RO,202105,1220,2556,318,21,62,409
110009,RO,202106,1220,2556,318,21,33,413
110009,RO,202107,1221,2556,318,18,33,413
110009,RO,202108,1219,2492,387,33,13,411
110009,RO,202109,1219,2479,401,33,5,411
110009,RO,202110,1219,2462,418,0,17,413
110009,RO,202111,,,,,,
110009,RO,202112,,,,,,
110010,RO,202101,3071,6310,744,38,181,692
110010,RO,202102,2685,6236,762,42,185,693
110010,RO,202103,2885,6462,817,38,200,814
110010,RO,202104,2930,6496,850,50,204,831
110010,RO,202105,2930,6496,850,50,204,831
110010,RO,202106,2930,6501,850,50,147,835
110010,RO,202107,2939,6503,850,27,147,838
110010,RO,202108,2936,6381,984,147,23,835
110010,RO,202109,2936,6337,1032,147,13,836
110010,RO,202110,2936,6311,1066,0,56,840
110010,RO,202111,,,,,,
110010,RO,202112,,,,,,
110011,RO,202101,1438,3146,411,16,108,57
110011,RO,202102,855,3262,423,32,114,68
110011,RO,202103,849,3269,442,34,132,74
110011,RO,202104,868,3294,461,37,129,76
110011,RO,202105,868,3294,461,37,129,76
110011,RO,202106,868,3296,461,37,82,79
110011,RO,202107,878,3298,461,26,82,79
110011,RO,202108,883,3212,548,82,9,80
110011,RO,202109,883,3195,565,82,3,80
110011,RO,202110,883,3177,586,0,43,79
110011,RO,202111,,,,,,
110011,RO,202112,,,,,,
110012,RO,202101,1697,4320,430,18,122,190
110012,RO,202102,1065,4630,469,22,115,250
110012,RO,202103,1056,4607,492,18,124,250
110012,RO,202104,1059,4591,514,21,122,252
110012,RO,202105,1059,4591,514,21,122,252
110012,RO,202106,1059,4592,514,21,82,252
110012,RO,202107,1077,4592,514,6,82,253
