ibge,siglauf,anomes,qtd_ben_bas,qtd_ben_var,qtd_ben_bvj,qtd_ben_bvn,qtd_ben_bvg,qtd_ben_bsp
110001,RO,201601,1588,2882,337,38,32,456
110001,RO,201602,1554,2865,352,34,24,457
110001,RO,201603,1519,2825,356,29,24,446
110001,RO,201604,1501,2781,368,31,28,441
110001,RO,201605,1499,2778,379,30,21,441
110001,RO,201606,1522,2805,396,37,22,449
110001,RO,201607,1550,2791,404,32,18,511
110001,RO,201608,1531,2754,412,34,16,513
110001,RO,201609,1522,2759,411,40,13,502
110001,RO,201610,1535,2769,423,38,8,491
110001,RO,201611,1508,2752,417,38,12,470
110001,RO,201612,1432,2747,432,36,16,461
110002,RO,201601,3701,8266,971,111,47,696
110002,RO,201602,3544,8104,1001,90,47,682
110002,RO,201603,3373,7846,989,78,45,634
110002,RO,201604,3361,7850,1023,73,57,624
110002,RO,201605,3319,7726,1040,68,83,605
110002,RO,201606,3256,7631,1064,62,78,579
110002,RO,201607,3334,7768,1127,80,75,583
110002,RO,201608,3298,7679,1142,96,75,571
110002,RO,201609,3182,7751,1145,95,63,539
110002,RO,201610,3235,7808,1180,91,57,540
110002,RO,201611,3169,7744,1184,105,76,516
110002,RO,201612,2796,7641,1171,107,75,520
110003,RO,201601,270,548,54,4,8,25
110003,RO,201602,266,542,56,3,8,25
110003,RO,201603,257,521,56,3,7,24
110003,RO,201604,254,520,58,3,4,26
110003,RO,201605,254,510,57,3,4,26
110003,RO,201606,245,520,59,4,6,28
110003,RO,201607,245,509,55,6,4,30
110003,RO,201608,250,546,55,8,4,32
110003,RO,201609,231,518,56,8,2,33
110003,RO,201610,233,523,56,8,1,32
110003,RO,201611,230,512,61,9,6,33
110003,RO,201612,124,436,54,8,8,33
110004,RO,201601,2473,5829,727,68,91,166
110004,RO,201602,2332,5792,750,64,105,163
110004,RO,201603,2176,5496,721,55,101,153
110004,RO,201604,2113,5406,732,56,104,152
110004,RO,201605,2050,5292,753,41,76,151
110004,RO,201606,2059,5403,781,43,85,157
110004,RO,201607,2086,5402,798,51,78,189
110004,RO,201608,2039,5568,843,63,75,204
110004,RO,201609,1907,5480,829,71,66,208
110004,RO,201610,1931,5540,847,79,43,214
110004,RO,201611,1861,5429,854,81,43,211
110004,RO,201612,1448,5345,851,72,69,204
110005,RO,201601,679,1411,134,26,36,102
110005,RO,201602,636,1375,146,23,34,104
110005,RO,201603,616,1343,153,21,28,105
110005,RO,201604,624,1344,157,13,21,105
110005,RO,201605,613,1330,164,10,13,103
110005,RO,201606,614,1342,175,16,21,101
110005,RO,201607,632,1340,183,23,20,117
110005,RO,201608,629,1360,189,23,20,115
110005,RO,201609,618,1348,190,23,14,110
110005,RO,201610,613,1336,190,23,8,109
110005,RO,201611,605,1328,183,24,25,102
110005,RO,201612,561,1299,185,20,31,101
110006,RO,201601,554,1096,153,11,15,8
110006,RO,201602,517,1076,158,11,14,8
110006,RO,201603,506,1053,160,8,14,7
110006,RO,201604,500,1040,157,10,7,7
110006,RO,201605,486,1030,157,10,5,6
110006,RO,201606,478,1013,163,9,10,5
110006,RO,201607,475,1002,163,10,11,6
110006,RO,201608,472,1021,166,12,8,5
110006,RO,201609,442,991,164,13,7,5
110006,RO,201610,446,991,168,15,7,6
110006,RO,201611,430,973,172,15,16,4
110006,RO,201612,176,827,133,12,11,3
110007,RO,201601,652,1062,127,21,26,95
110007,RO,201602,651,1063,137,19,25,94
110007,RO,201603,637,1052,141,14,20,91
110007,RO,201604,639,1057,152,12,17,88
110007,RO,201605,635,1049,150,11,19,88
110007,RO,201606,638,1042,152,9,25,85
110007,RO,201607,647,1043,157,7,24,96
110007,RO,201608,642,1032,160,6,24,90
110007,RO,201609,604,994,164,9,11,82
110007,RO,201610,607,996,169,10,8,79
110007,RO,201611,590,974,165,9,27,76
110007,RO,201612,508,970,170,10,30,75
110008,RO,201601,1635,2853,392,36,45,722
110008,RO,201602,1620,2840,408,34,46,724
110008,RO,201603,1617,2829,415,32,47,719
110008,RO,201604,1634,2883,422,40,43,716
110008,RO,201605,1640,2880,436,44,33,715
110008,RO,201606,1627,2860,449,47,49,710
110008,RO,201607,1632,2847,459,42,48,775
110008,RO,201608,1626,2824,470,43,47,772
110008,RO,201609,1671,2906,477,51,41,790
110008,RO,201610,1684,2893,488,45,29,789
110008,RO,201611,1654,2854,490,37,37,770
110008,RO,201612,1590,2909,509,32,46,769
110009,RO,201601,1213,2972,331,41,47,219
110009,RO,201602,1165,2968,354,37,53,211
110009,RO,201603,1109,2914,355,41,49,203
110009,RO,201604,1104,2894,373,42,49,189
110009,RO,201605,1098,2877,382,46,56,185
110009,RO,201606,1099,2893,394,46,77,180
110009,RO,201607,1130,2834,403,37,64,183
110009,RO,201608,1124,2834,409,41,56,186
110009,RO,201609,1066,2756,399,39,53,167
110009,RO,201610,1086,2801,406,40,53,167
110009,RO,201611,1087,2801,397,40,61,171
110009,RO,201612,1021,2830,407,48,70,175
110010,RO,201601,3544,7170,898,51,105,933
110010,RO,201602,3462,7132,927,43,127,922
110010,RO,201603,3087,6899,904,42,111,815
110010,RO,201604,3088,6947,943,54,120,804
110010,RO,201605,3056,6931,981,44,79,775
110010,RO,201606,3052,6914,1018,43,96,771
110010,RO,201607,3127,6962,1045,48,89,807
110010,RO,201608,3035,6826,1079,50,86,764
110010,RO,201609,2949,6916,1094,51,74,730
110010,RO,201610,2962,6875,1103,45,64,700
110010,RO,201611,2934,6898,1139,53,51,652
110010,RO,201612,2703,6870,1151,51,66,621
110011,RO,201601,2531,5699,679,90,62,397
110011,RO,201602,2398,5687,705,84,74,396
110011,RO,201603,2282,5503,709,77,67,380
