Estado,Taxa_Abandono_EF2008,Taxa_Abandono_EM2008
Rondônia,2.2,16
Acre,4.1,16.8
Amazonas,6.2,17.9
Roraima,1.2,10.5
Pará,6.9,25.1
Amapá,3.5,22.9
Tocantins,1.6,14.2
Maranhão,4.5,20.5
Piauí,4.1,29.7
Ceará,2.6,17.7
Rio Grande do Norte,4.6,27.9
Paraíba,7,24.5
Pernambuco,4.7,21.5
Alagoas,5.7,21.8
Sergipe,4.5,24.6
Bahia,5.9,24.7
Minas Gerais,1.1,13.2
Espírito Santo,1.2,14
Rio de Janeiro,2.7,18
São Paulo,0.3,4.9
Paraná,0.5,12.6
Santa Catarina,0.3,9.4
Rio Grande do Sul,0.7,16.4
Mato Grosso do Sul,1.7,14.2
Mato Grosso,2.5,23.2
Goiás,2.7,18.2
Distrito Federal,1.1,5.8
