Estado,Taxa_Abandono_EF2022,Taxa_Abandono_EM2022
Brasil,1.1,5.7
Norte,2.4,8.8
Nordeste,1.7,6.7
Sudeste,0.7,4.4
Sul,0.6,6
Centro-Oeste,0.5,4.5
Rondônia,1.1,7.1
Acre,2.7,8.9
Amazonas,2.4,7.8
Roraima,1.9,8.6
Pará,3.1,10.8
Amapá,1.7,6.8
Tocantins,0.5,3.5
Maranhão,1.7,4.8
Piauí,1.3,7.8
Ceará,0.3,2.9
Rio Grande do Norte,2,10.1
Paraíba,2.2,9.4
Pernambuco,0.8,1.5
Alagoas,1.6,6.7
Sergipe,1.7,4.6
Bahia,2.9,11.7
Minas Gerais,0.8,6.8
Espírito Santo,0.5,1.8
Rio de Janeiro,0.8,5.3
São Paulo,0.4,3.3
Paraná,0.4,3.6
Santa Catarina,0.3,5
Rio Grande do Sul,1,9.5
Mato Grosso do Sul,0.7,4.7
Mato Grosso,0.5,9.7
Goiás,0.5,1.6
Distrito Federal,0.6,3.6
