Estado,Taxa_Abandono_EF2012,Taxa_Abandono_EM2012
Rondônia,2.7,11.5
Acre,3.2,10.2
Amazonas,5.6,11.6
Roraima,3.3,11.2
Pará,4.8,16.6
Amapá,3.5,17.7
Tocantins,1.7,7.2
Maranhão,3.7,12
Piauí,3.5,16.9
Ceará,2.3,9.7
Rio Grande do Norte,4.7,16.7
Paraíba,6.2,14.9
Pernambuco,3.7,7.4
Alagoas,7.5,18.2
Sergipe,4.8,13.7
Bahia,5.5,14.1
Minas Gerais,1.8,9
Espírito Santo,1.4,7.3
Rio de Janeiro,1.7,7.4
São Paulo,0.9,4.6
Paraná,1.6,6.2
Santa Catarina,0.8,6.9
Rio Grande do Sul,1.3,10.3
Mato Grosso do Sul,2.5,10.3
Mato Grosso,1.1,13
Goiás,2.6,7.2
Distrito Federal,1.4,7.3
