Estado,Taxa_Abandono_EF2020,Taxa_Abandono_EM2020
Rondônia,2.1,2.3
Acre,1.8,3.3
Amazonas,0.8,0.1
Roraima,0.7,0.8
Pará,1.7,0.7
Amapá,1.4,2.4
Tocantins,1.1,4.1
Maranhão,2.3,5.3
Piauí,1.6,5.3
Ceará,0.9,2.8
Rio Grande do Norte,1.6,0.6
Paraíba,2.5,2.4
Pernambuco,1.3,0.3
Alagoas,1.1,0.5
Sergipe,1.1,2
Bahia,2.1,1
Minas Gerais,1.9,7.3
Espírito Santo,0.5,2.2
Rio de Janeiro,1.2,0.5
São Paulo,0.2,0.4
Paraná,0.5,3.1
Santa Catarina,0.2,3.6
Rio Grande do Sul,0.3,6.2
Mato Grosso do Sul,0.3,0.7
Mato Grosso,0.2,0.7
Goiás,0.7,1.7
Distrito Federal,0.2,0.6
