Ano,Região,UF,Código do Município,Nome do Município,Localização,Rede,Total_Abandono_EF2008,Total_Abandono_EM2008
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,Estadual,0,--
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,Municipal,0,--
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,Publico,0,--
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,Total,0,--
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,Estadual,0,19.7
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,Municipal,0,--
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,Particular,0,--
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,Publico,0,19.7
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,Total,0,19.7
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,Estadual,0,19.7
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,Municipal,0,--
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,Particular,0,--
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,Publico,0,19.7
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,Total,0,19.7
2008,Norte,RO,1100023,ARIQUEMES,Rural,Municipal,3.4,--
2008,Norte,RO,1100023,ARIQUEMES,Rural,Publico,3.4,--
2008,Norte,RO,1100023,ARIQUEMES,Rural,Total,3.4,--
2008,Norte,RO,1100023,ARIQUEMES,Total,Estadual,0,21.6
2008,Norte,RO,1100023,ARIQUEMES,Total,Municipal,1.7,--
2008,Norte,RO,1100023,ARIQUEMES,Total,Particular,0,0
2008,Norte,RO,1100023,ARIQUEMES,Total,Publico,1.5,21.6
2008,Norte,RO,1100023,ARIQUEMES,Total,Total,1.4,20.4
2008,Norte,RO,1100023,ARIQUEMES,Urbana,Estadual,0,21.6
2008,Norte,RO,1100023,ARIQUEMES,Urbana,Municipal,1.4,--
2008,Norte,RO,1100023,ARIQUEMES,Urbana,Particular,0,0
2008,Norte,RO,1100023,ARIQUEMES,Urbana,Publico,1.2,21.6
2008,Norte,RO,1100023,ARIQUEMES,Urbana,Total,1.1,20.4
2008,Norte,RO,1100031,CABIXI,Total,Estadual,0,10.6
2008,Norte,RO,1100031,CABIXI,Total,Municipal,0,--
2008,Norte,RO,1100031,CABIXI,Total,Publico,0,10.6
2008,Norte,RO,1100031,CABIXI,Total,Total,0,10.6
2008,Norte,RO,1100031,CABIXI,Urbana,Estadual,0,10.6
2008,Norte,RO,1100031,CABIXI,Urbana,Municipal,0,--
2008,Norte,RO,1100031,CABIXI,Urbana,Publico,0,10.6
2008,Norte,RO,1100031,CABIXI,Urbana,Total,0,10.6
2008,Norte,RO,1100049,CACOAL,Rural,Estadual,17.4,--
2008,Norte,RO,1100049,CACOAL,Rural,Municipal,3.7,--
2008,Norte,RO,1100049,CACOAL,Rural,Particular,--,6.5
2008,Norte,RO,1100049,CACOAL,Rural,Publico,4.9,--
2008,Norte,RO,1100049,CACOAL,Rural,Total,4.9,6.5
2008,Norte,RO,1100049,CACOAL,Total,Estadual,1.9,20.3
2008,Norte,RO,1100049,CACOAL,Total,Municipal,2.7,--
2008,Norte,RO,1100049,CACOAL,Total,Particular,0.6,1.2
2008,Norte,RO,1100049,CACOAL,Total,Publico,2.6,20.3
2008,Norte,RO,1100049,CACOAL,Total,Total,2.2,16.7
2008,Norte,RO,1100049,CACOAL,Urbana,Estadual,0,20.3
2008,Norte,RO,1100049,CACOAL,Urbana,Municipal,2.3,--
2008,Norte,RO,1100049,CACOAL,Urbana,Particular,0.6,0
2008,Norte,RO,1100049,CACOAL,Urbana,Publico,1.7,20.3
2008,Norte,RO,1100049,CACOAL,Urbana,Total,1.5,17.1
2008,Norte,RO,1100056,CEREJEIRAS,Rural,Municipal,10.5,--
2008,Norte,RO,1100056,CEREJEIRAS,Rural,Publico,10.5,--
2008,Norte,RO,1100056,CEREJEIRAS,Rural,Total,10.5,--
2008,Norte,RO,1100056,CEREJEIRAS,Total,Estadual,2.9,14.8
2008,Norte,RO,1100056,CEREJEIRAS,Total,Municipal,3.2,--
2008,Norte,RO,1100056,CEREJEIRAS,Total,Particular,0,0
2008,Norte,RO,1100056,CEREJEIRAS,Total,Publico,3.1,14.8
2008,Norte,RO,1100056,CEREJEIRAS,Total,Total,2.9,14.4
2008,Norte,RO,1100056,CEREJEIRAS,Urbana,Estadual,2.9,14.8
2008,Norte,RO,1100056,CEREJEIRAS,Urbana,Municipal,0.8,--
2008,Norte,RO,1100056,CEREJEIRAS,Urbana,Particular,0,0
2008,Norte,RO,1100056,CEREJEIRAS,Urbana,Publico,1.6,14.8
2008,Norte,RO,1100056,CEREJEIRAS,Urbana,Total,1.5,14.4
2008,Norte,RO,1100064,COLORADO DO OESTE,Rural,Federal,--,0.9
2008,Norte,RO,1100064,COLORADO DO OESTE,Rural,Municipal,0,--
2008,Norte,RO,1100064,COLORADO DO OESTE,Rural,Publico,0,0.9
2008,Norte,RO,1100064,COLORADO DO OESTE,Rural,Total,0,0.9
2008,Norte,RO,1100064,COLORADO DO OESTE,Total,Estadual,0,2.3
2008,Norte,RO,1100064,COLORADO DO OESTE,Total,Federal,--,0.9
2008,Norte,RO,1100064,COLORADO DO OESTE,Total,Municipal,0,--
2008,Norte,RO,1100064,COLORADO DO OESTE,Total,Particular,--,--
2008,Norte,RO,1100064,COLORADO DO OESTE,Total,Publico,0,1.8
2008,Norte,RO,1100064,COLORADO DO OESTE,Total,Total,0,1.8
2008,Norte,RO,1100064,COLORADO DO OESTE,Urbana,Estadual,0,2.3
2008,Norte,RO,1100064,COLORADO DO OESTE,Urbana,Particular,--,--
2008,Norte,RO,1100064,COLORADO DO OESTE,Urbana,Publico,0,2.3
2008,Norte,RO,1100064,COLORADO DO OESTE,Urbana,Total,0,2.3
2008,Norte,RO,1100072,CORUMBIARA,Rural,Municipal,0,--
2008,Norte,RO,1100072,CORUMBIARA,Rural,Publico,0,--
2008,Norte,RO,1100072,CORUMBIARA,Rural,Total,0,--
2008,Norte,RO,1100072,CORUMBIARA,Total,Estadual,0,23.7
2008,Norte,RO,1100072,CORUMBIARA,Total,Municipal,0,--
2008,Norte,RO,1100072,CORUMBIARA,Total,Publico,0,23.7
2008,Norte,RO,1100072,CORUMBIARA,Total,Total,0,23.7
2008,Norte,RO,1100072,CORUMBIARA,Urbana,Estadual,0,23.7
2008,Norte,RO,1100072,CORUMBIARA,Urbana,Municipal,0,--
2008,Norte,RO,1100072,CORUMBIARA,Urbana,Publico,0,23.7
2008,Norte,RO,1100072,CORUMBIARA,Urbana,Total,0,23.7
2008,Norte,RO,1100080,COSTA MARQUES,Rural,Municipal,8.7,--
2008,Norte,RO,1100080,COSTA MARQUES,Rural,Publico,8.7,--
2008,Norte,RO,1100080,COSTA MARQUES,Rural,Total,8.7,--
2008,Norte,RO,1100080,COSTA MARQUES,Total,Estadual,2.5,25.9
2008,Norte,RO,1100080,COSTA MARQUES,Total,Municipal,5.8,--
2008,Norte,RO,1100080,COSTA MARQUES,Total,Publico,5.2,25.9
2008,Norte,RO,1100080,COSTA MARQUES,Total,Total,5.2,25.9
2008,Norte,RO,1100080,COSTA MARQUES,Urbana,Estadual,2.5,25.9
2008,Norte,RO,1100080,COSTA MARQUES,Urbana,Municipal,1.2,--
2008,Norte,RO,1100080,COSTA MARQUES,Urbana,Publico,1.7,25.9
2008,Norte,RO,1100080,COSTA MARQUES,Urbana,Total,1.7,25.9
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Rural,Estadual,24.5,--
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Rural,Municipal,2.3,--
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Rural,Publico,10.6,--
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Rural,Total,10.6,--
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Total,Estadual,7.4,23.1
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Total,Municipal,0.8,--
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Total,Particular,--,0
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Total,Publico,3.5,23.1
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Total,Total,3.5,22.4
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Urbana,Estadual,0,23.1
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Urbana,Municipal,0,--
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Urbana,Particular,--,0
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Urbana,Publico,0,23.1
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Urbana,Total,0,22.4
2008,Norte,RO,1100106,GUAJARA-MIRIM,Rural,Estadual,--,--
2008,Norte,RO,1100106,GUAJARA-MIRIM,Rural,Municipal,--,--
2008,Norte,RO,1100106,GUAJARA-MIRIM,Rural,Publico,--,--
2008,Norte,RO,1100106,GUAJARA-MIRIM,Rural,Total,--,--
2008,Norte,RO,1100106,GUAJARA-MIRIM,Total,Estadual,2,17.8
2008,Norte,RO,1100106,GUAJARA-MIRIM,Total,Municipal,--,--
2008,Norte,RO,1100106,GUAJARA-MIRIM,Total,Particular,0,0
2008,Norte,RO,1100106,GUAJARA-MIRIM,Total,Publico,2,17.8
2008,Norte,RO,1100106,GUAJARA-MIRIM,Total,Total,1.7,16.9
2008,Norte,RO,1100106,GUAJARA-MIRIM,Urbana,Estadual,2,17.8
2008,Norte,RO,1100106,GUAJARA-MIRIM,Urbana,Municipal,--,--
2008,Norte,RO,1100106,GUAJARA-MIRIM,Urbana,Particular,0,0
2008,Norte,RO,1100106,GUAJARA-MIRIM,Urbana,Publico,2,17.8
2008,Norte,RO,1100106,GUAJARA-MIRIM,Urbana,Total,1.7,16.9
2008,Norte,RO,1100114,JARU,Rural,Estadual,0,18.9
2008,Norte,RO,1100114,JARU,Rural,Municipal,2.4,--
