Estado,Taxa_Abandono_EF2015,Taxa_Abandono_EM2015
Rondônia,2.1,9.3
Acre,2.7,9.6
Amazonas,3.9,11.2
Roraima,2.9,9.2
Pará,4.4,16.8
Amapá,2.9,10.7
Tocantins,1.7,7.7
Maranhão,3,8.2
Piauí,2.5,11.8
Ceará,1.5,7.2
Rio Grande do Norte,3.4,10.8
Paraíba,4.2,11.5
Pernambuco,2.2,2.3
Alagoas,5.1,13.8
Sergipe,4.3,13.4
Bahia,4,7.5
Minas Gerais,1.3,6.7
Espírito Santo,1.1,4.7
Rio de Janeiro,1.4,3.6
São Paulo,0.7,3.2
Paraná,1.3,7.7
Santa Catarina,0.5,7.4
Rio Grande do Sul,1.1,7.1
Mato Grosso do Sul,1.8,8.9
Mato Grosso,0.6,13.5
Goiás,1.3,5.9
Distrito Federal,1.4,3.9
