Estado,Taxa_Abandono_EF2010,Taxa_Abandono_EM2010
Rondônia,1.4,13.6
Acre,3.8,15.3
Amazonas,5.1,12.7
Roraima,1.2,8.2
Pará,5.1,21.8
Amapá,2,19.5
Tocantins,0.8,10.3
Maranhão,2.7,17.8
Piauí,2.4,21.9
Ceará,1.6,13.1
Rio Grande do Norte,3.1,21.5
Paraíba,4.2,22.2
Pernambuco,2.4,12.4
Alagoas,4.2,22.3
Sergipe,2.1,20.2
Bahia,3.3,19.4
Minas Gerais,0.6,10.8
Espírito Santo,0.9,8.9
Rio de Janeiro,1.8,15.3
São Paulo,0.4,5.3
Paraná,0.3,7.9
Santa Catarina,0.2,9.4
Rio Grande do Sul,0.6,14.3
Mato Grosso do Sul,1.2,13.7
Mato Grosso,0.7,13.3
Goiás,1.6,13.2
Distrito Federal,0.7,8.9
