Estado,Taxa_Abandono_EF2011,Taxa_Abandono_EM2011
Rondônia,3,11.6
Acre,3.4,11.8
Amazonas,5.8,10.4
Roraima,2.6,7.4
Pará,5.1,17.7
Amapá,3.2,14.5
Tocantins,1.6,8.6
Maranhão,3.5,13.7
Piauí,3.3,15.5
Ceará,2.6,11.5
Rio Grande do Norte,5.4,19.3
Paraíba,6.6,16.3
Pernambuco,4.1,10.1
Alagoas,7.6,18.7
Sergipe,4.5,13.2
Bahia,5.5,12.5
Minas Gerais,2,9.1
Espírito Santo,1.7,7.7
Rio de Janeiro,2.1,10.1
São Paulo,0.9,4.5
Paraná,1.6,6
Santa Catarina,0.9,8
Rio Grande do Sul,1.4,10.1
Mato Grosso do Sul,2.7,10.3
Mato Grosso,1.1,11.5
Goiás,2.7,6.9
Distrito Federal,1.1,7.3
