Estado,Taxa_Abandono_EF2009,Taxa_Abandono_EM2009
Rondônia,1.6,14
Acre,4.3,14.7
Amazonas,5.6,16.9
Roraima,1,10.2
Pará,6,24.4
Amapá,1.5,21.1
Tocantins,1.3,11
Maranhão,3,17.1
Piauí,2.7,26.7
Ceará,2.2,16.4
Rio Grande do Norte,3.7,25.3
Paraíba,5.4,23.2
Pernambuco,3.8,16.3
Alagoas,5.2,24.3
Sergipe,3.4,20.6
Bahia,4.5,22.8
Minas Gerais,0.9,11.6
Espírito Santo,1,13.2
Rio de Janeiro,2.4,16.9
São Paulo,0.2,4.6
Paraná,0.4,9.9
Santa Catarina,0.3,8.7
Rio Grande do Sul,0.6,15.4
Mato Grosso do Sul,1.4,13.7
Mato Grosso,1.6,18.4
Goiás,2.2,13.7
Distrito Federal,0.7,10.4
