Estado,Taxa_Abandono_EF2019,Taxa_Abandono_EM2019
Brasil,1.2,4.8
Norte,2.3,9
Nordeste,1.7,5.2
Sudeste,0.6,3.4
Sul,0.6,4.3
Centro-Oeste,0.7,4.8
Rondônia,1.1,5.6
Acre,2.1,6.4
Amazonas,2.4,10.2
Roraima,1.9,7.1
Pará,2.9,10.1
Amapá,2,9.7
Tocantins,0.9,4.2
Maranhão,1.8,4.7
Piauí,1.3,7.2
Ceará,0.7,3.5
Rio Grande do Norte,2,7.5
Paraíba,2.3,6.3
Pernambuco,0.9,1.4
Alagoas,1.5,6.1
Sergipe,2,6.3
Bahia,2.6,7.1
Minas Gerais,0.6,4.6
Espírito Santo,0.5,2.1
Rio de Janeiro,1,5.8
São Paulo,0.4,2
Paraná,0.5,3.1
Santa Catarina,0.4,5.1
Rio Grande do Sul,0.9,5.3
Mato Grosso do Sul,1.1,6
Mato Grosso,0.6,9.6
Goiás,0.6,1.9
Distrito Federal,0.8,3.7
