Ano,Região,UF,Código do Município,Nome do Município,Localização,Rede,Total_Abandono_EF2018,Total_Abandono_EM2018  
2018,Norte,RO,1100072,Corumbiara,Total,Estadual,1.1,2.5
2018,Norte,RO,1100072,Corumbiara,Urbana,Estadual,0.7,2.4
2018,Norte,RO,1100072,Corumbiara,Rural,Estadual,1.4,2.7
2018,Norte,RO,1100072,Corumbiara,Total,Municipal,2.1,--
2018,Norte,RO,1100072,Corumbiara,Urbana,Municipal,0,--
2018,Norte,RO,1100072,Corumbiara,Rural,Municipal,3.8,--
2018,Norte,RO,1100072,Corumbiara,Total,Pública,1.7,2.5
2018,Norte,RO,1100072,Corumbiara,Urbana,Pública,0.4,2.4
2018,Norte,RO,1100072,Corumbiara,Rural,Pública,2.8,2.7
2018,Norte,RO,1100080,Costa Marques,Total,Total,2.2,7.3
2018,Norte,RO,1100080,Costa Marques,Urbana,Total,0.7,3.9
2018,Norte,RO,1100080,Costa Marques,Rural,Total,4.4,18.1
2018,Norte,RO,1100080,Costa Marques,Total,Estadual,2.8,7.3
2018,Norte,RO,1100080,Costa Marques,Urbana,Estadual,1,3.9
2018,Norte,RO,1100080,Costa Marques,Rural,Estadual,10.1,18.1
2018,Norte,RO,1100080,Costa Marques,Total,Municipal,1.9,--
2018,Norte,RO,1100080,Costa Marques,Urbana,Municipal,0.5,--
2018,Norte,RO,1100080,Costa Marques,Rural,Municipal,3.2,--
2018,Norte,RO,1100080,Costa Marques,Total,Pública,2.2,7.3
2018,Norte,RO,1100080,Costa Marques,Urbana,Pública,0.7,3.9
2018,Norte,RO,1100080,Costa Marques,Rural,Pública,4.4,18.1
2018,Norte,RO,1100098,Espigão D'Oeste,Total,Total,0.8,5.8
2018,Norte,RO,1100098,Espigão D'Oeste,Urbana,Total,0.3,5.8
2018,Norte,RO,1100098,Espigão D'Oeste,Rural,Total,2.1,5.3
2018,Norte,RO,1100098,Espigão D'Oeste,Total,Estadual,1,6.1
2018,Norte,RO,1100098,Espigão D'Oeste,Urbana,Estadual,0.4,6.1
2018,Norte,RO,1100098,Espigão D'Oeste,Rural,Estadual,3.5,5.3
2018,Norte,RO,1100098,Espigão D'Oeste,Total,Municipal,0.8,--
2018,Norte,RO,1100098,Espigão D'Oeste,Urbana,Municipal,0.1,--
2018,Norte,RO,1100098,Espigão D'Oeste,Rural,Municipal,1.5,--
2018,Norte,RO,1100098,Espigão D'Oeste,Total,Privada,0,0
2018,Norte,RO,1100098,Espigão D'Oeste,Urbana,Privada,0,0
2018,Norte,RO,1100098,Espigão D'Oeste,Total,Pública,0.9,6.1
2018,Norte,RO,1100098,Espigão D'Oeste,Urbana,Pública,0.3,6.1
2018,Norte,RO,1100098,Espigão D'Oeste,Rural,Pública,2.1,5.3
2018,Norte,RO,1100106,Guajará-Mirim,Total,Total,1.6,9.5
2018,Norte,RO,1100106,Guajará-Mirim,Urbana,Total,1.8,9.8
2018,Norte,RO,1100106,Guajará-Mirim,Rural,Total,0.8,0
2018,Norte,RO,1100106,Guajará-Mirim,Total,Federal,--,0.7
2018,Norte,RO,1100106,Guajará-Mirim,Urbana,Federal,--,0.7
2018,Norte,RO,1100106,Guajará-Mirim,Total,Estadual,2.2,12
2018,Norte,RO,1100106,Guajará-Mirim,Urbana,Estadual,3,12.5
2018,Norte,RO,1100106,Guajará-Mirim,Rural,Estadual,0.8,0
2018,Norte,RO,1100106,Guajará-Mirim,Total,Municipal,1,--
2018,Norte,RO,1100106,Guajará-Mirim,Urbana,Municipal,1,--
2018,Norte,RO,1100106,Guajará-Mirim,Rural,Municipal,1.1,--
2018,Norte,RO,1100106,Guajará-Mirim,Total,Privada,0,2.9
2018,Norte,RO,1100106,Guajará-Mirim,Urbana,Privada,0,2.9
2018,Norte,RO,1100106,Guajará-Mirim,Total,Pública,1.7,9.7
2018,Norte,RO,1100106,Guajará-Mirim,Urbana,Pública,2,10
2018,Norte,RO,1100106,Guajará-Mirim,Rural,Pública,0.8,0
2018,Norte,RO,1100114,Jaru,Total,Total,1,5.9
2018,Norte,RO,1100114,Jaru,Urbana,Total,0.9,5.3
2018,Norte,RO,1100114,Jaru,Rural,Total,1.3,8.1
2018,Norte,RO,1100114,Jaru,Total,Federal,--,0
2018,Norte,RO,1100114,Jaru,Urbana,Federal,--,0
2018,Norte,RO,1100114,Jaru,Total,Estadual,1.7,6.5
2018,Norte,RO,1100114,Jaru,Urbana,Estadual,1.6,5.8
2018,Norte,RO,1100114,Jaru,Rural,Estadual,2.2,9
2018,Norte,RO,1100114,Jaru,Total,Municipal,0.2,--
2018,Norte,RO,1100114,Jaru,Urbana,Municipal,0.1,--
2018,Norte,RO,1100114,Jaru,Rural,Municipal,0.5,--
2018,Norte,RO,1100114,Jaru,Total,Privada,0,1.9
2018,Norte,RO,1100114,Jaru,Urbana,Privada,0,0
2018,Norte,RO,1100114,Jaru,Rural,Privada,--,3.1
2018,Norte,RO,1100114,Jaru,Total,Pública,1,6.2
2018,Norte,RO,1100114,Jaru,Urbana,Pública,1,5.5
2018,Norte,RO,1100114,Jaru,Rural,Pública,1.3,9
2018,Norte,RO,1100122,Ji-Paraná,Total,Total,0.8,5.1
2018,Norte,RO,1100122,Ji-Paraná,Urbana,Total,0.8,5.3
2018,Norte,RO,1100122,Ji-Paraná,Rural,Total,0.5,0.5
2018,Norte,RO,1100122,Ji-Paraná,Total,Federal,--,0.7
2018,Norte,RO,1100122,Ji-Paraná,Urbana,Federal,--,0.7
2018,Norte,RO,1100122,Ji-Paraná,Total,Estadual,1,6.4
2018,Norte,RO,1100122,Ji-Paraná,Urbana,Estadual,1.1,6.5
2018,Norte,RO,1100122,Ji-Paraná,Rural,Estadual,0.8,0
2018,Norte,RO,1100122,Ji-Paraná,Total,Municipal,0.1,--
2018,Norte,RO,1100122,Ji-Paraná,Urbana,Municipal,0,--
2018,Norte,RO,1100122,Ji-Paraná,Rural,Municipal,0.4,--
2018,Norte,RO,1100122,Ji-Paraná,Total,Privada,0,0.2
2018,Norte,RO,1100122,Ji-Paraná,Urbana,Privada,0,0
2018,Norte,RO,1100122,Ji-Paraná,Rural,Privada,--,0.6
2018,Norte,RO,1100122,Ji-Paraná,Total,Pública,0.8,5.5
2018,Norte,RO,1100122,Ji-Paraná,Urbana,Pública,0.8,5.5
2018,Norte,RO,1100122,Ji-Paraná,Rural,Pública,0.5,0
2018,Norte,RO,1100130,Machadinho D'Oeste,Total,Total,1.2,3.3
2018,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Total,1.3,1.4
2018,Norte,RO,1100130,Machadinho D'Oeste,Rural,Total,0.9,12
2018,Norte,RO,1100130,Machadinho D'Oeste,Total,Estadual,3,3.3
2018,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Estadual,2.6,1.4
2018,Norte,RO,1100130,Machadinho D'Oeste,Rural,Estadual,4.9,12
2018,Norte,RO,1100130,Machadinho D'Oeste,Total,Municipal,0.1,--
2018,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Municipal,0.1,--
2018,Norte,RO,1100130,Machadinho D'Oeste,Rural,Municipal,0,--
2018,Norte,RO,1100130,Machadinho D'Oeste,Total,Privada,0,0
2018,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Privada,0,0
2018,Norte,RO,1100130,Machadinho D'Oeste,Total,Pública,1.3,3.3
2018,Norte,RO,1100130,Machadinho D'Oeste,Urbana,Pública,1.4,1.4
2018,Norte,RO,1100130,Machadinho D'Oeste,Rural,Pública,0.9,12
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Total,Total,0,10.6
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Total,0,10.6
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Rural,Total,0,--
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Total,Estadual,0,10.6
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Estadual,0,10.6
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Total,Municipal,0,--
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Municipal,0,--
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Rural,Municipal,0,--
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Total,Pública,0,10.6
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Urbana,Pública,0,10.6
