Estado,Taxa_Abandono_EF2021,Taxa_Abandono_EM2021
Brasil,1.2,5
Norte,2.5,10.1
Nordeste,1.9,6.3
Sudeste,0.7,3
Sul,0.8,5.7
Centro-Oeste,0.4,2.2
Rondônia,1.1,5
Acre,2.6,6.2
Amazonas,2.5,5.5
Roraima,1.5,4.8
Pará,3.1,15.6
Amapá,2.1,7.5
Tocantins,0.6,3.3
Maranhão,2.5,6.4
Piauí,1.4,4.5
Ceará,0.3,1.9
Rio Grande do Norte,3.7,14.7
Paraíba,1.8,3.3
Pernambuco,0.6,1.4
Alagoas,1.1,7.8
Sergipe,1.4,3.1
Bahia,3.3,10.6
Minas Gerais,0.8,3.5
Espírito Santo,0.7,2.3
Rio de Janeiro,0.9,1.9
São Paulo,0.6,3.3
Paraná,0.2,1.2
Santa Catarina,0.4,7.4
Rio Grande do Sul,1.5,9.4
Mato Grosso do Sul,0.4,1.4
Mato Grosso,0.4,5.3
Goiás,0.6,1.2
Distrito Federal,0.1,1
