Estado,Taxa_Abandono_EF2013,Taxa_Abandono_EM2013
Rondônia,2.5,10.5
Acre,2.7,10
Amazonas,5,11.8
Roraima,2.7,8.4
Pará,4.5,16.6
Amapá,3.1,14.3
Tocantins,1.5,6.9
Maranhão,3.3,10.9
Piauí,2.8,13.4
Ceará,1.9,8.5
Rio Grande do Norte,4,14.6
Paraíba,5,12.7
Pernambuco,3,4.7
Alagoas,6.4,14.9
Sergipe,4.3,12.9
Bahia,4.4,8.6
Minas Gerais,1.5,8.4
Espírito Santo,1.3,7.2
Rio de Janeiro,1.5,5.7
São Paulo,0.9,4.7
Paraná,1.4,6.4
Santa Catarina,0.7,7.4
Rio Grande do Sul,1.2,8.9
Mato Grosso do Sul,2.2,9.5
Mato Grosso,0.8,13.5
Goiás,1.5,6.1
Distrito Federal,1.2,5.5
