Estado,Taxa_Abandono_EF2018,Taxa_Abandono_EM2018
Brasil,1.5,6.1
Norte,2.8,10.6
Rondônia,1.4,6.6
Acre,2.2,6.3
Amazonas,2.8,10.5
Roraima,2,7.8
Pará,3.6,12.8
Amapá,2.4,10.4
Tocantins,1.1,4.9
Nordeste,2.2,6.7
Maranhão,2.3,6.7
Piauí,1.8,9
Ceará,0.9,4.6
Rio Grande do Norte,2.6,8.6
Paraíba,3,9.5
Pernambuco,1.3,1.2
Alagoas,2.9,8.2
Sergipe,2.5,8.5
Bahia,3.3,9
Sudeste,0.8,4.6
Minas Gerais,1.1,7.8
Espírito Santo,0.7,2.8
Rio de Janeiro,1.3,4.3
São Paulo,0.5,3.2
Sul,0.8,6.5
Paraná,0.8,6.3
Santa Catarina,0.5,5.3
Rio Grande do Sul,0.9,7.4
Centro-Oeste,0.8,5.2
Mato Grosso do Sul,1.3,7.4
Mato Grosso,0.6,9.4
Goiás,0.8,2.5
Distrito Federal,0.7,3.6
