Estado,Taxa_Abandono_EF2007,Taxa_Abandono_EM2007
Rondônia,3.3,16.4
Acre,2.9,18
Amazonas,6.6,14.1
Roraima,2,11.2
Pará,9.6,23.5
Amapá,5,23.8
Tocantins,1.9,14.7
Maranhão,4.6,22
Piauí,4.2,26.2
Ceará,3.1,19.3
Rio Grande do Norte,4.6,30.4
Paraíba,7.4,24.5
Pernambuco,6,28
Alagoas,7.2,25.2
Sergipe,6.3,24.8
Bahia,7,24.7
Minas Gerais,1.4,14.4
Espírito Santo,1.5,15.3
Rio de Janeiro,3,17.9
São Paulo,0.3,5.6
Paraná,0.5,11.5
Santa Catarina,0.5,9.2
Rio Grande do Sul,1.1,17.4
Mato Grosso do Sul,2.2,15.6
Mato Grosso,3.6,20.8
Goiás,3.4,19.8
Distrito Federal,1.6,9.6
