Estado,Taxa_Abandono_EF2017,Taxa_Abandono_EM2017
Brasil,1.6,6.1
Norte,2.9,9.8
Rondônia,1.3,6.4
Acre,2.3,6.8
Amazonas,3.1,8.9
Roraima,1.9,7.7
Pará,3.7,12.2
Amapá,2.4,8.8
Tocantins,1.2,5.6
Nordeste,2.7,7
Maranhão,2.5,6.1
Piauí,2.1,9.5
Ceará,1.1,6
Rio Grande do Norte,3,9.2
Paraíba,3.8,11.2
Pernambuco,1.8,1.5
Alagoas,3.3,8.7
Sergipe,3.1,10.5
Bahia,3.7,8.5
Sudeste,0.9,4.5
Minas Gerais,1.2,7.2
Espírito Santo,0.8,2.9
Rio de Janeiro,1.3,4.1
São Paulo,0.6,3.3
Sul,0.9,6.9
Paraná,0.9,6.8
Santa Catarina,0.4,6.3
Rio Grande do Sul,1,7.5
Centro-Oeste,0.9,5.6
Mato Grosso do Sul,1.4,7.7
Mato Grosso,0.7,10.2
Goiás,0.8,2.3
Distrito Federal,1.2,4.6
