Estado,Taxa_Abandono_EF2016,Taxa_Abandono_EM2016
Rondônia,1.9,7.2
Acre,2.3,9
Amazonas,3.3,9.1
Roraima,2.1,7.3
Pará,4,13.6
Amapá,2.9,9.1
Tocantins,1.5,6.4
Maranhão,2.9,8.1
Piauí,2.6,10.2
Ceará,1.5,8.6
Rio Grande do Norte,3.2,8.4
Paraíba,4.5,12.3
Pernambuco,2.1,1.6
Alagoas,4.6,12.8
Sergipe,3.9,11.8
Bahia,4.1,7.4
Minas Gerais,1.2,6.4
Espírito Santo,0.9,3.8
Rio de Janeiro,1.6,6.9
São Paulo,0.7,3.7
Paraná,0.9,6.1
Santa Catarina,0.4,6
Rio Grande do Sul,0.9,6.6
Mato Grosso do Sul,1.6,8.1
Mato Grosso,0.7,10.5
Goiás,1.1,5.4
Distrito Federal,1.1,3.6
