Estado,Taxa_Abandono_EF2023,Taxa_Abandono_EM2023
Brasil,0.7,3.4
Norte,1.5,2.4
Nordeste,1,3.4
Sudeste,0.5,3.5
Sul,0.3,4
Centro-Oeste,0.3,2.1
Rondônia,0.7,3.9
Acre,2.5,6.1
Amazonas,1.3,4.2
Roraima,1.3,4.3
Pará,1.7,0.4
Amapá,1.1,4.8
Tocantins,0.4,1.8
Maranhão,1,3.4
Piauí,0.5,2
Ceará,0.2,2
Rio Grande do Norte,1.5,8.1
Paraíba,1.3,6.5
Pernambuco,0.4,0.9
Alagoas,0.6,2.6
Sergipe,0.9,2.6
Bahia,1.6,4.8
Minas Gerais,0.7,5
Espírito Santo,0.3,1.6
Rio de Janeiro,0.6,4.2
São Paulo,0.4,2.8
Paraná,0.1,0.6
Santa Catarina,0.3,4.4
Rio Grande do Sul,0.8,7.7
Mato Grosso do Sul,0.5,3.6
Mato Grosso,0.2,2.5
Goiás,0.3,0.6
Distrito Federal,0.5,3
