NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,159416.0,40226.0,199642.0
Alagoas,503322.0,118933.0,622255.0
Amapá,135995.0,37428.0,173423.0
Amazonas,713666.0,199808.0,913474.0
Bahia,2079459.0,570301.0,2649760.0
Ceará,1221954.0,369610.0,1591564.0
Distrito Federal,381463.0,109143.0,490606.0
Espírito Santo,504055.0,123937.0,627992.0
Goiás,877890.0,225538.0,1103428.0
Maranhão,1197628.0,318515.0,1516143.0
Mato Grosso,463469.0,142495.0,605964.0
Mato Grosso do Sul,404450.0,96512.0,500962.0
Minas Gerais,2549399.0,842697.0,3392096.0
Paraná,1440374.0,439815.0,1880189.0
Paraíba,568156.0,143636.0,711792.0
Pará,1454390.0,359127.0,1813517.0
Pernambuco,1316293.0,352383.0,1668676.0
Piauí,488300.0,141248.0,629548.0
Rio Grande do Norte,475645.0,126265.0,601910.0
Rio Grande do Sul,1323307.0,347637.0,1670944.0
Rio de Janeiro,2019459.0,573300.0,2592759.0
Rondônia,272328.0,60537.0,332865.0
Roraima,93652.0,22838.0,116490.0
Santa Catarina,843520.0,221744.0,1065264.0
Sergipe,334473.0,79237.0,413710.0
São Paulo,5276326.0,1802429.0,7078755.0
Tocantins,249691.0,65045.0,314736.0
