NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,166211.0,34765.0,200976.0
Alagoas,651795.0,133638.0,785433.0
Amapá,142783.0,37013.0,179796.0
Amazonas,787156.0,160642.0,947798.0
Bahia,2560931.0,639970.0,3200901.0
Ceará,1555201.0,416922.0,1972123.0
Distrito Federal,420369.0,104956.0,525325.0
Espírito Santo,549561.0,138944.0,688505.0
Goiás,942378.0,267858.0,1210236.0
Maranhão,1384194.0,319679.0,1703873.0
Mato Grosso,511770.0,145276.0,657046.0
Mato Grosso do Sul,422425.0,91662.0,514087.0
Minas Gerais,3144422.0,824798.0,3969220.0
Paraná,1699448.0,474278.0,2173726.0
Paraíba,685349.0,149469.0,834818.0
Pará,1546601.0,346796.0,1893397.0
Pernambuco,1545868.0,437302.0,1983170.0
Piauí,609593.0,178778.0,788371.0
Rio Grande do Norte,554519.0,152326.0,706845.0
Rio Grande do Sul,1577334.0,416628.0,1993962.0
Rio de Janeiro,2368429.0,635618.0,3004047.0
Rondônia,298496.0,61074.0,359570.0
Roraima,86547.0,17512.0,104059.0
Santa Catarina,898622.0,244190.0,1142812.0
Sergipe,382996.0,84844.0,467840.0
São Paulo,6100512.0,1757519.0,7858031.0
Tocantins,274662.0,65966.0,340628.0
