NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,156679.0,39287.0,195966.0
Alagoas,464704.0,117488.0,582192.0
Amapá,134820.0,31639.0,166459.0
Amazonas,700104.0,207688.0,907792.0
Bahia,1947177.0,557441.0,2504618.0
Ceará,1165368.0,362470.0,1527838.0
Distrito Federal,373032.0,111860.0,484892.0
Espírito Santo,501920.0,120046.0,621966.0
Goiás,861291.0,254320.0,1115611.0
Maranhão,1123973.0,283607.0,1407580.0
Mato Grosso,477717.0,140030.0,617747.0
Mato Grosso do Sul,392015.0,104878.0,496893.0
Minas Gerais,2462047.0,746518.0,3208565.0
Paraná,1407978.0,425477.0,1833455.0
Paraíba,538748.0,138340.0,677088.0
Pará,1394011.0,354447.0,1748458.0
Pernambuco,1267292.0,342892.0,1610184.0
Piauí,458077.0,125788.0,583865.0
Rio Grande do Norte,448764.0,124711.0,573475.0
Rio Grande do Sul,1269309.0,343314.0,1612623.0
Rio de Janeiro,1967998.0,600032.0,2568030.0
Rondônia,252638.0,62664.0,315302.0
Roraima,104202.0,24225.0,128427.0
Santa Catarina,876392.0,254670.0,1131062.0
Sergipe,322614.0,77638.0,400252.0
São Paulo,5414208.0,1533097.0,6947305.0
Tocantins,235752.0,66186.0,301938.0
