NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,149645.0,41636.0,191281.0
Alagoas,453292.0,127502.0,580794.0
Amapá,132504.0,32873.0,165377.0
Amazonas,696897.0,199896.0,896793.0
Bahia,1910489.0,569637.0,2480126.0
Ceará,1153226.0,359427.0,1512653.0
Distrito Federal,365079.0,114414.0,479493.0
Espírito Santo,501919.0,127054.0,628973.0
Goiás,862812.0,249164.0,1111976.0
Maranhão,1084585.0,277358.0,1361943.0
Mato Grosso,501193.0,154545.0,655738.0
Mato Grosso do Sul,393401.0,104448.0,497849.0
Minas Gerais,2407621.0,707944.0,3115565.0
Paraná,1380369.0,428566.0,1808935.0
Paraíba,534889.0,144453.0,679342.0
Pará,1368026.0,368383.0,1736409.0
Pernambuco,1246567.0,342004.0,1588571.0
Piauí,452465.0,131808.0,584273.0
Rio Grande do Norte,447245.0,132517.0,579762.0
Rio Grande do Sul,1263544.0,365084.0,1628628.0
Rio de Janeiro,1960826.0,596206.0,2557032.0
Rondônia,237067.0,66933.0,304000.0
Roraima,107058.0,28875.0,135933.0
Santa Catarina,922946.0,264642.0,1187588.0
Sergipe,314459.0,84978.0,399437.0
São Paulo,5379711.0,1778846.0,7158557.0
Tocantins,224393.0,67502.0,291895.0
