NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,163799.0,42245.0,206044.0
Alagoas,539115.0,127981.0,667096.0
Amapá,138886.0,38626.0,177512.0
Amazonas,737775.0,189948.0,927723.0
Bahia,2190287.0,562012.0,2752299.0
Ceará,1308391.0,388457.0,1696848.0
Distrito Federal,397446.0,110591.0,508037.0
Espírito Santo,515982.0,134950.0,650932.0
Goiás,894034.0,259497.0,1153531.0
Maranhão,1257625.0,311618.0,1569243.0
Mato Grosso,464859.0,159680.0,624539.0
Mato Grosso do Sul,403150.0,99328.0,502478.0
Minas Gerais,2745912.0,796167.0,3542079.0
Paraná,1493849.0,476207.0,1970056.0
Paraíba,589897.0,138252.0,728149.0
Pará,1497064.0,359736.0,1856800.0
Pernambuco,1373572.0,383909.0,1757481.0
Piauí,519819.0,137773.0,657592.0
Rio Grande do Norte,493086.0,135609.0,628695.0
Rio Grande do Sul,1374717.0,396596.0,1771313.0
Rio de Janeiro,2159990.0,599482.0,2759472.0
Rondônia,283279.0,65223.0,348502.0
Roraima,92795.0,22721.0,115516.0
Santa Catarina,799552.0,284172.0,1083724.0
Sergipe,350168.0,81801.0,431969.0
São Paulo,5537627.0,1928274.0,7465901.0
Tocantins,248836.0,70525.0,319361.0
