NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,153015.0,40670.0,193685.0
Alagoas,458782.0,124588.0,583370.0
Amapá,133839.0,34129.0,167968.0
Amazonas,702763.0,211302.0,914065.0
Bahia,1946957.0,635569.0,2582526.0
Ceará,1161434.0,367574.0,1529008.0
Distrito Federal,369128.0,116843.0,485971.0
Espírito Santo,503003.0,129115.0,632118.0
Goiás,855021.0,258549.0,1113570.0
Maranhão,1112636.0,279213.0,1391849.0
Mato Grosso,486568.0,157928.0,644496.0
Mato Grosso do Sul,391975.0,109762.0,501737.0
Minas Gerais,2407107.0,692668.0,3099775.0
Paraná,1348296.0,378660.0,1726956.0
Paraíba,540919.0,147866.0,688785.0
Pará,1389983.0,391603.0,1781586.0
Pernambuco,1249850.0,341641.0,1591491.0
Piauí,459871.0,132544.0,592415.0
Rio Grande do Norte,447692.0,134147.0,581839.0
Rio Grande do Sul,1257992.0,346363.0,1604355.0
Rio de Janeiro,1945408.0,581323.0,2526731.0
Rondônia,244815.0,69117.0,313932.0
Roraima,103123.0,26708.0,129831.0
Santa Catarina,900240.0,266537.0,1166777.0
Sergipe,320638.0,83194.0,403832.0
São Paulo,5396803.0,1644465.0,7041268.0
Tocantins,227743.0,68479.0,296222.0
