UF,Total,Forca_de_Trabalho,ocupados,Desocupados,Trimestre_ID,Ano,Trimestre,Trimestre_Ano,Taxa_Desocupacao,Nivel_Ocupacao,Taxa_Participacao,Fora_da_Forca
Acre,650,340,293,47,26,2018,2,T2/2018,13.8,45.1,52.3,310
Amazonas,3007,1908,1629,279,26,2018,2,T2/2018,14.6,54.2,63.5,1099
Roraima,402,255,212,42,26,2018,2,T2/2018,16.5,52.7,63.4,147
Pará,6537,3874,3457,417,26,2018,2,T2/2018,10.8,52.9,59.3,2663
Amapá,628,388,320,67,26,2018,2,T2/2018,17.3,51.0,61.8,240
Tocantins,1233,728,644,84,26,2018,2,T2/2018,11.5,52.2,59.0,505
Maranhão,5374,2644,2212,431,26,2018,2,T2/2018,16.3,41.2,49.2,2730
Piauí,2559,1434,1233,202,26,2018,2,T2/2018,14.1,48.2,56.0,1125
Ceará,7324,4143,3630,513,26,2018,2,T2/2018,12.4,49.6,56.6,3181
Rio Grande do Norte,2790,1565,1321,244,26,2018,2,T2/2018,15.6,47.3,56.1,1225
Paraíba,3160,1672,1440,232,26,2018,2,T2/2018,13.9,45.6,52.9,1488
Pernambuco,7726,4128,3517,611,26,2018,2,T2/2018,14.8,45.5,53.4,3598
Alagoas,2580,1224,1019,204,26,2018,2,T2/2018,16.7,39.5,47.4,1356
Sergipe,1810,1083,912,171,26,2018,2,T2/2018,15.8,50.4,59.8,727
Bahia,11841,7081,5748,1333,26,2018,2,T2/2018,18.8,48.5,59.8,4760
Minas Gerais,17401,11286,9967,1320,26,2018,2,T2/2018,11.7,57.3,64.9,6115
Espírito Santo,3240,2155,1912,243,26,2018,2,T2/2018,11.3,59.0,66.5,1085
Rio de Janeiro,14590,8942,7629,1313,26,2018,2,T2/2018,14.7,52.3,61.3,5648
São Paulo,37705,25654,22502,3151,26,2018,2,T2/2018,12.3,59.7,68.0,12051
Paraná,9222,6085,5598,487,26,2018,2,T2/2018,8.0,60.7,66.0,3137
Santa Catarina,5905,3896,3674,223,26,2018,2,T2/2018,5.7,62.2,66.0,2009
Rio Grande do Sul,9396,6197,5668,529,26,2018,2,T2/2018,8.5,60.3,66.0,3199
Mato Grosso do Sul,2136,1406,1295,111,26,2018,2,T2/2018,7.9,60.6,65.8,730
Mato Grosso,2690,1842,1684,158,26,2018,2,T2/2018,8.6,62.6,68.5,848
Goiás,5644,3765,3331,434,26,2018,2,T2/2018,11.5,59.0,66.7,1879
Distrito Federal,2484,1677,1449,228,26,2018,2,T2/2018,13.6,58.3,67.5,807
Rondônia,1383,823,731,91,26,2018,2,T2/2018,11.1,52.9,59.5,560
Acre,651,339,289,49,26,2018,2,T2/2018,14.5,44.4,52.1,312
Amazonas,3063,1751,1460,291,26,2018,2,T2/2018,16.6,47.7,57.2,1312
Roraima,401,229,190,39,26,2018,2,T2/2018,17.0,47.4,57.1,172
Pará,6585,3546,3216,330,26,2018,2,T2/2018,9.3,48.8,53.8,3039
Amapá,637,343,304,39,26,2018,2,T2/2018,11.4,47.7,53.8,294
Tocantins,1220,691,603,88,26,2018,2,T2/2018,12.7,49.4,56.6,529
Maranhão,5378,2376,1984,391,26,2018,2,T2/2018,16.5,36.9,44.2,3002
Piauí,2588,1213,1052,162,26,2018,2,T2/2018,13.4,40.6,46.9,1375
Ceará,7318,3601,3158,443,26,2018,2,T2/2018,12.3,43.2,49.2,3717
Rio Grande do Norte,2836,1366,1157,209,26,2018,2,T2/2018,15.3,40.8,48.2,1470
Paraíba,3156,1483,1287,196,26,2018,2,T2/2018,13.2,40.8,47.0,1673
Pernambuco,7651,3593,3041,552,26,2018,2,T2/2018,15.4,39.7,47.0,4058
Alagoas,2570,1112,910,203,26,2018,2,T2/2018,18.3,35.4,43.3,1458
Sergipe,1831,1006,801,205,26,2018,2,T2/2018,20.4,43.7,54.9,825
Bahia,11870,6125,4869,1256,26,2018,2,T2/2018,20.5,41.0,51.6,5745
Minas Gerais,17310,10507,9121,1385,26,2018,2,T2/2018,13.2,52.7,60.7,6803
Espírito Santo,3266,2022,1767,255,26,2018,2,T2/2018,12.6,54.1,61.9,1244
Rio de Janeiro,14640,8050,6701,1349,26,2018,2,T2/2018,16.8,45.8,55.0,6590
São Paulo,37748,23318,20071,3247,26,2018,2,T2/2018,13.9,53.2,61.8,14430
Paraná,9307,5999,5422,577,26,2018,2,T2/2018,9.6,58.3,64.5,3308
