UF,Total,Forca_de_Trabalho,ocupados,Desocupados,Trimestre_ID,Ano,Trimestre,Trimestre_Ano,Taxa_Desocupacao,Nivel_Ocupacao,Taxa_Participacao,Fora_da_Forca
Alagoas,2426,1245,1128,117,1,2012,1,T1/2012,9.4,46.5,51.3,1181
Sergipe,1664,1001,913,88,1,2012,1,T1/2012,8.8,54.9,60.2,663
Bahia,11185,6965,6332,634,1,2012,1,T1/2012,9.1,56.6,62.3,4220
Minas Gerais,16399,10429,9826,603,1,2012,1,T1/2012,5.8,59.9,63.6,5970
Espírito Santo,2996,1936,1821,115,1,2012,1,T1/2012,5.9,60.8,64.6,1060
Rio de Janeiro,13572,8052,7549,502,1,2012,1,T1/2012,6.2,55.6,59.3,5520
São Paulo,35373,23021,21498,1523,1,2012,1,T1/2012,6.6,60.8,65.1,12352
Paraná,8694,5760,5542,218,1,2012,1,T1/2012,3.8,63.7,66.3,2934
Santa Catarina,5371,3465,3376,89,1,2012,1,T1/2012,2.6,62.9,64.5,1906
Rio Grande do Sul,9075,5988,5705,283,1,2012,1,T1/2012,4.7,62.9,66.0,3087
Mato Grosso do Sul,1935,1277,1220,58,1,2012,1,T1/2012,4.5,63.0,66.0,658
Mato Grosso,2490,1632,1570,61,1,2012,1,T1/2012,3.7,63.1,65.5,858
Goiás,5071,3341,3209,132,1,2012,1,T1/2012,4.0,63.3,65.9,1730
Distrito Federal,2225,1515,1385,129,1,2012,1,T1/2012,8.5,62.2,68.1,710
Rondônia,1274,793,753,40,1,2012,1,T1/2012,5.0,59.1,62.2,481
Acre,559,330,303,27,1,2012,1,T1/2012,8.2,54.2,59.0,229
Amazonas,2576,1584,1452,132,1,2012,1,T1/2012,8.3,56.4,61.5,992
Roraima,318,211,195,16,1,2012,1,T1/2012,7.6,61.3,66.4,107
Pará,5884,3648,3364,284,1,2012,1,T1/2012,7.8,57.2,62.0,2236
Amapá,548,338,300,38,1,2012,1,T1/2012,11.2,54.7,61.7,210
Tocantins,1090,677,619,58,1,2012,1,T1/2012,8.6,56.8,62.1,413
Maranhão,4971,2796,2616,180,1,2012,1,T1/2012,6.4,52.6,56.2,2175
Piauí,2468,1522,1414,108,1,2012,1,T1/2012,7.1,57.3,61.7,946
Ceará,6867,3812,3509,303,1,2012,1,T1/2012,7.9,51.1,55.5,3055
Rio Grande do Norte,2630,1511,1332,179,1,2012,1,T1/2012,11.8,50.6,57.5,1119
Paraíba,2972,1700,1542,159,1,2012,1,T1/2012,9.4,51.9,57.2,1272
Pernambuco,7127,3908,3563,345,1,2012,1,T1/2012,8.8,50.0,54.8,3219
Alagoas,2434,1236,1115,121,1,2012,1,T1/2012,9.8,45.8,50.8,1198
Sergipe,1665,1006,910,96,1,2012,1,T1/2012,9.5,54.7,60.4,659
Bahia,11181,7025,6205,819,1,2012,1,T1/2012,11.7,55.5,62.8,4156
Minas Gerais,16440,10436,9695,741,1,2012,1,T1/2012,7.1,59.0,63.5,6004
Espírito Santo,3001,1938,1813,124,1,2012,1,T1/2012,6.4,60.4,64.6,1063
Rio de Janeiro,13624,8145,7595,550,1,2012,1,T1/2012,6.8,55.7,59.8,5479
São Paulo,35575,23012,21326,1686,1,2012,1,T1/2012,7.3,59.9,64.7,12563
Paraná,8708,5756,5515,241,1,2012,1,T1/2012,4.2,63.3,66.1,2952
Santa Catarina,5389,3503,3395,109,1,2012,1,T1/2012,3.1,63.0,65.0,1886
Rio Grande do Sul,9069,5957,5634,324,1,2012,1,T1/2012,5.4,62.1,65.7,3112
Mato Grosso do Sul,1949,1264,1205,60,1,2012,1,T1/2012,4.7,61.8,64.9,685
Mato Grosso,2502,1651,1577,74,1,2012,1,T1/2012,4.5,63.0,66.0,851
Goiás,5067,3336,3145,191,1,2012,1,T1/2012,5.7,62.1,65.8,1731
Distrito Federal,2220,1500,1364,136,1,2012,1,T1/2012,9.1,61.4,67.6,720
Rondônia,1277,778,746,32,1,2012,1,T1/2012,4.1,58.4,60.9,499
Acre,560,332,300,32,1,2012,1,T1/2012,9.6,53.6,59.3,228
Amazonas,2593,1623,1487,137,1,2012,1,T1/2012,8.4,57.3,62.6,970
Roraima,322,213,201,12,1,2012,1,T1/2012,5.6,62.4,66.1,109
Pará,5887,3647,3386,261,1,2012,1,T1/2012,7.2,57.5,62.0,2240
Amapá,538,341,307,34,1,2012,1,T1/2012,10.0,57.1,63.4,197
Tocantins,1099,680,627,53,1,2012,1,T1/2012,7.8,57.1,61.9,419
Maranhão,4949,2807,2606,202,1,2012,1,T1/2012,7.2,52.7,56.7,2142
Piauí,2483,1512,1404,108,1,2012,1,T1/2012,7.1,56.5,60.9,971
Ceará,6885,3858,3566,292,1,2012,1,T1/2012,7.6,51.8,56.0,3027
Rio Grande do Norte,2647,1504,1328,177,1,2012,1,T1/2012,11.8,50.2,56.8,1143
Paraíba,2980,1710,1558,152,1,2012,1,T1/2012,8.9,52.3,57.4,1270
Pernambuco,7137,3955,3638,317,1,2012,1,T1/2012,8.0,51.0,55.4,3182
Alagoas,2433,1232,1112,120,1,2012,1,T1/2012,9.7,45.7,50.6,1201
Sergipe,1675,999,902,98,1,2012,1,T1/2012,9.8,53.9,59.6,676
Bahia,11223,7009,6296,713,1,2012,1,T1/2012,10.2,56.1,62.5,4214
Minas Gerais,16484,10486,9760,726,1,2012,1,T1/2012,6.9,59.2,63.6,5998
Espírito Santo,3001,1953,1824,129,1,2012,1,T1/2012,6.6,60.8,65.1,1048
Rio de Janeiro,13685,8104,7574,530,1,2012,1,T1/2012,6.5,55.3,59.2,5581
São Paulo,35752,23207,21549,1658,1,2012,1,T1/2012,7.1,60.3,64.9,12545
Paraná,8757,5791,5544,246,1,2012,1,T1/2012,4.2,63.3,66.1,2966
Santa Catarina,5429,3503,3404,99,1,2012,1,T1/2012,2.8,62.7,64.5,1926
Rio Grande do Sul,9079,5920,5622,298,1,2012,1,T1/2012,5.0,61.9,65.2,3159
Mato Grosso do Sul,1950,1283,1233,50,1,2012,1,T1/2012,3.9,63.2,65.8,667
Mato Grosso,2507,1652,1586,66,1,2012,1,T1/2012,4.0,63.3,65.9,855
Goiás,5074,3372,3190,181,1,2012,1,T1/2012,5.4,62.9,66.5,1702
Distrito Federal,2236,1508,1370,138,1,2012,1,T1/2012,9.2,61.3,67.4,728
Rondônia,1293,786,753,33,1,2012,1,T1/2012,4.2,58.2,60.8,507
Acre,568,335,312,24,1,2012,1,T1/2012,7.2,54.9,59.0,233
Amazonas,2614,1643,1531,112,1,2012,1,T1/2012,6.8,58.6,62.9,971
Roraima,326,212,198,14,1,2012,1,T1/2012,6.6,60.7,65.0,114
Pará,5934,3663,3398,265,1,2012,1,T1/2012,7.2,57.3,61.7,2271
Amapá,547,348,311,37,1,2012,1,T1/2012,10.6,56.9,63.6,199
Tocantins,1110,693,639,53,1,2012,1,T1/2012,7.6,57.6,62.4,417
Maranhão,4958,2819,2627,192,1,2012,1,T1/2012,6.8,53.0,56.9,2139
Piauí,2486,1510,1416,94,1,2012,1,T1/2012,6.2,57.0,60.7,976
Ceará,6915,3850,3559,291,1,2012,1,T1/2012,7.6,51.5,55.7,3065
Rio Grande do Norte,2640,1484,1326,158,1,2012,1,T1/2012,10.6,50.2,56.2,1156
Paraíba,2989,1713,1553,160,1,2012,1,T1/2012,9.3,52.0,57.3,1276
Pernambuco,7174,3992,3654,338,1,2012,1,T1/2012,8.5,50.9,55.6,3182
Alagoas,2448,1265,1141,124,1,2012,1,T1/2012,9.8,46.6,51.7,1183
Sergipe,1682,1014,921,93,1,2012,1,T1/2012,9.2,54.8,60.3,668
Bahia,11241,7018,6327,691,1,2012,1,T1/2012,9.8,56.3,62.4,4223
Minas Gerais,16532,10453,9728,725,1,2012,1,T1/2012,6.9,58.8,63.2,6079
Espírito Santo,3012,1945,1830,114,1,2012,1,T1/2012,5.9,60.8,64.6,1067
Rio de Janeiro,13759,8135,7631,505,1,2012,1,T1/2012,6.2,55.5,59.1,5624
São Paulo,35811,23202,21501,1701,1,2012,1,T1/2012,7.3,60.0,64.8,12609
Paraná,8792,5812,5570,242,1,2012,1,T1/2012,4.2,63.4,66.1,2980
Santa Catarina,5459,3564,3458,105,1,2012,1,T1/2012,2.9,63.3,65.3,1895
Rio Grande do Sul,9072,5923,5608,315,1,2012,1,T1/2012,5.3,61.8,65.3,3149
Mato Grosso do Sul,1968,1293,1240,53,1,2012,1,T1/2012,4.1,63.0,65.7,675
Mato Grosso,2495,1657,1593,64,1,2012,1,T1/2012,3.9,63.8,66.4,838
Goiás,5099,3383,3208,176,1,2012,1,T1/2012,5.2,62.9,66.3,1716
Distrito Federal,2242,1507,1372,135,1,2012,1,T1/2012,9.0,61.2,67.2,735
Rondônia,1293,802,773,29,1,2012,1,T1/2012,3.6,59.8,62.0,491
Acre,573,334,313,21,1,2012,1,T1/2012,6.3,54.6,58.3,239
Amazonas,2641,1622,1494,128,1,2012,1,T1/2012,7.9,56.6,61.4,1019
Roraima,331,223,209,14,1,2012,1,T1/2012,6.3,63.1,67.4,108
Pará,5947,3643,3384,259,1,2012,1,T1/2012,7.1,56.9,61.3,2304
Amapá,544,345,312,33,1,2012,1,T1/2012,9.6,57.4,63.4,199
Tocantins,1096,677,634,43,1,2012,1,T1/2012,6.4,57.8,61.8,419
Maranhão,4968,2833,2629,203,1,2012,1,T1/2012,7.2,52.9,57.0,2135
Piauí,2489,1494,1404,90,1,2012,1,T1/2012,6.0,56.4,60.0,995
Ceará,6889,3761,3511,250,1,2012,1,T1/2012,6.6,51.0,54.6,3128
Rio Grande do Norte,2644,1488,1332,156,1,2012,1,T1/2012,10.5,50.4,56.3,1156
Paraíba,2987,1713,1573,140,1,2012,1,T1/2012,8.2,52.7,57.3,1274
Pernambuco,7203,4008,3698,309,1,2012,1,T1/2012,7.7,51.3,55.6,3195
Alagoas,2465,1287,1165,122,1,2012,1,T1/2012,9.5,47.3,52.2,1178
Sergipe,1694,1034,941,93,1,2012,1,T1/2012,9.0,55.5,61.0,660
Bahia,11323,7151,6451,700,1,2012,1,T1/2012,9.8,57.0,63.2,4172
Minas Gerais,16560,10501,9836,665,1,2012,1,T1/2012,6.3,59.4,63.4,6059
Espírito Santo,3012,1920,1801,119,1,2012,1,T1/2012,6.2,59.8,63.7,1092
Rio de Janeiro,13838,8099,7625,473,1,2012,1,T1/2012,5.8,55.1,58.5,5739
São Paulo,35955,23436,21742,1694,1,2012,1,T1/2012,7.2,60.5,65.2,12519
Paraná,8817,5731,5516,215,1,2012,1,T1/2012,3.8,62.6,65.0,3086
Santa Catarina,5478,3623,3525,98,1,2012,1,T1/2012,2.7,64.3,66.1,1855
Rio Grande do Sul,9082,5929,5656,273,1,2012,1,T1/2012,4.6,62.3,65.3,3153
Mato Grosso do Sul,1969,1298,1247,50,1,2012,1,T1/2012,3.9,63.3,65.9,671
Mato Grosso,2499,1646,1579,67,1,2012,1,T1/2012,4.1,63.2,65.9,853
Goiás,5134,3434,3258,177,1,2012,1,T1/2012,5.2,63.5,66.9,1700
Distrito Federal,2247,1483,1353,130,1,2012,1,T1/2012,8.8,60.2,66.0,764
Rondônia,1288,791,755,36,1,2012,1,T1/2012,4.6,58.6,61.4,497
Acre,575,345,314,31,1,2012,1,T1/2012,9.0,54.6,60.0,230
Amazonas,2654,1640,1485,156,1,2012,1,T1/2012,9.5,56.0,61.8,1014
Roraima,333,218,198,20,1,2012,1,T1/2012,9.2,59.5,65.5,115
Pará,5942,3724,3375,349,1,2012,1,T1/2012,9.4,56.8,62.7,2218
Amapá,543,336,303,33,1,2012,1,T1/2012,9.8,55.8,61.9,207
Tocantins,1104,675,615,60,1,2012,1,T1/2012,8.9,55.7,61.1,429
Maranhão,4983,2857,2599,258,1,2012,1,T1/2012,9.0,52.2,57.3,2126
Piauí,2487,1493,1376,117,1,2012,1,T1/2012,7.8,55.3,60.0,994
Ceará,6891,3740,3438,303,1,2012,1,T1/2012,8.1,49.9,54.3,3151
Rio Grande do Norte,2668,1509,1334,175,1,2012,1,T1/2012,11.6,50.0,56.6,1159
Paraíba,2998,1746,1583,163,1,2012,1,T1/2012,9.3,52.8,58.2,1252
Pernambuco,7249,4010,3681,329,1,2012,1,T1/2012,8.2,50.8,55.3,3239
Alagoas,2467,1259,1118,141,1,2012,1,T1/2012,11.2,45.3,51.0,1208
Sergipe,1706,1042,951,91,1,2012,1,T1/2012,8.7,55.7,61.1,664
Bahia,11331,7176,6355,821,1,2012,1,T1/2012,11.4,56.1,63.3,4155
Minas Gerais,16606,10537,9659,878,1,2012,1,T1/2012,8.3,58.2,63.5,6069
Espírito Santo,3026,1931,1794,137,1,2012,1,T1/2012,7.1,59.3,63.8,1095
Rio de Janeiro,13928,8115,7578,536,1,2012,1,T1/2012,6.6,54.4,58.3,5813
São Paulo,36057,23562,21534,2028,1,2012,1,T1/2012,8.6,59.7,65.3,12495
Paraná,8843,5738,5429,309,1,2012,1,T1/2012,5.4,61.4,64.9,3105
Santa Catarina,5483,3627,3483,144,1,2012,1,T1/2012,4.0,63.5,66.1,1856
Rio Grande do Sul,9112,6027,5677,350,1,2012,1,T1/2012,5.8,62.3,66.1,3085
Mato Grosso do Sul,1985,1302,1220,82,1,2012,1,T1/2012,6.3,61.5,65.6,683
Mato Grosso,2512,1672,1576,97,1,2012,1,T1/2012,5.8,62.7,66.6,840
Goiás,5159,3426,3185,241,1,2012,1,T1/2012,7.0,61.7,66.4,1733
Distrito Federal,2257,1509,1346,164,1,2012,1,T1/2012,10.9,59.6,66.9,748
Rondônia,1285,786,747,39,1,2012,1,T1/2012,5.0,58.1,61.2,499
Acre,575,339,309,30,1,2012,1,T1/2012,8.8,53.7,59.0,236
Amazonas,2672,1652,1492,160,1,2012,1,T1/2012,9.7,55.8,61.8,1020
Roraima,335,218,201,17,1,2012,1,T1/2012,7.8,60.0,65.1,117
Pará,5988,3736,3393,343,1,2012,1,T1/2012,9.2,56.7,62.4,2252
Amapá,543,340,305,35,1,2012,1,T1/2012,10.3,56.2,62.6,203
Tocantins,1106,678,625,52,1,2012,1,T1/2012,7.7,56.5,61.3,428
Maranhão,4989,2849,2594,255,1,2012,1,T1/2012,9.0,52.0,57.1,2140
Piauí,2510,1519,1402,117,1,2012,1,T1/2012,7.7,55.9,60.5,991
Ceará,6910,3789,3451,338,1,2012,1,T1/2012,8.9,49.9,54.8,3121
Rio Grande do Norte,2652,1520,1341,179,1,2012,1,T1/2012,11.8,50.6,57.3,1132
Paraíba,3019,1739,1577,162,1,2012,1,T1/2012,9.3,52.2,57.6,1280
Pernambuco,7275,4106,3729,378,1,2012,1,T1/2012,9.2,51.3,56.4,3169
Alagoas,2478,1250,1101,149,1,2012,1,T1/2012,11.9,44.4,50.4,1228
Sergipe,1725,1038,943,95,1,2012,1,T1/2012,9.2,54.7,60.2,687
Bahia,11392,7228,6301,927,1,2012,1,T1/2012,12.8,55.3,63.4,4164
Minas Gerais,16665,10678,9828,850,1,2012,1,T1/2012,8.0,59.0,64.1,5987
Espírito Santo,3062,1963,1830,133,1,2012,1,T1/2012,6.8,59.8,64.1,1099
Rio de Janeiro,13965,8259,7657,602,1,2012,1,T1/2012,7.3,54.8,59.1,5706
São Paulo,36119,23673,21498,2176,1,2012,1,T1/2012,9.2,59.5,65.5,12446
Paraná,8851,5798,5437,361,1,2012,1,T1/2012,6.2,61.4,65.5,3053
Santa Catarina,5526,3671,3525,146,1,2012,1,T1/2012,4.0,63.8,66.4,1855
Rio Grande do Sul,9118,5994,5631,363,1,2012,1,T1/2012,6.1,61.8,65.7,3124
Mato Grosso do Sul,1988,1304,1221,83,1,2012,1,T1/2012,6.4,61.4,65.6,684
Mato Grosso,2494,1653,1549,104,1,2012,1,T1/2012,6.3,62.1,66.3,841
Goiás,5183,3462,3203,258,1,2012,1,T1/2012,7.5,61.8,66.8,1721
Distrito Federal,2270,1506,1359,147,1,2012,1,T1/2012,9.8,59.9,66.3,764
Rondônia,1288,807,753,54,1,2012,1,T1/2012,6.7,58.5,62.7,481
Acre,580,343,313,31,1,2012,1,T1/2012,9.0,54.0,59.1,237
Amazonas,2702,1683,1510,173,1,2012,1,T1/2012,10.3,55.9,62.3,1019
Roraima,338,219,199,21,1,2012,1,T1/2012,9.6,58.9,64.8,119
Pará,6027,3791,3466,325,1,2012,1,T1/2012,8.6,57.5,62.9,2236
Amapá,548,346,305,41,1,2012,1,T1/2012,11.8,55.7,63.1,202
Tocantins,1099,677,614,63,1,2012,1,T1/2012,9.3,55.9,61.6,422
Maranhão,5032,2888,2641,248,1,2012,1,T1/2012,8.6,52.5,57.4,2144
Piauí,2512,1521,1404,118,1,2012,1,T1/2012,7.8,55.9,60.5,991
Ceará,6907,3838,3465,373,1,2012,1,T1/2012,9.7,50.2,55.6,3069
Rio Grande do Norte,2667,1554,1355,199,1,2012,1,T1/2012,12.8,50.8,58.3,1113
Paraíba,3034,1752,1568,184,1,2012,1,T1/2012,10.5,51.7,57.7,1282
Pernambuco,7355,4209,3733,476,1,2012,1,T1/2012,11.3,50.8,57.2,3146
Alagoas,2497,1253,1116,137,1,2012,1,T1/2012,10.9,44.7,50.2,1244
Sergipe,1730,1026,936,90,1,2012,1,T1/2012,8.8,54.1,59.3,704
Bahia,11380,7246,6303,943,1,2012,1,T1/2012,13.0,55.4,63.7,4134
Minas Gerais,16758,10844,9891,953,1,2012,1,T1/2012,8.8,59.0,64.7,5914
Espírito Santo,3069,1949,1787,162,1,2012,1,T1/2012,8.3,58.2,63.5,1120
Rio de Janeiro,13967,8303,7610,693,1,2012,1,T1/2012,8.3,54.5,59.4,5664
São Paulo,36128,23703,21383,2320,1,2012,1,T1/2012,9.8,59.2,65.6,12425
Paraná,8883,5811,5449,362,1,2012,1,T1/2012,6.2,61.3,65.4,3072
Santa Catarina,5549,3672,3510,163,1,2012,1,T1/2012,4.4,63.3,66.2,1877
Rio Grande do Sul,9136,5994,5575,419,1,2012,1,T1/2012,7.0,61.0,65.6,3142
Mato Grosso do Sul,1987,1326,1242,84,1,2012,1,T1/2012,6.3,62.5,66.7,661
Mato Grosso,2498,1632,1522,110,1,2012,1,T1/2012,6.7,60.9,65.3,866
Goiás,5229,3453,3199,255,1,2012,1,T1/2012,7.4,61.2,66.0,1776
Distrito Federal,2292,1511,1353,157,1,2012,1,T1/2012,10.4,59.0,65.9,781
Rondônia,1278,816,764,53,1,2012,1,T1/2012,6.5,59.8,63.8,462
Acre,584,344,317,27,1,2012,1,T1/2012,7.8,54.3,58.9,240
Amazonas,2727,1659,1505,154,1,2012,1,T1/2012,9.3,55.2,60.8,1068
Roraima,342,221,203,18,1,2012,1,T1/2012,8.1,59.4,64.6,121
Pará,6078,3811,3477,334,1,2012,1,T1/2012,8.8,57.2,62.7,2267
Amapá,549,352,306,46,1,2012,1,T1/2012,13.1,55.7,64.1,197
Tocantins,1115,678,617,61,1,2012,1,T1/2012,9.0,55.3,60.8,437
Maranhão,5036,2873,2632,241,1,2012,1,T1/2012,8.4,52.3,57.0,2163
Piauí,2525,1497,1387,110,1,2012,1,T1/2012,7.3,54.9,59.3,1028
Ceará,6931,3795,3451,344,1,2012,1,T1/2012,9.1,49.8,54.8,3136
Rio Grande do Norte,2688,1533,1344,189,1,2012,1,T1/2012,12.3,50.0,57.0,1155
Paraíba,3043,1729,1562,168,1,2012,1,T1/2012,9.7,51.3,56.8,1314
Pernambuco,7350,4084,3629,455,1,2012,1,T1/2012,11.1,49.4,55.6,3266
Alagoas,2504,1263,1118,145,1,2012,1,T1/2012,11.5,44.6,50.4,1241
Sergipe,1746,1011,909,103,1,2012,1,T1/2012,10.2,52.1,57.9,735
Bahia,11394,7171,6282,889,1,2012,1,T1/2012,12.4,55.1,62.9,4223
Minas Gerais,16836,10813,9798,1016,1,2012,1,T1/2012,9.4,58.2,64.2,6023
Espírito Santo,3096,1953,1773,181,1,2012,1,T1/2012,9.3,57.3,63.1,1143
Rio de Janeiro,13925,8314,7594,721,1,2012,1,T1/2012,8.7,54.5,59.7,5611
São Paulo,36230,24033,21569,2464,1,2012,1,T1/2012,10.3,59.5,66.3,12197
Paraná,8909,5873,5527,345,1,2012,1,T1/2012,5.9,62.0,65.9,3036
Santa Catarina,5579,3693,3536,157,1,2012,1,T1/2012,4.3,63.4,66.2,1886
Rio Grande do Sul,9160,6108,5700,408,1,2012,1,T1/2012,6.7,62.2,66.7,3052
Mato Grosso do Sul,1997,1330,1251,80,1,2012,1,T1/2012,6.0,62.6,66.6,667
Mato Grosso,2522,1647,1552,95,1,2012,1,T1/2012,5.8,61.5,65.3,875
Goiás,5250,3468,3197,271,1,2012,1,T1/2012,7.8,60.9,66.1,1782
Distrito Federal,2286,1518,1369,149,1,2012,1,T1/2012,9.8,59.9,66.4,768
Rondônia,1285,812,750,62,1,2012,1,T1/2012,7.6,58.4,63.2,473
Acre,583,342,312,30,1,2012,1,T1/2012,8.8,53.5,58.7,241
Amazonas,2725,1710,1488,221,1,2012,1,T1/2012,12.9,54.6,62.8,1015
Roraima,342,221,203,18,1,2012,1,T1/2012,8.1,59.4,64.6,121
Pará,6113,3811,3423,388,1,2012,1,T1/2012,10.2,56.0,62.3,2302
Amapá,552,342,291,50,1,2012,1,T1/2012,14.6,52.7,62.0,210
Tocantins,1124,688,613,74,1,2012,1,T1/2012,10.8,54.5,61.2,436
Maranhão,5060,2883,2563,320,1,2012,1,T1/2012,11.1,50.7,57.0,2177
Piauí,2529,1481,1337,143,1,2012,1,T1/2012,9.7,52.9,58.6,1048
Ceará,6960,3759,3349,410,1,2012,1,T1/2012,10.9,48.1,54.0,3201
Rio Grande do Norte,2698,1504,1285,218,1,2012,1,T1/2012,14.5,47.6,55.7,1194
Paraíba,3060,1707,1532,175,1,2012,1,T1/2012,10.3,50.1,55.8,1353
Pernambuco,7368,4104,3554,550,1,2012,1,T1/2012,13.4,48.2,55.7,3264
Alagoas,2512,1267,1103,164,1,2012,1,T1/2012,12.9,43.9,50.4,1245
Sergipe,1757,1023,905,118,1,2012,1,T1/2012,11.5,51.5,58.2,734
Bahia,11385,7108,5990,1119,1,2012,1,T1/2012,15.7,52.6,62.4,4277
Minas Gerais,16871,10819,9596,1223,1,2012,1,T1/2012,11.3,56.9,64.1,6052
Espírito Santo,3109,1963,1744,219,1,2012,1,T1/2012,11.2,56.1,63.1,1146
Rio de Janeiro,13956,8343,7494,849,1,2012,1,T1/2012,10.2,53.7,59.8,5613
São Paulo,36281,24286,21324,2962,1,2012,1,T1/2012,12.2,58.8,66.9,11995
Paraná,8952,5954,5468,486,1,2012,1,T1/2012,8.2,61.1,66.5,2998
Santa Catarina,5595,3703,3476,227,1,2012,1,T1/2012,6.1,62.1,66.2,1892
Rio Grande do Sul,9209,6131,5666,465,1,2012,1,T1/2012,7.6,61.5,66.6,3078
Mato Grosso do Sul,2024,1338,1234,105,1,2012,1,T1/2012,7.8,61.0,66.1,686
Mato Grosso,2541,1658,1505,153,1,2012,1,T1/2012,9.2,59.2,65.2,883
Goiás,5272,3499,3143,357,1,2012,1,T1/2012,10.2,59.6,66.4,1773
Distrito Federal,2300,1532,1359,173,1,2012,1,T1/2012,11.3,59.1,66.6,768
Rondônia,1291,833,766,66,1,2012,1,T1/2012,7.9,59.3,64.5,458
Acre,593,330,293,37,1,2012,1,T1/2012,11.2,49.4,55.6,263
Amazonas,2739,1763,1526,237,1,2012,1,T1/2012,13.4,55.7,64.4,976
Roraima,345,221,204,18,1,2012,1,T1/2012,8.1,59.1,64.1,124
Pará,6154,3758,3345,413,1,2012,1,T1/2012,11.0,54.4,61.1,2396
Amapá,557,350,294,56,1,2012,1,T1/2012,16.0,52.8,62.8,207
Tocantins,1138,696,617,78,1,2012,1,T1/2012,11.2,54.2,61.2,442
Maranhão,5058,2768,2435,333,1,2012,1,T1/2012,12.0,48.1,54.7,2290
Piauí,2524,1449,1303,146,1,2012,1,T1/2012,10.1,51.6,57.4,1075
Ceará,6991,3926,3472,455,1,2012,1,T1/2012,11.6,49.7,56.2,3065
Rio Grande do Norte,2722,1516,1310,206,1,2012,1,T1/2012,13.6,48.1,55.7,1206
Paraíba,3069,1679,1494,185,1,2012,1,T1/2012,11.0,48.7,54.7,1390
Pernambuco,7360,4092,3510,583,1,2012,1,T1/2012,14.2,47.7,55.6,3268
Alagoas,2517,1282,1102,181,1,2012,1,T1/2012,14.1,43.8,50.9,1235
Sergipe,1750,1029,896,133,1,2012,1,T1/2012,12.9,51.2,58.8,721
Bahia,11414,7071,5966,1105,1,2012,1,T1/2012,15.6,52.3,62.0,4343
Minas Gerais,16899,10946,9738,1208,1,2012,1,T1/2012,11.0,57.6,64.8,5953
Espírito Santo,3100,1991,1759,232,1,2012,1,T1/2012,11.7,56.7,64.2,1109
Rio de Janeiro,13939,8388,7417,970,1,2012,1,T1/2012,11.6,53.2,60.2,5551
São Paulo,36512,24456,21461,2995,1,2012,1,T1/2012,12.2,58.8,67.0,12056
Paraná,8981,5929,5441,488,1,2012,1,T1/2012,8.2,60.6,66.0,3052
Santa Catarina,5606,3673,3425,248,1,2012,1,T1/2012,6.8,61.1,65.5,1933
Rio Grande do Sul,9209,6103,5558,544,1,2012,1,T1/2012,8.9,60.4,66.3,3106
Mato Grosso do Sul,2032,1363,1267,96,1,2012,1,T1/2012,7.0,62.4,67.1,669
Mato Grosso,2560,1702,1532,170,1,2012,1,T1/2012,10.0,59.8,66.5,858
Goiás,5290,3550,3186,364,1,2012,1,T1/2012,10.3,60.2,67.1,1740
Distrito Federal,2300,1524,1357,168,1,2012,1,T1/2012,11.0,59.0,66.3,776
Rondônia,1291,816,747,70,1,2012,1,T1/2012,8.6,57.9,63.2,475
Acre,600,323,283,39,1,2012,1,T1/2012,12.1,47.2,53.8,277
Amazonas,2745,1737,1497,239,1,2012,1,T1/2012,13.8,54.5,63.3,1008
Roraima,350,215,194,21,1,2012,1,T1/2012,9.8,55.4,61.4,135
Pará,6170,3729,3312,417,1,2012,1,T1/2012,11.2,53.7,60.4,2441
Amapá,569,350,298,53,1,2012,1,T1/2012,15.1,52.4,61.5,219
Tocantins,1135,680,606,74,1,2012,1,T1/2012,10.9,53.4,59.9,455
Maranhão,5092,2682,2358,324,1,2012,1,T1/2012,12.1,46.3,52.7,2410
Piauí,2535,1435,1298,138,1,2012,1,T1/2012,9.6,51.2,56.6,1100
Ceará,7029,3921,3401,520,1,2012,1,T1/2012,13.3,48.4,55.8,3108
Rio Grande do Norte,2742,1523,1306,217,1,2012,1,T1/2012,14.2,47.6,55.5,1219
Paraíba,3086,1663,1447,217,1,2012,1,T1/2012,13.0,46.9,53.9,1423
Pernambuco,7397,4017,3396,621,1,2012,1,T1/2012,15.5,45.9,54.3,3380
Alagoas,2539,1271,1082,190,1,2012,1,T1/2012,14.9,42.6,50.1,1268
Sergipe,1766,1026,877,148,1,2012,1,T1/2012,14.4,49.7,58.1,740
Bahia,11505,6988,5865,1123,1,2012,1,T1/2012,16.1,51.0,60.7,4517
Minas Gerais,16858,10950,9714,1235,1,2012,1,T1/2012,11.3,57.6,65.0,5908
Espírito Santo,3108,1959,1706,253,1,2012,1,T1/2012,12.9,54.9,63.0,1149
Rio de Janeiro,13979,8412,7381,1031,1,2012,1,T1/2012,12.3,52.8,60.2,5567
São Paulo,36498,24508,21353,3155,1,2012,1,T1/2012,12.9,58.5,67.1,11990
Paraná,9009,5886,5381,505,1,2012,1,T1/2012,8.6,59.7,65.3,3123
Santa Catarina,5626,3689,3453,236,1,2012,1,T1/2012,6.4,61.4,65.6,1937
Rio Grande do Sul,9258,6096,5586,511,1,2012,1,T1/2012,8.4,60.3,65.8,3162
Mato Grosso do Sul,2054,1361,1256,105,1,2012,1,T1/2012,7.7,61.1,66.3,693
Mato Grosso,2569,1674,1522,152,1,2012,1,T1/2012,9.1,59.2,65.2,895
