Estado,Abandono_EF2007,Abandono_EM2007,Abandono_EF2008,Abandono_EM2008,Abandono_EF2009,Abandono_EM2009,Abandono_EF2010,Abandono_EM2010,Abandono_EF2011,Abandono_EM2011,Abandono_EF2012,Abandono_EM2012,Abandono_EF2013,Abandono_EM2013,Abandono_EF2014,Abandono_EM2014,Abandono_EF2015,Abandono_EM2015,Abandono_EF2016,Abandono_EM2016,Abandono_EF2017,Abandono_EM2017,Abandono_EF2018,Abandono_EM2018,Abandono_EF2019,Abandono_EM2019,Abandono_EF2020,Abandono_EM2020,Abandono_EF2021,Abandono_EM2021,Abandono_EF2022,Abandono_EM2022,Abandono_EF2023,Abandono_EM2023,valor_medio_bf_ajustado_2007,qtd_familias_beneficiarias_bolsa_familia_ajustado_2007,valor_medio_bf_ajustado_2008,qtd_familias_beneficiarias_bolsa_familia_ajustado_2008,valor_medio_bf_ajustado_2009,qtd_familias_beneficiarias_bolsa_familia_ajustado_2009,valor_medio_bf_ajustado_2010,qtd_familias_beneficiarias_bolsa_familia_ajustado_2010,valor_medio_bf_ajustado_2011,qtd_familias_beneficiarias_bolsa_familia_ajustado_2011,valor_medio_bf_ajustado_2012,qtd_familias_beneficiarias_bolsa_familia_ajustado_2012,valor_medio_bf_ajustado_2013,qtd_familias_beneficiarias_bolsa_familia_ajustado_2013,valor_medio_bf_ajustado_2014,qtd_familias_beneficiarias_bolsa_familia_ajustado_2014,valor_medio_bf_ajustado_2015,qtd_familias_beneficiarias_bolsa_familia_ajustado_2015,valor_medio_bf_ajustado_2016,qtd_familias_beneficiarias_bolsa_familia_ajustado_2016,valor_medio_bf_ajustado_2017,qtd_familias_beneficiarias_bolsa_familia_ajustado_2017,valor_medio_bf_ajustado_2018,qtd_familias_beneficiarias_bolsa_familia_ajustado_2018,valor_medio_bf_ajustado_2019,qtd_familias_beneficiarias_bolsa_familia_ajustado_2019,valor_medio_bf_ajustado_2020,qtd_familias_beneficiarias_bolsa_familia_ajustado_2020,valor_medio_bf_ajustado_2021,qtd_familias_beneficiarias_bolsa_familia_ajustado_2021,valor_medio_bf_ajustado_2023,qtd_familias_beneficiarias_bolsa_familia_ajustado_2023
Mato Grosso,19031,30531,13108,34355,8188,26731,3425,19425,5330,17654,5272,20756,3773,21674,3254,19800,2779,21321,3254,15693,3244,14534,2830,13162,2869,13712,955,980,1946,8370,2506,14991,1014,3426,155.02,134125.0,174.85,128041.0,180.49,148243.0,187.21,167407.0,216.25,167854.0,281.73,177705.0,253.83,181562.0,253.53,187399.0,239.16,171879.0,223.68,171879.0,223.68,158527.0,217.32,159333.0,217.51,153039.0,69.81,157270.0,106.82,138626.0,7084.91,217458.0
Mato Grosso do Sul,9386,14765,7303,12941,5914,12558,5172,13567,11519,10326,10420,10350,8970,9444,8466,8145,7277,8300,6495,7712,5662,7431,5253,7557,4367,6209,1176,734,1568,1537,2754,4909,1968,3737,154.82,112318.0,176.05,108515.0,181.2,118692.0,190.73,128093.0,216.23,133134.0,286.17,137637.0,262.47,139986.0,260.98,147100.0,250.4,137063.0,234.19,137063.0,235.39,125884.0,229.94,126654.0,231.67,122753.0,73.8,126409.0,117.7,111051.0,6971.67,174399.0
Minas Gerais,45839,121864,35440,110137,28300,95677,18224,90330,58591,78353,50958,76408,41635,69013,35697,59713,34732,52753,31239,53446,30593,60674,27626,64065,14767,34551,46779,54496,19257,24243,19261,48140,16403,35826,157.27,1096750.0,175.46,1045153.0,178.97,1077821.0,186.95,1130838.0,211.09,1136205.0,276.3,1169368.0,251.74,1165255.0,252.27,1158803.0,242.8,1088998.0,227.08,1088998.0,231.9,1032516.0,231.31,1052237.0,233.49,1021702.0,71.22,1053068.0,117.46,938456.0,6748.51,1354414.0
Paraná,8513,53966,8589,59503,6798,46954,4982,37882,25601,28918,24957,30047,21402,30689,19420,32382,19012,36519,13025,27915,12963,29907,11418,26769,7022,12640,7040,13190,2697,4544,5521,15428,1366,2420,148.8,431989.0,166.94,389985.0,167.71,445080.0,174.82,473765.0,203.27,451730.0,266.25,440669.0,235.38,429424.0,234.97,415693.0,223.47,386257.0,209.0,386257.0,210.15,359168.0,208.61,370897.0,210.51,361275.0,65.8,373361.0,107.13,339128.0,6813.64,503900.0
Paraíba,52850,38056,49697,37791,37009,34677,27766,32606,42378,23329,38462,21207,30298,17706,27725,17558,24281,15316,25957,17315,21590,16087,16687,13423,12619,8534,13469,3320,9737,4880,11768,13579,6812,9104,178.13,414631.0,198.5,414644.0,202.85,433519.0,208.13,452558.0,221.79,475974.0,287.56,497298.0,280.74,500710.0,286.67,518639.0,282.92,518364.0,264.6,518364.0,269.66,504988.0,263.14,516207.0,259.8,515736.0,73.97,514748.0,130.25,434864.0,6754.71,575202.0
Pará,150059,86555,106464,84793,92796,84618,79207,77801,78346,62411,72942,59188,68039,59092,65871,57917,64920,60476,58635,49561,53812,43813,51832,45994,41136,35984,23698,2481,43089,61090,42409,39785,22639,1297,191.64,524534.0,215.54,537253.0,222.8,590910.0,228.46,669457.0,248.53,714740.0,319.08,796224.0,300.43,824177.0,301.62,881202.0,290.91,908683.0,272.07,908683.0,275.13,910474.0,264.16,950795.0,258.82,960085.0,76.55,954845.0,127.24,802408.0,7085.37,1127172.0
Pernambuco,93803,122590,73627,94676,58743,71280,36042,53255,60789,41270,53644,29038,42505,18173,38460,12285,29215,8386,27926,5790,23693,5286,16925,4079,11558,4692,16475,1029,7499,4783,9973,5130,4918,3046,175.93,880951.0,195.21,906815.0,201.79,970914.0,207.83,1039903.0,222.45,1098377.0,281.69,1132603.0,263.56,1133988.0,264.7,1149017.0,257.13,1126038.0,240.48,1126038.0,245.0,1117378.0,238.29,1157608.0,236.74,1160901.0,66.57,1161568.0,108.02,987867.0,6746.49,1381468.0
Piauí,26389,47624,25409,55156,16459,47734,13949,36665,18688,25114,19258,26364,14932,19852,15595,18875,12668,16855,12931,14556,10254,13419,8642,12161,6112,9273,7329,6667,6438,5964,5882,10281,2196,2573,181.0,368253.0,201.38,367364.0,206.17,387131.0,210.46,417748.0,223.69,438700.0,293.66,447992.0,300.73,448424.0,305.65,453800.0,297.01,449346.0,277.78,449346.0,282.32,438373.0,273.83,450651.0,271.02,449245.0,76.74,448900.0,138.39,381581.0,6767.0,515946.0
Rio Grande do Norte,26121,48100,25860,43361,20517,38538,16631,32148,28255,28672,23988,24372,20077,20664,17258,13561,16543,13981,15391,10630,14269,11616,12158,10715,9188,9381,7180,748,16565,19720,8945,13384,6557,10328,168.31,301278.0,188.59,299262.0,195.31,312206.0,203.16,335692.0,218.37,341742.0,281.35,356772.0,265.64,358438.0,268.19,362282.0,256.87,353139.0,240.24,353139.0,244.77,339050.0,240.46,350172.0,240.99,351142.0,65.8,356898.0,113.83,306257.0,6694.12,424643.0
Rio Grande do Sul,18083,76730,11293,70459,9464,64161,9241,58882,21047,40899,19022,41458,17074,35270,16497,31331,14715,27349,12048,23615,13233,26073,11689,25017,11527,17778,3808,21285,18870,32558,12635,34683,10046,26901,158.84,419590.0,178.12,393092.0,182.55,429576.0,190.54,451601.0,213.33,446678.0,277.27,453648.0,250.48,451120.0,250.3,444307.0,236.52,400396.0,221.2,400396.0,223.82,358091.0,220.25,365414.0,221.65,349612.0,71.12,367423.0,112.88,332528.0,6767.95,514538.0
Rio de Janeiro,69817,115089,64951,118160,56842,107419,41741,95427,48076,61593,38166,44637,33337,34022,36720,33571,29049,20994,32755,40840,26253,23505,26043,24635,19763,33364,23616,3000,17509,11045,15687,31599,11671,23302,162.02,463768.0,181.94,505407.0,188.59,603343.0,195.72,675203.0,216.33,703486.0,281.4,763117.0,257.86,812242.0,258.14,840944.0,247.38,813710.0,231.36,813710.0,238.0,778240.0,235.38,838498.0,237.0,860345.0,66.85,909064.0,110.56,808778.0,6730.52,1497902.0
Rondônia,9995,9616,6661,9671,4776,8550,4104,8381,8691,7589,7709,7563,6996,6827,6799,6066,5823,6029,5263,4386,3540,3874,3775,3932,2872,3449,5305,1441,2693,3456,2608,4752,1591,2784,174.91,95835.0,194.5,95906.0,200.88,107810.0,206.94,115105.0,227.75,110969.0,291.36,114948.0,258.97,115917.0,253.53,115979.0,228.27,98422.0,213.49,98422.0,207.89,85863.0,200.58,82696.0,197.91,77406.0,54.38,80247.0,80.91,70100.0,6947.69,105609.0
Roraima,1673,1886,1021,1800,865,1786,1099,1514,2434,1462,3055,2358,2569,1841,2227,1886,2658,2116,1945,1640,1779,1759,1932,1731,1943,1675,729,194,1547,1282,2034,2483,1444,1196,188.89,31747.0,216.25,33600.0,224.95,39383.0,233.28,41890.0,254.17,45109.0,326.47,46429.0,299.1,46408.0,304.06,47412.0,293.52,48845.0,274.52,48845.0,283.89,45530.0,273.4,46409.0,271.66,47421.0,86.81,50181.0,152.57,43082.0,7588.3,59093.0
Santa Catarina,4652,21934,2771,22845,2696,21245,1761,23332,7792,20063,6811,17576,5735,20086,3998,18471,4189,17920,3353,14117,3374,13970,4260,12854,3461,12387,1753,9168,3601,19724,2769,13232,2824,11750,151.95,137099.0,169.05,126608.0,171.86,139835.0,176.78,147395.0,206.51,140286.0,279.09,141717.0,250.62,142831.0,250.24,139213.0,237.95,125737.0,222.54,125737.0,225.92,116523.0,224.93,119249.0,226.62,115589.0,76.42,124992.0,125.56,115584.0,6934.58,191152.0
Sergipe,24047,21591,17186,21370,13022,17478,7833,16760,16646,10820,17443,11202,15351,10522,15407,11125,14796,10961,13182,9579,10369,8320,8282,6625,6571,4815,3549,1553,4489,2579,5346,3909,2753,2174,181.97,187797.0,204.37,183909.0,209.0,201145.0,212.63,227880.0,227.37,242321.0,287.72,262030.0,264.2,266488.0,259.55,278452.0,244.84,271593.0,228.98,271593.0,231.19,270184.0,223.24,284590.0,219.7,287885.0,62.1,284520.0,96.25,239099.0,6726.66,330688.0
São Paulo,18220,96517,18227,85519,12201,80846,24104,97506,53342,84293,52250,86727,51058,88925,49839,80988,37562,59231,37406,69755,31658,59480,26838,52485,21637,31038,10828,6132,32381,54267,21519,58702,21373,51316,152.27,1084180.0,169.52,1051368.0,174.74,1113677.0,183.01,1112178.0,207.69,1198600.0,270.35,1220420.0,242.69,1294086.0,246.12,1329299.0,233.53,1455910.0,218.41,1455910.0,221.15,1463343.0,217.6,1552288.0,219.87,1502274.0,67.34,1546064.0,111.7,1394844.0,6816.14,2167967.0
Tocantins,5336,10419,4426,10081,3571,7256,2164,6765,4253,6065,4421,4990,3826,4910,4230,5713,4286,5286,3777,4273,2996,3643,2708,3106,2171,2676,2593,2714,1366,2260,1122,2363,890,1190,168.76,106398.0,190.47,106146.0,195.36,113700.0,200.97,127515.0,223.53,129739.0,298.81,135402.0,283.07,136930.0,281.48,140064.0,265.2,134464.0,248.03,134464.0,249.68,124725.0,243.64,123224.0,244.39,116338.0,73.24,116741.0,120.34,101068.0,7011.99,132030.0
