UF,Ano,Trimestre,Trimestre_Ano,Total,Forca_de_Trabalho,Ocupados,Desocupados,Fora_da_Forca,Taxa_Desocupacao,Nivel_Ocupacao,Taxa_Participacao
Tocantins,2019,3,T3/2019,1215,728,650,78,487,10.71428571428571,53.49794238683128,59.91769547325103
Maranhão,2019,3,T3/2019,5329,2656,2274,382,2673,14.38253012048193,42.67217113905048,49.84049540251455
Piauí,2019,3,T3/2019,2584,1538,1340,199,1046,12.93888166449935,51.85758513931889,59.52012383900929
Ceará,2019,3,T3/2019,7244,4184,3706,478,3060,11.4244741873805,51.15958034235229,57.75814467145224
Rio Grande do Norte,2019,3,T3/2019,2770,1543,1333,210,1227,13.6098509397278,48.12274368231047,55.70397111913358
Paraíba,2019,3,T3/2019,3176,1699,1506,193,1477,11.35962330782813,47.41813602015114,53.49496221662469
Pernambuco,2019,3,T3/2019,7542,4214,3541,674,3328,15.99430469862364,46.95041103155661,55.87377353487138
Alagoas,2019,3,T3/2019,2613,1234,1042,193,1379,15.64019448946515,39.87753539992346,47.22541140451588
Sergipe,2019,3,T3/2019,1819,1096,934,162,723,14.78102189781022,51.34689389774601,60.25288620120946
Bahia,2019,3,T3/2019,11807,7055,5862,1194,4752,16.92416725726435,49.6485135936309,59.75268908274752
Minas Gerais,2019,3,T3/2019,17339,11483,10334,1149,5856,10.00609596795263,59.59974623680719,66.2264259761232
Espírito Santo,2019,3,T3/2019,3194,2176,1943,233,1018,10.70772058823529,60.83281152160301,68.12773951158422
Rio de Janeiro,2019,3,T3/2019,14477,8999,7685,1314,5478,14.60162240248916,53.0842025281481,62.1606686468191
São Paulo,2019,3,T3/2019,37586,26087,22918,3169,11499,12.14781308697819,60.9748310541159,69.40616186878093
Paraná,2019,3,T3/2019,9223,6172,5613,559,3051,9.057031756318858,60.85872275832159,66.9196573782934
Santa Catarina,2019,3,T3/2019,5868,3922,3695,227,1946,5.787863335033147,62.96864349011588,66.83708248125426
Rio Grande do Sul,2019,3,T3/2019,9393,6212,5657,555,3181,8.934320669671603,60.22569998935378,66.13435537102097
Mato Grosso do Sul,2019,3,T3/2019,2119,1440,1329,111,679,7.708333333333334,62.71826333176026,67.9565832940066
Mato Grosso,2019,3,T3/2019,2670,1855,1707,148,815,7.97843665768194,63.93258426966292,69.47565543071161
Goiás,2019,3,T3/2019,5639,3847,3426,421,1792,10.94359240966987,60.75545309452031,68.22131583614116
Distrito Federal,2019,3,T3/2019,2455,1696,1472,224,759,13.20754716981132,59.95926680244399,69.08350305498982
Rondônia,2019,4,T4/2019,1388,883,810,72,505,8.154020385050963,58.35734870317003,63.61671469740634
Acre,2019,4,T4/2019,653,353,304,49,300,13.88101983002833,46.55436447166922,54.05819295558959
Amazonas,2019,4,T4/2019,2987,1902,1654,248,1085,13.03890641430073,55.37328423167057,63.67592902577838
Roraima,2019,4,T4/2019,397,256,217,38,141,14.84375,54.65994962216625,64.48362720403023
Pará,2019,4,T4/2019,6546,3881,3521,360,2665,9.275959804174182,53.78857317445769,59.28811487931561
Amapá,2019,4,T4/2019,620,393,331,62,227,15.77608142493639,53.38709677419354,63.38709677419355
Tocantins,2019,4,T4/2019,1223,723,656,67,500,9.266943291839558,53.63859362224039,59.11692559280458
Maranhão,2019,4,T4/2019,5347,2660,2330,330,2687,12.40601503759398,43.57583691789789,49.74752197493922
Piauí,2019,4,T4/2019,2591,1503,1303,200,1088,13.30671989354624,50.28946352759552,58.0084909301428
Ceará,2019,4,T4/2019,7297,4227,3790,437,3070,10.33830139578897,51.93915307660683,57.92791558174593
Rio Grande do Norte,2019,4,T4/2019,2783,1534,1335,199,1249,12.97262059973924,47.9698167445203,55.1203736974488
Paraíba,2019,4,T4/2019,3175,1695,1489,206,1480,12.15339233038348,46.89763779527559,53.38582677165354
Pernambuco,2019,4,T4/2019,7624,4247,3646,601,3377,14.15116552860843,47.82266526757608,55.70566631689402
Alagoas,2019,4,T4/2019,2601,1193,1028,165,1408,13.83067896060352,39.52326028450596,45.86697424067666
Sergipe,2019,4,T4/2019,1816,1125,957,168,691,14.93333333333334,52.69823788546255,61.94933920704846
Bahia,2019,4,T4/2019,11808,7029,5867,1162,4779,16.53151230616019,49.68665311653117,59.52743902439024
Minas Gerais,2019,4,T4/2019,17383,11461,10363,1098,5922,9.580315853764942,59.61571650463097,65.93223264108612
Espírito Santo,2019,4,T4/2019,3233,2175,1948,227,1058,10.4367816091954,60.25363439529848,67.27497680173214
Rio de Janeiro,2019,4,T4/2019,14530,9008,7761,1246,5522,13.83214920071048,53.41362697866483,61.99587061252581
São Paulo,2019,4,T4/2019,37580,26029,23014,3015,11551,11.58323408505897,61.24002128791911,69.26290580095795
Paraná,2019,4,T4/2019,9217,6122,5671,450,3095,7.350539039529566,61.52761202126506,66.42074427687969
Santa Catarina,2019,4,T4/2019,5899,3983,3767,216,1916,5.423047953803666,63.85828106458722,67.51991863027632
Rio Grande do Sul,2019,4,T4/2019,9396,6274,5819,455,3122,7.252151737328657,61.93060876968923,66.77309493401448
Mato Grosso do Sul,2019,4,T4/2019,2140,1432,1336,96,708,6.70391061452514,62.42990654205608,66.9158878504673
Mato Grosso,2019,4,T4/2019,2667,1820,1703,117,847,6.428571428571428,63.85451818522685,68.24146981627297
Goiás,2019,4,T4/2019,5636,3836,3431,405,1800,10.55787278415016,60.87650816181689,68.0624556422995
Distrito Federal,2019,4,T4/2019,2460,1674,1463,210,786,12.54480286738351,59.47154471544715,68.04878048780488
Rondônia,2020,1,T1/2020,1394,892,817,76,502,8.520179372197308,58.60832137733142,63.98852223816356
