NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,162822.0,43510.0,206332.0
Alagoas,523412.0,123281.0,646693.0
Amapá,136957.0,39616.0,176573.0
Amazonas,724925.0,189743.0,914668.0
Bahia,2125314.0,553472.0,2678786.0
Ceará,1273185.0,373407.0,1646592.0
Distrito Federal,392237.0,110416.0,502653.0
Espírito Santo,509074.0,131715.0,640789.0
Goiás,887009.0,256201.0,1143210.0
Maranhão,1238309.0,312111.0,1550420.0
Mato Grosso,463185.0,157936.0,621121.0
Mato Grosso do Sul,404267.0,93257.0,497524.0
Minas Gerais,2671665.0,787359.0,3459024.0
Paraná,1462474.0,474267.0,1936741.0
Paraíba,578115.0,133183.0,711298.0
Pará,1475444.0,359979.0,1835423.0
Pernambuco,1327947.0,364620.0,1692567.0
Piauí,506726.0,142843.0,649569.0
Rio Grande do Norte,486565.0,129452.0,616017.0
Rio Grande do Sul,1337697.0,385200.0,1722897.0
Rio de Janeiro,2074921.0,583177.0,2658098.0
Rondônia,277290.0,64827.0,342117.0
Roraima,91651.0,22995.0,114646.0
Santa Catarina,837863.0,242166.0,1080029.0
Sergipe,344083.0,81799.0,425882.0
São Paulo,5365948.0,1850964.0,7216912.0
Tocantins,252125.0,68654.0,320779.0
