CO_MUNICIPIO,NO_UF,NO_MUNICIPIO,QT_MAT_BAS_Privada_Urbana,QT_MAT_BAS_Pública_Rural,QT_MAT_BAS_Pública_Urbana,QT_MAT_BAS_Privada_Rural,QT_MAT_INF_Privada_Urbana,QT_MAT_INF_Pública_Rural,QT_MAT_INF_Pública_Urbana,QT_MAT_INF_Privada_Rural,QT_MAT_MED_Privada_Urbana,QT_MAT_MED_Pública_Rural,QT_MAT_MED_Pública_Urbana,QT_MAT_MED_Privada_Rural,QT_MAT_EJA_Privada_Urbana,QT_MAT_EJA_Pública_Rural,QT_MAT_EJA_Pública_Urbana,QT_MAT_EJA_Privada_Rural,Total_Urbana,Total_Rural
1100015,Rondônia,Alta Floresta D'Oeste,114.0,1726.0,4421.0,0.0,32.0,44.0,414.0,0.0,0.0,0.0,1046.0,0.0,58.0,0.0,522.0,0.0,6607.0,1770.0
1100023,Rondônia,Ariquemes,3935.0,3277.0,21295.0,0.0,1311.0,165.0,1568.0,0.0,191.0,540.0,3527.0,0.0,246.0,142.0,3430.0,0.0,35503.0,4124.0
1100031,Rondônia,Cabixi,0.0,127.0,1519.0,0.0,0.0,0.0,230.0,0.0,0.0,30.0,216.0,0.0,0.0,0.0,220.0,0.0,2185.0,157.0
1100049,Rondônia,Cacoal,4956.0,2478.0,15622.0,319.0,626.0,95.0,1872.0,0.0,663.0,45.0,3465.0,139.0,229.0,11.0,1860.0,0.0,29293.0,3087.0
1100056,Rondônia,Cerejeiras,132.0,293.0,4038.0,0.0,26.0,30.0,484.0,0.0,16.0,0.0,569.0,0.0,0.0,0.0,800.0,0.0,6065.0,323.0
1100064,Rondônia,Colorado do Oeste,132.0,1087.0,3454.0,0.0,41.0,0.0,363.0,0.0,0.0,464.0,620.0,0.0,30.0,0.0,570.0,0.0,5210.0,1551.0
1100072,Rondônia,Corumbiara,0.0,962.0,1063.0,0.0,0.0,0.0,114.0,0.0,0.0,129.0,219.0,0.0,0.0,0.0,159.0,0.0,1555.0,1091.0
1100080,Rondônia,Costa Marques,17.0,1611.0,2845.0,0.0,0.0,108.0,350.0,0.0,0.0,245.0,384.0,0.0,17.0,12.0,361.0,0.0,3974.0,1976.0
1100098,Rondônia,Espigão D'Oeste,398.0,1641.0,5564.0,0.0,73.0,44.0,561.0,0.0,80.0,27.0,1208.0,0.0,74.0,0.0,453.0,0.0,8411.0,1712.0
1100106,Rondônia,Guajará-Mirim,1123.0,2013.0,10588.0,0.0,290.0,57.0,1131.0,0.0,119.0,0.0,1455.0,0.0,36.0,8.0,1917.0,0.0,16659.0,2078.0
1100114,Rondônia,Jaru,917.0,2905.0,11264.0,125.0,357.0,222.0,1185.0,0.0,65.0,418.0,1764.0,125.0,101.0,140.0,1969.0,0.0,17622.0,3935.0
1100122,Rondônia,Ji-Paraná,4059.0,2685.0,25566.0,204.0,1276.0,0.0,1642.0,0.0,199.0,222.0,4561.0,204.0,377.0,6.0,3543.0,0.0,41223.0,3321.0
1100130,Rondônia,Machadinho D'Oeste,315.0,3223.0,5639.0,0.0,92.0,62.0,369.0,0.0,34.0,187.0,821.0,0.0,33.0,75.0,1133.0,0.0,8436.0,3547.0
1100148,Rondônia,Nova Brasilândia D'Oeste,0.0,1097.0,3982.0,0.0,0.0,71.0,398.0,0.0,0.0,0.0,945.0,0.0,0.0,0.0,820.0,0.0,6145.0,1168.0
1100155,Rondônia,Ouro Preto do Oeste,484.0,941.0,9242.0,0.0,79.0,76.0,1471.0,0.0,44.0,0.0,1223.0,0.0,57.0,0.0,1616.0,0.0,14216.0,1017.0
1100189,Rondônia,Pimenta Bueno,591.0,877.0,8653.0,0.0,172.0,34.0,1042.0,0.0,82.0,0.0,1369.0,0.0,120.0,0.0,1412.0,0.0,13441.0,911.0
1100205,Rondônia,Porto Velho,18122.0,17823.0,99737.0,284.0,3741.0,816.0,11760.0,45.0,2171.0,1172.0,12883.0,25.0,140.0,1888.0,17346.0,0.0,165900.0,22053.0
1100254,Rondônia,Presidente Médici,64.0,1301.0,4672.0,0.0,0.0,46.0,600.0,0.0,0.0,149.0,788.0,0.0,64.0,20.0,1006.0,0.0,7194.0,1516.0
1100262,Rondônia,Rio Crespo,0.0,0.0,944.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,1167.0,0.0
1100288,Rondônia,Rolim de Moura,1159.0,996.0,12820.0,0.0,160.0,0.0,1452.0,0.0,84.0,0.0,2007.0,0.0,146.0,0.0,1645.0,0.0,19473.0,996.0
1100296,Rondônia,Santa Luzia D'Oeste,0.0,138.0,1815.0,0.0,0.0,14.0,219.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,272.0,0.0,2603.0,152.0
1100304,Rondônia,Vilhena,3589.0,630.0,20352.0,0.0,598.0,54.0,2297.0,0.0,393.0,5.0,3318.0,0.0,357.0,25.0,2783.0,0.0,33687.0,714.0
1100320,Rondônia,São Miguel do Guaporé,114.0,1828.0,4093.0,0.0,42.0,105.0,379.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,590.0,0.0,6218.0,1933.0
1100338,Rondônia,Nova Mamoré,227.0,3764.0,3592.0,0.0,43.0,298.0,394.0,0.0,0.0,287.0,415.0,0.0,39.0,201.0,798.0,0.0,5508.0,4550.0
1100346,Rondônia,Alvorada D'Oeste,102.0,541.0,3387.0,0.0,0.0,43.0,374.0,0.0,0.0,0.0,688.0,0.0,102.0,0.0,290.0,0.0,4943.0,584.0
1100379,Rondônia,Alto Alegre dos Parecis,31.0,1167.0,1860.0,0.0,3.0,0.0,201.0,0.0,0.0,0.0,482.0,0.0,21.0,0.0,126.0,0.0,2724.0,1167.0
1100403,Rondônia,Alto Paraíso,0.0,1389.0,2944.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,671.0,0.0,0.0,0.0,375.0,0.0,4202.0,1389.0
1100452,Rondônia,Buritis,259.0,1863.0,7746.0,0.0,95.0,62.0,473.0,0.0,0.0,0.0,1508.0,0.0,55.0,0.0,958.0,0.0,11094.0,1925.0
1100502,Rondônia,Novo Horizonte do Oeste,0.0,57.0,2317.0,176.0,0.0,0.0,259.0,0.0,0.0,0.0,396.0,176.0,0.0,0.0,245.0,0.0,3217.0,409.0
1100601,Rondônia,Cacaulândia,0.0,324.0,1210.0,0.0,0.0,14.0,109.0,0.0,0.0,0.0,207.0,0.0,0.0,7.0,79.0,0.0,1605.0,345.0
1100700,Rondônia,Campo Novo de Rondônia,0.0,1663.0,1578.0,0.0,0.0,20.0,211.0,0.0,0.0,170.0,281.0,0.0,0.0,0.0,210.0,0.0,2280.0,1853.0
1100809,Rondônia,Candeias do Jamari,0.0,1246.0,5611.0,0.0,0.0,214.0,665.0,0.0,0.0,0.0,634.0,0.0,0.0,115.0,994.0,0.0,7904.0,1575.0
1100908,Rondônia,Castanheiras,0.0,480.0,359.0,0.0,0.0,8.0,46.0,0.0,0.0,0.0,142.0,0.0,0.0,35.0,37.0,0.0,584.0,523.0
1100924,Rondônia,Chupinguaia,0.0,1036.0,1637.0,0.0,0.0,84.0,241.0,0.0,0.0,98.0,383.0,0.0,0.0,27.0,63.0,0.0,2324.0,1245.0
1100940,Rondônia,Cujubim,149.0,867.0,3864.0,0.0,29.0,0.0,467.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,248.0,0.0,5401.0,867.0
1101005,Rondônia,Governador Jorge Teixeira,0.0,1360.0,1096.0,0.0,0.0,53.0,86.0,0.0,0.0,103.0,279.0,0.0,0.0,79.0,168.0,0.0,1629.0,1595.0
1101104,Rondônia,Itapuã do Oeste,0.0,123.0,2842.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,448.0,0.0,3827.0,123.0
1101203,Rondônia,Ministro Andreazza,0.0,447.0,1725.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,200.0,0.0,2374.0,447.0
1101302,Rondônia,Mirante da Serra,27.0,515.0,2680.0,247.0,0.0,49.0,254.0,0.0,0.0,0.0,581.0,112.0,27.0,0.0,357.0,0.0,3926.0,923.0
1101401,Rondônia,Monte Negro,155.0,1048.0,2865.0,0.0,12.0,0.0,224.0,0.0,0.0,0.0,556.0,0.0,56.0,0.0,374.0,0.0,4242.0,1048.0
1101435,Rondônia,Nova União,0.0,514.0,1475.0,0.0,0.0,41.0,86.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,287.0,0.0,2161.0,555.0
1101450,Rondônia,Parecis,21.0,67.0,910.0,0.0,2.0,0.0,80.0,0.0,0.0,0.0,171.0,0.0,13.0,0.0,0.0,0.0,1197.0,67.0
1101468,Rondônia,Pimenteiras do Oeste,0.0,0.0,539.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0
1101476,Rondônia,Primavera de Rondônia,0.0,325.0,663.0,0.0,0.0,36.0,107.0,0.0,0.0,62.0,113.0,0.0,0.0,0.0,15.0,0.0,898.0,423.0
1101484,Rondônia,São Felipe D'Oeste,0.0,0.0,1390.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,59.0,0.0,1833.0,0.0
1101492,Rondônia,São Francisco do Guaporé,0.0,1160.0,4116.0,101.0,0.0,0.0,408.0,0.0,0.0,0.0,657.0,101.0,0.0,0.0,1144.0,0.0,6325.0,1362.0
1101500,Rondônia,Seringueiras,20.0,1130.0,2352.0,0.0,0.0,75.0,116.0,0.0,0.0,0.0,487.0,0.0,0.0,34.0,552.0,0.0,3527.0,1239.0
1101559,Rondônia,Teixeirópolis,0.0,424.0,974.0,0.0,0.0,44.0,152.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,176.0,0.0,1510.0,468.0
1101609,Rondônia,Theobroma,0.0,1505.0,1066.0,0.0,0.0,116.0,127.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,254.0,0.0,1817.0,1621.0
1101708,Rondônia,Urupá,0.0,1002.0,2136.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,377.0,0.0,3192.0,1002.0
1101757,Rondônia,Vale do Anari,21.0,771.0,1516.0,0.0,2.0,0.0,111.0,0.0,0.0,0.0,216.0,0.0,19.0,0.0,266.0,0.0,2151.0,771.0
1101807,Rondônia,Vale do Paraíso,0.0,315.0,1548.0,122.0,0.0,13.0,142.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0,112.0,0.0,2139.0,450.0
1200013,Acre,Acrelândia,0.0,1744.0,2769.0,0.0,0.0,204.0,503.0,0.0,0.0,190.0,489.0,0.0,0.0,196.0,204.0,0.0,3965.0,2334.0
1200054,Acre,Assis Brasil,0.0,1410.0,1852.0,0.0,0.0,105.0,292.0,0.0,0.0,54.0,220.0,0.0,0.0,8.0,270.0,0.0,2634.0,1577.0
1200104,Acre,Brasiléia,20.0,2076.0,5372.0,0.0,0.0,85.0,835.0,0.0,0.0,182.0,973.0,0.0,20.0,345.0,489.0,0.0,7709.0,2688.0
1200138,Acre,Bujari,0.0,1745.0,2147.0,0.0,0.0,101.0,409.0,0.0,0.0,151.0,335.0,0.0,0.0,375.0,246.0,0.0,3137.0,2372.0
1200179,Acre,Capixaba,0.0,1707.0,1975.0,0.0,0.0,140.0,179.0,0.0,0.0,137.0,284.0,0.0,0.0,343.0,285.0,0.0,2723.0,2327.0
