CO_MUNICIPIO,NO_UF,NO_MUNICIPIO,QT_MAT_FUND_Privada_Urbana,QT_MAT_FUND_Pública_Rural,QT_MAT_FUND_Pública_Urbana,QT_MAT_FUND_Privada_Rural,QT_MAT_MED_Privada_Urbana,QT_MAT_MED_Pública_Rural,QT_MAT_MED_Pública_Urbana,QT_MAT_MED_Privada_Rural,Total_Fundamental,Total_Medio
1100015,Rondônia,Alta Floresta D'Oeste,0.0,620.0,2715.0,0.0,0.0,36.0,804.0,0.0,3335.0,840.0
1100023,Rondônia,Ariquemes,1606.0,1710.0,10523.0,0.0,162.0,718.0,3177.0,0.0,13839.0,4057.0
1100031,Rondônia,Cabixi,0.0,113.0,668.0,0.0,0.0,14.0,168.0,0.0,781.0,182.0
1100049,Rondônia,Cacoal,2285.0,1660.0,7473.0,36.0,644.0,61.0,3137.0,121.0,11454.0,3963.0
1100056,Rondônia,Cerejeiras,127.0,0.0,2091.0,0.0,0.0,0.0,500.0,23.0,2218.0,523.0
1100064,Rondônia,Colorado do Oeste,80.0,407.0,1566.0,0.0,0.0,548.0,456.0,0.0,2053.0,1004.0
1100072,Rondônia,Corumbiara,0.0,455.0,527.0,0.0,0.0,84.0,148.0,0.0,982.0,232.0
1100080,Rondônia,Costa Marques,0.0,654.0,1473.0,0.0,0.0,109.0,350.0,0.0,2127.0,459.0
1100098,Rondônia,Espigão D'Oeste,241.0,766.0,3327.0,0.0,54.0,24.0,1134.0,0.0,4334.0,1212.0
1100106,Rondônia,Guajará-Mirim,451.0,1545.0,5417.0,0.0,12.0,98.0,1889.0,0.0,7413.0,1999.0
1100114,Rondônia,Jaru,394.0,408.0,5990.0,0.0,39.0,0.0,2046.0,51.0,6792.0,2136.0
1100122,Rondônia,Ji-Paraná,1715.0,1389.0,14383.0,0.0,190.0,71.0,4982.0,176.0,17487.0,5419.0
1100130,Rondônia,Machadinho D'Oeste,201.0,1176.0,3792.0,0.0,36.0,155.0,1087.0,0.0,5169.0,1278.0
1100148,Rondônia,Nova Brasilândia D'Oeste,0.0,600.0,1374.0,0.0,0.0,0.0,614.0,0.0,1974.0,614.0
1100155,Rondônia,Ouro Preto do Oeste,222.0,254.0,4127.0,0.0,18.0,0.0,1101.0,0.0,4603.0,1119.0
1100189,Rondônia,Pimenta Bueno,183.0,477.0,4213.0,0.0,0.0,214.0,1300.0,0.0,4873.0,1514.0
1100205,Rondônia,Porto Velho,12547.0,7468.0,53363.0,1348.0,2048.0,749.0,17533.0,0.0,74726.0,20330.0
1100254,Rondônia,Presidente Médici,0.0,242.0,2224.0,0.0,0.0,41.0,634.0,0.0,2466.0,675.0
1100262,Rondônia,Rio Crespo,0.0,0.0,549.0,0.0,0.0,0.0,159.0,0.0,549.0,159.0
1100288,Rondônia,Rolim de Moura,335.0,750.0,6365.0,0.0,66.0,0.0,1977.0,0.0,7450.0,2043.0
1100296,Rondônia,Santa Luzia D'Oeste,0.0,0.0,855.0,0.0,0.0,0.0,246.0,0.0,855.0,246.0
1100304,Rondônia,Vilhena,1271.0,399.0,11750.0,0.0,330.0,12.0,3579.0,0.0,13420.0,3921.0
1100320,Rondônia,São Miguel do Guaporé,136.0,851.0,1942.0,0.0,0.0,0.0,860.0,0.0,2929.0,860.0
1100338,Rondônia,Nova Mamoré,227.0,1247.0,3037.0,0.0,0.0,0.0,1013.0,0.0,4511.0,1013.0
1100346,Rondônia,Alvorada D'Oeste,0.0,176.0,1579.0,0.0,0.0,0.0,513.0,0.0,1755.0,513.0
1100379,Rondônia,Alto Alegre dos Parecis,0.0,762.0,977.0,0.0,0.0,0.0,426.0,0.0,1739.0,426.0
1100403,Rondônia,Alto Paraíso,301.0,716.0,1047.0,0.0,0.0,0.0,505.0,0.0,2064.0,505.0
1100452,Rondônia,Buritis,173.0,461.0,3727.0,0.0,0.0,0.0,1404.0,0.0,4361.0,1404.0
1100502,Rondônia,Novo Horizonte do Oeste,0.0,0.0,1034.0,0.0,0.0,0.0,313.0,177.0,1034.0,490.0
1100601,Rondônia,Cacaulândia,0.0,145.0,524.0,0.0,0.0,0.0,164.0,0.0,669.0,164.0
1100700,Rondônia,Campo Novo de Rondônia,0.0,781.0,717.0,0.0,0.0,110.0,245.0,0.0,1498.0,355.0
1100809,Rondônia,Candeias do Jamari,25.0,957.0,2753.0,0.0,0.0,3.0,823.0,0.0,3735.0,826.0
1100908,Rondônia,Castanheiras,0.0,421.0,38.0,0.0,0.0,0.0,97.0,0.0,459.0,97.0
1100924,Rondônia,Chupinguaia,0.0,565.0,1167.0,0.0,0.0,46.0,392.0,0.0,1732.0,438.0
1100940,Rondônia,Cujubim,86.0,659.0,1852.0,0.0,0.0,0.0,553.0,0.0,2597.0,553.0
1101005,Rondônia,Governador Jorge Teixeira,0.0,219.0,937.0,0.0,0.0,0.0,324.0,0.0,1156.0,324.0
1101104,Rondônia,Itapuã do Oeste,0.0,58.0,1482.0,0.0,0.0,0.0,365.0,0.0,1540.0,365.0
1101203,Rondônia,Ministro Andreazza,0.0,191.0,707.0,0.0,0.0,0.0,269.0,0.0,898.0,269.0
1101302,Rondônia,Mirante da Serra,0.0,248.0,1073.0,178.0,0.0,0.0,387.0,136.0,1499.0,523.0
1101401,Rondônia,Monte Negro,0.0,650.0,1181.0,0.0,0.0,0.0,457.0,0.0,1831.0,457.0
1101435,Rondônia,Nova União,0.0,318.0,549.0,0.0,0.0,0.0,225.0,0.0,867.0,225.0
1101450,Rondônia,Parecis,0.0,43.0,502.0,0.0,0.0,2.0,129.0,0.0,545.0,131.0
1101468,Rondônia,Pimenteiras do Oeste,0.0,0.0,401.0,0.0,0.0,0.0,80.0,0.0,401.0,80.0
1101476,Rondônia,Primavera de Rondônia,0.0,138.0,354.0,0.0,0.0,43.0,89.0,0.0,492.0,132.0
1101484,Rondônia,São Felipe D'Oeste,0.0,0.0,646.0,0.0,0.0,0.0,221.0,0.0,646.0,221.0
1101492,Rondônia,São Francisco do Guaporé,0.0,811.0,1671.0,0.0,0.0,3.0,623.0,75.0,2482.0,701.0
1101500,Rondônia,Seringueiras,0.0,319.0,1254.0,0.0,0.0,0.0,482.0,0.0,1573.0,482.0
1101559,Rondônia,Teixeirópolis,0.0,71.0,501.0,0.0,0.0,0.0,170.0,0.0,572.0,170.0
1101609,Rondônia,Theobroma,0.0,762.0,354.0,0.0,0.0,0.0,311.0,0.0,1116.0,311.0
1101708,Rondônia,Urupá,0.0,445.0,987.0,0.0,0.0,0.0,350.0,0.0,1432.0,350.0
1101757,Rondônia,Vale do Anari,0.0,61.0,1047.0,0.0,0.0,0.0,347.0,0.0,1108.0,347.0
1101807,Rondônia,Vale do Paraíso,0.0,165.0,667.0,94.0,0.0,0.0,276.0,0.0,926.0,276.0
1200013,Acre,Acrelândia,0.0,662.0,1574.0,0.0,0.0,162.0,502.0,0.0,2236.0,664.0
1200054,Acre,Assis Brasil,0.0,1624.0,1069.0,0.0,0.0,154.0,285.0,0.0,2693.0,439.0
1200104,Acre,Brasiléia,0.0,1213.0,3122.0,0.0,0.0,290.0,811.0,0.0,4335.0,1101.0
1200138,Acre,Bujari,0.0,1259.0,1132.0,0.0,0.0,269.0,352.0,0.0,2391.0,621.0
1200179,Acre,Capixaba,0.0,746.0,1171.0,0.0,0.0,119.0,318.0,0.0,1917.0,437.0
1200203,Acre,Cruzeiro do Sul,549.0,6390.0,11044.0,0.0,93.0,1485.0,3684.0,0.0,17983.0,5262.0
1200252,Acre,Epitaciolândia,0.0,758.0,2115.0,0.0,0.0,168.0,458.0,0.0,2873.0,626.0
1200302,Acre,Feijó,0.0,4968.0,3284.0,0.0,0.0,1076.0,1172.0,0.0,8252.0,2248.0
1200328,Acre,Jordão,0.0,1744.0,796.0,0.0,0.0,315.0,249.0,0.0,2540.0,564.0
1200336,Acre,Mâncio Lima,0.0,1720.0,2275.0,0.0,0.0,498.0,549.0,0.0,3995.0,1047.0
1200344,Acre,Manoel Urbano,0.0,703.0,1665.0,0.0,0.0,0.0,500.0,0.0,2368.0,500.0
1200351,Acre,Marechal Thaumaturgo,0.0,3056.0,1335.0,0.0,0.0,552.0,557.0,0.0,4391.0,1109.0
1200385,Acre,Plácido de Castro,0.0,1290.0,1456.0,0.0,0.0,202.0,480.0,0.0,2746.0,682.0
1200393,Acre,Porto Walter,0.0,1796.0,882.0,0.0,0.0,321.0,402.0,0.0,2678.0,723.0
