CO_MUNICIPIO,NO_UF,NO_MUNICIPIO,QT_MAT_BAS_Privada_Urbana,QT_MAT_BAS_Pública_Rural,QT_MAT_BAS_Pública_Urbana,QT_MAT_BAS_Privada_Rural,QT_MAT_INF_Privada_Urbana,QT_MAT_INF_Pública_Rural,QT_MAT_INF_Pública_Urbana,QT_MAT_INF_Privada_Rural,QT_MAT_MED_Privada_Urbana,QT_MAT_MED_Pública_Rural,QT_MAT_MED_Pública_Urbana,QT_MAT_MED_Privada_Rural,QT_MAT_EJA_Privada_Urbana,QT_MAT_EJA_Pública_Rural,QT_MAT_EJA_Pública_Urbana,QT_MAT_EJA_Privada_Rural,Total_Urbana,Total_Rural
1100015,Rondônia,Alta Floresta D'Oeste,97.0,2167.0,4807.0,0.0,21.0,39.0,433.0,0.0,0.0,0.0,1051.0,0.0,40.0,0.0,753.0,0.0,7202.0,2206.0
1100023,Rondônia,Ariquemes,4082.0,3469.0,23434.0,0.0,1383.0,76.0,1567.0,0.0,264.0,173.0,3463.0,0.0,457.0,288.0,5271.0,0.0,39921.0,4006.0
1100031,Rondônia,Cabixi,0.0,187.0,1659.0,0.0,0.0,0.0,250.0,0.0,0.0,41.0,220.0,0.0,0.0,0.0,272.0,0.0,2401.0,228.0
1100049,Rondônia,Cacoal,3502.0,3259.0,17602.0,368.0,603.0,198.0,1649.0,0.0,566.0,0.0,3695.0,161.0,271.0,0.0,3383.0,0.0,31271.0,3986.0
1100056,Rondônia,Cerejeiras,216.0,456.0,4620.0,0.0,66.0,0.0,538.0,0.0,27.0,0.0,689.0,0.0,35.0,0.0,1056.0,0.0,7247.0,456.0
1100064,Rondônia,Colorado do Oeste,210.0,1174.0,4090.0,0.0,75.0,0.0,373.0,0.0,0.0,378.0,745.0,0.0,0.0,17.0,812.0,0.0,6305.0,1569.0
1100072,Rondônia,Corumbiara,0.0,586.0,1867.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,260.0,0.0,2704.0,586.0
1100080,Rondônia,Costa Marques,292.0,1352.0,3114.0,0.0,272.0,102.0,211.0,0.0,0.0,0.0,542.0,0.0,20.0,0.0,459.0,0.0,4910.0,1454.0
1100098,Rondônia,Espigão D'Oeste,427.0,1830.0,6287.0,0.0,100.0,31.0,517.0,0.0,71.0,0.0,1120.0,0.0,73.0,0.0,1199.0,0.0,9794.0,1861.0
1100106,Rondônia,Guajará-Mirim,1145.0,1392.0,11522.0,0.0,344.0,79.0,1046.0,0.0,109.0,13.0,1364.0,0.0,0.0,44.0,2410.0,0.0,17940.0,1528.0
