NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,156388.0,38116.0,194504.0
Alagoas,475704.0,116193.0,591897.0
Amapá,135999.0,32987.0,168986.0
Amazonas,700172.0,205128.0,905300.0
Bahia,1991083.0,544868.0,2535951.0
Ceará,1177983.0,360265.0,1538248.0
Distrito Federal,374927.0,110020.0,484947.0
Espírito Santo,502696.0,114217.0,616913.0
Goiás,868931.0,237166.0,1106097.0
Maranhão,1153446.0,290250.0,1443696.0
Mato Grosso,478220.0,142836.0,621056.0
Mato Grosso do Sul,397032.0,103482.0,500514.0
Minas Gerais,2461094.0,751103.0,3212197.0
Paraná,1404493.0,407743.0,1812236.0
Paraíba,548659.0,135458.0,684117.0
Pará,1418496.0,356274.0,1774770.0
Pernambuco,1284245.0,335117.0,1619362.0
Piauí,470183.0,128797.0,598980.0
Rio Grande do Norte,459400.0,125082.0,584482.0
Rio Grande do Sul,1280743.0,335437.0,1616180.0
Rio de Janeiro,1976311.0,575245.0,2551556.0
Rondônia,261087.0,61581.0,322668.0
Roraima,102264.0,23587.0,125851.0
Santa Catarina,865262.0,242876.0,1108138.0
Sergipe,328558.0,76436.0,404994.0
São Paulo,5409187.0,1551906.0,6961093.0
Tocantins,241167.0,63721.0,304888.0
