CO_MUNICIPIO,NO_UF,NO_MUNICIPIO,QT_MAT_FUND_Privada_Urbana,QT_MAT_FUND_Pública_Rural,QT_MAT_FUND_Pública_Urbana,QT_MAT_FUND_Privada_Rural,QT_MAT_MED_Privada_Urbana,QT_MAT_MED_Pública_Rural,QT_MAT_MED_Pública_Urbana,QT_MAT_MED_Privada_Rural,Total_Fundamental,Total_Medio
1100015,Rondônia,Alta Floresta D'Oeste,0.0,780.0,3138.0,0.0,0.0,31.0,732.0,0.0,3918.0,763.0
1100023,Rondônia,Ariquemes,1806.0,2059.0,11813.0,0.0,148.0,780.0,2978.0,0.0,15678.0,3906.0
1100031,Rondônia,Cabixi,5.0,103.0,847.0,0.0,0.0,19.0,162.0,0.0,955.0,181.0
1100049,Rondônia,Cacoal,2246.0,1981.0,8467.0,16.0,504.0,86.0,2902.0,142.0,12710.0,3634.0
1100056,Rondônia,Cerejeiras,79.0,0.0,2391.0,0.0,7.0,0.0,429.0,0.0,2470.0,436.0
1100064,Rondônia,Colorado do Oeste,82.0,502.0,1823.0,0.0,0.0,531.0,445.0,0.0,2407.0,976.0
1100072,Rondônia,Corumbiara,0.0,664.0,577.0,0.0,0.0,81.0,138.0,0.0,1241.0,219.0
1100080,Rondônia,Costa Marques,0.0,1109.0,1503.0,0.0,0.0,93.0,322.0,0.0,2612.0,415.0
1100098,Rondônia,Espigão D'Oeste,207.0,1513.0,3253.0,0.0,53.0,38.0,972.0,0.0,4973.0,1063.0
1100106,Rondônia,Guajará-Mirim,628.0,2018.0,5927.0,0.0,33.0,44.0,1546.0,0.0,8573.0,1623.0
1100114,Rondônia,Jaru,395.0,1636.0,5900.0,0.0,38.0,361.0,1453.0,65.0,7931.0,1917.0
1100122,Rondônia,Ji-Paraná,1676.0,1801.0,16042.0,0.0,215.0,37.0,4551.0,185.0,19519.0,4988.0
1100130,Rondônia,Machadinho D'Oeste,152.0,2207.0,3577.0,0.0,17.0,176.0,829.0,0.0,5936.0,1022.0
1100148,Rondônia,Nova Brasilândia D'Oeste,0.0,717.0,1795.0,0.0,0.0,0.0,597.0,0.0,2512.0,597.0
1100155,Rondônia,Ouro Preto do Oeste,334.0,586.0,4744.0,0.0,16.0,0.0,1062.0,0.0,5664.0,1078.0
1100189,Rondônia,Pimenta Bueno,249.0,504.0,4782.0,0.0,35.0,272.0,1118.0,0.0,5535.0,1425.0
1100205,Rondônia,Porto Velho,13239.0,10715.0,55281.0,1484.0,1774.0,682.0,14500.0,0.0,80719.0,16956.0
1100254,Rondônia,Presidente Médici,0.0,755.0,2382.0,0.0,0.0,62.0,575.0,0.0,3137.0,637.0
1100262,Rondônia,Rio Crespo,0.0,0.0,683.0,0.0,0.0,0.0,109.0,0.0,683.0,109.0
1100288,Rondônia,Rolim de Moura,371.0,855.0,6909.0,0.0,65.0,0.0,1955.0,0.0,8135.0,2020.0
1100296,Rondônia,Santa Luzia D'Oeste,0.0,0.0,1101.0,0.0,0.0,0.0,235.0,0.0,1101.0,235.0
1100304,Rondônia,Vilhena,1323.0,557.0,12340.0,0.0,240.0,17.0,3006.0,0.0,14220.0,3263.0
1100320,Rondônia,São Miguel do Guaporé,95.0,1099.0,2237.0,0.0,0.0,0.0,838.0,0.0,3431.0,838.0
1100338,Rondônia,Nova Mamoré,169.0,3160.0,1807.0,0.0,0.0,407.0,510.0,0.0,5136.0,917.0
1100346,Rondônia,Alvorada D'Oeste,0.0,289.0,1878.0,0.0,0.0,0.0,447.0,0.0,2167.0,447.0
1100379,Rondônia,Alto Alegre dos Parecis,3.0,1051.0,1079.0,0.0,0.0,0.0,382.0,0.0,2133.0,382.0
1100403,Rondônia,Alto Paraíso,0.0,1114.0,1528.0,0.0,0.0,0.0,519.0,0.0,2642.0,519.0
1100452,Rondônia,Buritis,115.0,798.0,4781.0,0.0,0.0,0.0,1185.0,0.0,5694.0,1185.0
