NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,166200.0,36295.0,202495.0
Alagoas,630889.0,130247.0,761136.0
Amapá,144597.0,37871.0,182468.0
Amazonas,771963.0,162113.0,934076.0
Bahia,2450008.0,589012.0,3039020.0
Ceará,1485827.0,411176.0,1897003.0
Distrito Federal,419477.0,107852.0,527329.0
Espírito Santo,540757.0,131816.0,672573.0
Goiás,929582.0,270624.0,1200206.0
Maranhão,1363049.0,318324.0,1681373.0
Mato Grosso,489220.0,146054.0,635274.0
Mato Grosso do Sul,430963.0,99029.0,529992.0
Minas Gerais,3037343.0,836390.0,3873733.0
Paraná,1660807.0,479522.0,2140329.0
Paraíba,661105.0,146876.0,807981.0
Pará,1553080.0,356885.0,1909965.0
Pernambuco,1501732.0,429476.0,1931208.0
Piauí,581204.0,167418.0,748622.0
Rio Grande do Norte,536486.0,149524.0,686010.0
Rio Grande do Sul,1540142.0,411763.0,1951905.0
Rio de Janeiro,2318963.0,623706.0,2942669.0
Rondônia,293177.0,61628.0,354805.0
Roraima,91556.0,18463.0,110019.0
Santa Catarina,880591.0,248209.0,1128800.0
Sergipe,373009.0,82969.0,455978.0
São Paulo,6025963.0,1839727.0,7865690.0
Tocantins,270517.0,65678.0,336195.0
