CO_MUNICIPIO,NO_UF,NO_MUNICIPIO,QT_MAT_FUND_Privada_Urbana,QT_MAT_FUND_Pública_Rural,QT_MAT_FUND_Pública_Urbana,QT_MAT_FUND_Privada_Rural,QT_MAT_MED_Privada_Urbana,QT_MAT_MED_Pública_Rural,QT_MAT_MED_Pública_Urbana,QT_MAT_MED_Privada_Rural,Total_Fundamental,Total_Medio
1100015,Rondônia,Alta Floresta D'Oeste,0.0,849.0,3259.0,0.0,0.0,7.0,881.0,0.0,4108.0,888.0
1100023,Rondônia,Ariquemes,1619.0,2173.0,12375.0,0.0,174.0,537.0,3190.0,0.0,16167.0,3901.0
1100031,Rondônia,Cabixi,0.0,92.0,861.0,0.0,0.0,17.0,168.0,0.0,953.0,185.0
1100049,Rondônia,Cacoal,2201.0,2114.0,8473.0,16.0,602.0,95.0,2957.0,95.0,12804.0,3749.0
1100056,Rondônia,Cerejeiras,80.0,145.0,2253.0,0.0,8.0,0.0,483.0,0.0,2478.0,491.0
1100064,Rondônia,Colorado do Oeste,77.0,557.0,1883.0,0.0,0.0,459.0,495.0,0.0,2517.0,954.0
1100072,Rondônia,Corumbiara,0.0,788.0,569.0,0.0,0.0,80.0,167.0,0.0,1357.0,247.0
1100080,Rondônia,Costa Marques,0.0,1100.0,1659.0,0.0,0.0,109.0,361.0,0.0,2759.0,470.0
1100098,Rondônia,Espigão D'Oeste,200.0,1495.0,3240.0,0.0,65.0,20.0,1098.0,0.0,4935.0,1183.0
1100106,Rondônia,Guajará-Mirim,687.0,2141.0,6011.0,0.0,118.0,0.0,1549.0,0.0,8839.0,1667.0
1100114,Rondônia,Jaru,374.0,1935.0,5956.0,0.0,49.0,419.0,1586.0,110.0,8265.0,2164.0
1100122,Rondônia,Ji-Paraná,1600.0,2461.0,15577.0,0.0,195.0,173.0,4430.0,179.0,19638.0,4977.0
1100130,Rondônia,Machadinho D'Oeste,157.0,2743.0,3303.0,0.0,18.0,183.0,824.0,0.0,6203.0,1025.0
1100148,Rondônia,Nova Brasilândia D'Oeste,0.0,775.0,1903.0,0.0,0.0,0.0,691.0,0.0,2678.0,691.0
1100155,Rondônia,Ouro Preto do Oeste,290.0,769.0,4762.0,0.0,19.0,0.0,1070.0,0.0,5821.0,1089.0
1100189,Rondônia,Pimenta Bueno,244.0,760.0,4806.0,0.0,77.0,115.0,1108.0,0.0,5810.0,1300.0
1100205,Rondônia,Porto Velho,11015.0,14400.0,55724.0,184.0,1972.0,1264.0,13534.0,16.0,81323.0,16786.0
1100254,Rondônia,Presidente Médici,0.0,808.0,2458.0,0.0,0.0,71.0,622.0,0.0,3266.0,693.0
1100262,Rondônia,Rio Crespo,0.0,0.0,679.0,0.0,0.0,0.0,120.0,0.0,679.0,120.0
1100288,Rondônia,Rolim de Moura,307.0,880.0,7526.0,0.0,70.0,0.0,1882.0,0.0,8713.0,1952.0
1100296,Rondônia,Santa Luzia D'Oeste,0.0,76.0,1047.0,0.0,0.0,0.0,243.0,0.0,1123.0,243.0
1100304,Rondônia,Vilhena,1328.0,539.0,12060.0,0.0,333.0,15.0,3163.0,0.0,13927.0,3511.0
