NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,166328.0,38502.0,204830.0
Alagoas,613016.0,134045.0,747061.0
Amapá,143273.0,37983.0,181256.0
Amazonas,767123.0,169842.0,936965.0
Bahia,2374231.0,598510.0,2972741.0
Ceará,1425749.0,412586.0,1838335.0
Distrito Federal,418250.0,109587.0,527837.0
Espírito Santo,536595.0,135803.0,672398.0
Goiás,914290.0,264689.0,1178979.0
Maranhão,1335930.0,312192.0,1648122.0
Mato Grosso,484536.0,153516.0,638052.0
Mato Grosso do Sul,426625.0,100250.0,526875.0
Minas Gerais,2929569.0,861022.0,3790591.0
Paraná,1600040.0,481962.0,2082002.0
Paraíba,642093.0,143125.0,785218.0
Pará,1536205.0,352602.0,1888807.0
Pernambuco,1482659.0,408613.0,1891272.0
Piauí,566315.0,162027.0,728342.0
Rio Grande do Norte,523232.0,148561.0,671793.0
Rio Grande do Sul,1503344.0,404940.0,1908284.0
Rio de Janeiro,2289349.0,609829.0,2899178.0
Rondônia,289690.0,65424.0,355114.0
Roraima,93607.0,19757.0,113364.0
Santa Catarina,865771.0,250791.0,1116562.0
Sergipe,369911.0,81971.0,451882.0
São Paulo,5926923.0,1873180.0,7800103.0
Tocantins,265822.0,70520.0,336342.0
