NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,164690.0,39273.0,203963.0
Alagoas,589932.0,131801.0,721733.0
Amapá,143966.0,39122.0,183088.0
Amazonas,763248.0,181519.0,944767.0
Bahia,2322775.0,589072.0,2911847.0
Ceará,1378142.0,406728.0,1784870.0
Distrito Federal,411703.0,111774.0,523477.0
Espírito Santo,528155.0,137357.0,665512.0
Goiás,914144.0,262168.0,1176312.0
Maranhão,1305722.0,308440.0,1614162.0
Mato Grosso,479239.0,159664.0,638903.0
Mato Grosso do Sul,416810.0,100488.0,517298.0
Minas Gerais,2831003.0,848983.0,3679986.0
Paraná,1559820.0,484633.0,2044453.0
Paraíba,620359.0,142326.0,762685.0
Pará,1519625.0,356554.0,1876179.0
Pernambuco,1449834.0,392399.0,1842233.0
Piauí,550242.0,155998.0,706240.0
Rio Grande do Norte,510375.0,145943.0,656318.0
Rio Grande do Sul,1463240.0,402506.0,1865746.0
Rio de Janeiro,2245063.0,603198.0,2848261.0
Rondônia,285531.0,65762.0,351293.0
Roraima,92564.0,21055.0,113619.0
Santa Catarina,851370.0,254730.0,1106100.0
Sergipe,363402.0,81763.0,445165.0
São Paulo,5805590.0,1885376.0,7690966.0
Tocantins,260083.0,69310.0,329393.0
