NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,147350.0,40216.0,187566.0
Alagoas,439014.0,120878.0,559892.0
Amapá,131948.0,32435.0,164383.0
Amazonas,692623.0,189771.0,882394.0
Bahia,1865574.0,517073.0,2382647.0
Ceará,1134636.0,358735.0,1493371.0
Distrito Federal,361438.0,111437.0,472875.0
Espírito Santo,498357.0,126068.0,624425.0
Goiás,868222.0,224130.0,1092352.0
Maranhão,1045700.0,283486.0,1329186.0
Mato Grosso,507089.0,137021.0,644110.0
Mato Grosso do Sul,393616.0,103814.0,497430.0
Minas Gerais,2343279.0,716517.0,3059796.0
Paraná,1365869.0,403394.0,1769263.0
Paraíba,523996.0,140067.0,664063.0
Pará,1331723.0,324258.0,1655981.0
Pernambuco,1229419.0,338436.0,1567855.0
Piauí,439111.0,128628.0,567739.0
Rio Grande do Norte,437133.0,127507.0,564640.0
Rio Grande do Sul,1255794.0,349367.0,1605161.0
Rio de Janeiro,1945098.0,554816.0,2499914.0
Rondônia,227246.0,71396.0,298642.0
Roraima,111096.0,27821.0,138917.0
Santa Catarina,941272.0,267040.0,1208312.0
Sergipe,305930.0,83603.0,389533.0
São Paulo,5343271.0,1832726.0,7175997.0
Tocantins,222404.0,66103.0,288507.0
