CO_MUNICIPIO,NO_UF,NO_MUNICIPIO,QT_MAT_FUND_Privada_Urbana,QT_MAT_FUND_Pública_Rural,QT_MAT_FUND_Pública_Urbana,QT_MAT_FUND_Privada_Rural,QT_MAT_MED_Privada_Urbana,QT_MAT_MED_Pública_Rural,QT_MAT_MED_Pública_Urbana,QT_MAT_MED_Privada_Rural,Total_Fundamental,Total_Medio
1100015,Rondônia,Alta Floresta D'Oeste,30.0,2295.0,2659.0,0.0,0.0,0.0,1086.0,0.0,4984.0,1086.0
1100023,Rondônia,Ariquemes,1360.0,2794.0,13565.0,0.0,241.0,0.0,3586.0,0.0,17719.0,3827.0
1100031,Rondônia,Cabixi,0.0,0.0,1147.0,0.0,0.0,0.0,245.0,0.0,1147.0,245.0
1100049,Rondônia,Cacoal,1710.0,3103.0,9293.0,46.0,548.0,0.0,3631.0,143.0,14152.0,4322.0
1100056,Rondônia,Cerejeiras,88.0,490.0,2353.0,0.0,26.0,0.0,681.0,0.0,2931.0,707.0
1100064,Rondônia,Colorado do Oeste,26.0,793.0,2299.0,0.0,0.0,335.0,826.0,0.0,3118.0,1161.0
1100072,Rondônia,Corumbiara,0.0,700.0,1028.0,0.0,0.0,0.0,411.0,0.0,1728.0,411.0
1100080,Rondônia,Costa Marques,0.0,1412.0,1918.0,0.0,0.0,0.0,563.0,0.0,3330.0,563.0
1100098,Rondônia,Espigão D'Oeste,218.0,1876.0,3489.0,0.0,53.0,0.0,1140.0,0.0,5583.0,1193.0
1100106,Rondônia,Guajará-Mirim,491.0,1324.0,6807.0,0.0,95.0,0.0,1495.0,0.0,8622.0,1590.0
1100114,Rondônia,Jaru,362.0,2905.0,6798.0,0.0,73.0,523.0,1769.0,0.0,10065.0,2365.0
1100122,Rondônia,Ji-Paraná,1591.0,2813.0,16339.0,0.0,277.0,280.0,3958.0,208.0,20743.0,4723.0
1100130,Rondônia,Machadinho D'Oeste,66.0,3439.0,3180.0,0.0,0.0,0.0,725.0,0.0,6685.0,725.0
1100148,Rondônia,Nova Brasilândia D'Oeste,0.0,1509.0,2032.0,0.0,0.0,76.0,907.0,0.0,3541.0,983.0
1100155,Rondônia,Ouro Preto do Oeste,367.0,1640.0,5099.0,0.0,52.0,0.0,1230.0,0.0,7106.0,1282.0
1100189,Rondônia,Pimenta Bueno,354.0,619.0,5013.0,0.0,82.0,0.0,1375.0,0.0,5986.0,1457.0
1100205,Rondônia,Porto Velho,9254.0,12676.0,56984.0,0.0,2344.0,692.0,10102.0,0.0,78914.0,13138.0
1100254,Rondônia,Presidente Médici,72.0,1314.0,2526.0,0.0,0.0,135.0,767.0,0.0,3912.0,902.0
1100262,Rondônia,Rio Crespo,0.0,17.0,689.0,0.0,0.0,0.0,246.0,0.0,706.0,246.0
1100288,Rondônia,Rolim de Moura,354.0,1243.0,7917.0,0.0,67.0,0.0,2608.0,0.0,9514.0,2675.0
