NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,160484.0,42573.0,203057.0
Alagoas,514920.0,122495.0,637415.0
Amapá,136651.0,39163.0,175814.0
Amazonas,721071.0,196480.0,917551.0
Bahia,2112634.0,570450.0,2683084.0
Ceará,1248635.0,379866.0,1628501.0
Distrito Federal,387572.0,110189.0,497761.0
Espírito Santo,505684.0,129409.0,635093.0
Goiás,887526.0,247506.0,1135032.0
Maranhão,1217005.0,319656.0,1536661.0
Mato Grosso,464905.0,149456.0,614361.0
Mato Grosso do Sul,405963.0,95205.0,501168.0
Minas Gerais,2603248.0,835089.0,3438337.0
Paraná,1447195.0,457620.0,1904815.0
Paraíba,576832.0,140772.0,717604.0
Pará,1465874.0,364418.0,1830292.0
Pernambuco,1329821.0,361851.0,1691672.0
Piauí,497338.0,142710.0,640048.0
Rio Grande do Norte,480959.0,126545.0,607504.0
Rio Grande do Sul,1338719.0,357808.0,1696527.0
Rio de Janeiro,2047208.0,591882.0,2639090.0
Rondônia,277002.0,60916.0,337918.0
Roraima,92618.0,22461.0,115079.0
Santa Catarina,838179.0,235288.0,1073467.0
Sergipe,337993.0,81179.0,419172.0
São Paulo,5343661.0,1885281.0,7228942.0
Tocantins,251781.0,66772.0,318553.0
