CO_MUNICIPIO,NO_UF,NO_MUNICIPIO,QT_MAT_BAS_Privada_Urbana,QT_MAT_BAS_Pública_Rural,QT_MAT_BAS_Pública_Urbana,QT_MAT_BAS_Privada_Rural,QT_MAT_INF_Privada_Urbana,QT_MAT_INF_Pública_Rural,QT_MAT_INF_Pública_Urbana,QT_MAT_INF_Privada_Rural,QT_MAT_MED_Privada_Urbana,QT_MAT_MED_Pública_Rural,QT_MAT_MED_Pública_Urbana,QT_MAT_MED_Privada_Rural,QT_MAT_EJA_Privada_Urbana,QT_MAT_EJA_Pública_Rural,QT_MAT_EJA_Pública_Urbana,QT_MAT_EJA_Privada_Rural,Total_Urbana,Total_Rural
1100015,Rondônia,Alta Floresta D'Oeste,6.0,726.0,4529.0,0.0,6.0,37.0,586.0,0.0,0.0,49.0,840.0,0.0,0.0,0.0,231.0,0.0,6198.0,812.0
1100023,Rondônia,Ariquemes,2745.0,2889.0,17709.0,0.0,748.0,253.0,1857.0,0.0,143.0,908.0,3281.0,0.0,39.0,11.0,1585.0,0.0,28107.0,4061.0
1100031,Rondônia,Cabixi,0.0,148.0,1214.0,0.0,0.0,0.0,209.0,0.0,0.0,23.0,176.0,0.0,0.0,0.0,102.0,0.0,1701.0,171.0
1100049,Rondônia,Cacoal,4147.0,2017.0,14046.0,223.0,510.0,221.0,1925.0,0.0,600.0,71.0,3255.0,107.0,328.0,0.0,1052.0,0.0,25863.0,2639.0
1100056,Rondônia,Cerejeiras,129.0,0.0,3630.0,24.0,18.0,0.0,669.0,0.0,0.0,0.0,545.0,24.0,0.0,0.0,243.0,0.0,5234.0,48.0
1100064,Rondônia,Colorado do Oeste,99.0,1007.0,2963.0,0.0,19.0,62.0,485.0,0.0,0.0,554.0,464.0,0.0,0.0,0.0,333.0,0.0,4363.0,1623.0
1100072,Rondônia,Corumbiara,0.0,700.0,893.0,0.0,0.0,83.0,165.0,0.0,0.0,98.0,148.0,0.0,0.0,0.0,71.0,0.0,1277.0,881.0
1100080,Rondônia,Costa Marques,34.0,1272.0,2175.0,0.0,0.0,141.0,275.0,0.0,0.0,157.0,420.0,0.0,34.0,17.0,194.0,0.0,3132.0,1587.0
1100098,Rondônia,Espigão D'Oeste,290.0,915.0,5566.0,0.0,49.0,89.0,699.0,0.0,44.0,31.0,1152.0,0.0,0.0,0.0,348.0,0.0,8148.0,1035.0
1100106,Rondônia,Guajará-Mirim,640.0,1638.0,9429.0,0.0,135.0,0.0,1027.0,0.0,18.0,65.0,1936.0,0.0,0.0,0.0,718.0,0.0,13903.0,1703.0
1100114,Rondônia,Jaru,870.0,506.0,10874.0,58.0,275.0,70.0,1551.0,0.0,25.0,0.0,2289.0,58.0,97.0,0.0,714.0,0.0,16695.0,692.0
1100122,Rondônia,Ji-Paraná,3219.0,1729.0,24191.0,172.0,992.0,142.0,2324.0,0.0,195.0,64.0,5161.0,172.0,62.0,0.0,1449.0,0.0,37593.0,2279.0
1100130,Rondônia,Machadinho D'Oeste,265.0,1615.0,6885.0,0.0,37.0,202.0,755.0,0.0,22.0,180.0,1121.0,0.0,22.0,0.0,1048.0,0.0,10155.0,1997.0
1100148,Rondônia,Nova Brasilândia D'Oeste,0.0,722.0,2964.0,0.0,0.0,103.0,462.0,0.0,0.0,0.0,638.0,0.0,0.0,0.0,437.0,0.0,4501.0,825.0
1100155,Rondônia,Ouro Preto do Oeste,325.0,357.0,7385.0,0.0,25.0,76.0,1119.0,0.0,23.0,0.0,1241.0,0.0,61.0,0.0,513.0,0.0,10692.0,433.0
1100189,Rondônia,Pimenta Bueno,241.0,975.0,7974.0,0.0,0.0,131.0,1253.0,0.0,27.0,220.0,1323.0,0.0,8.0,0.0,1006.0,0.0,11832.0,1326.0
1100205,Rondônia,Porto Velho,18846.0,9066.0,94532.0,1405.0,3178.0,916.0,11428.0,6.0,1893.0,601.0,17637.0,0.0,1.0,586.0,9906.0,0.0,157421.0,12580.0
1100254,Rondônia,Presidente Médici,40.0,322.0,4020.0,0.0,0.0,12.0,555.0,0.0,0.0,31.0,707.0,0.0,40.0,0.0,391.0,0.0,5753.0,365.0
1100262,Rondônia,Rio Crespo,0.0,0.0,868.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,9.0,0.0,1156.0,0.0
1100288,Rondônia,Rolim de Moura,591.0,815.0,10606.0,0.0,30.0,84.0,1541.0,0.0,72.0,0.0,2038.0,0.0,0.0,0.0,512.0,0.0,15390.0,899.0
1100296,Rondônia,Santa Luzia D'Oeste,0.0,0.0,1573.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,189.0,0.0,2220.0,0.0
1100304,Rondônia,Vilhena,1847.0,505.0,21319.0,0.0,216.0,68.0,2947.0,0.0,291.0,10.0,3640.0,0.0,76.0,0.0,2364.0,0.0,32700.0,583.0
