CO_MUNICIPIO,NO_UF,NO_MUNICIPIO,QT_MAT_FUND_Privada_Urbana,QT_MAT_FUND_Pública_Rural,QT_MAT_FUND_Pública_Urbana,QT_MAT_FUND_Privada_Rural,QT_MAT_MED_Privada_Urbana,QT_MAT_MED_Pública_Rural,QT_MAT_MED_Pública_Urbana,QT_MAT_MED_Privada_Rural,Total_Fundamental,Total_Medio
1100015,Rondônia,Alta Floresta D'Oeste,0.0,532.0,2519.0,0.0,0.0,52.0,890.0,0.0,3051.0,942.0
1100023,Rondônia,Ariquemes,1658.0,1567.0,9853.0,0.0,195.0,694.0,3444.0,0.0,13078.0,4333.0
1100031,Rondônia,Cabixi,0.0,84.0,645.0,0.0,0.0,22.0,194.0,0.0,729.0,216.0
1100049,Rondônia,Cacoal,2250.0,1605.0,7080.0,34.0,702.0,69.0,3498.0,116.0,10969.0,4385.0
1100056,Rondônia,Cerejeiras,120.0,0.0,2051.0,0.0,9.0,0.0,571.0,43.0,2171.0,623.0
1100064,Rondônia,Colorado do Oeste,39.0,349.0,1513.0,0.0,0.0,579.0,519.0,0.0,1901.0,1098.0
1100072,Rondônia,Corumbiara,0.0,422.0,573.0,0.0,0.0,82.0,136.0,0.0,995.0,218.0
1100080,Rondônia,Costa Marques,0.0,616.0,1431.0,0.0,0.0,137.0,425.0,0.0,2047.0,562.0
1100098,Rondônia,Espigão D'Oeste,219.0,665.0,3125.0,0.0,67.0,27.0,1219.0,0.0,4009.0,1313.0
1100106,Rondônia,Guajará-Mirim,430.0,1530.0,5197.0,0.0,24.0,98.0,1871.0,0.0,7157.0,1993.0
1100114,Rondônia,Jaru,451.0,374.0,5590.0,0.0,56.0,0.0,2180.0,102.0,6415.0,2338.0
1100122,Rondônia,Ji-Paraná,1733.0,1367.0,13526.0,0.0,257.0,89.0,5687.0,197.0,16626.0,6230.0
1100130,Rondônia,Machadinho D'Oeste,188.0,1068.0,3605.0,0.0,35.0,183.0,1119.0,0.0,4861.0,1337.0
1100148,Rondônia,Nova Brasilândia D'Oeste,0.0,547.0,1323.0,0.0,0.0,0.0,666.0,0.0,1870.0,666.0
1100155,Rondônia,Ouro Preto do Oeste,264.0,214.0,3934.0,0.0,30.0,0.0,1259.0,0.0,4412.0,1289.0
1100189,Rondônia,Pimenta Bueno,141.0,420.0,4054.0,0.0,0.0,263.0,1373.0,0.0,4615.0,1636.0
1100205,Rondônia,Porto Velho,12690.0,7215.0,51923.0,1351.0,2274.0,770.0,17174.0,0.0,73179.0,20218.0
1100254,Rondônia,Presidente Médici,0.0,198.0,2095.0,0.0,0.0,38.0,719.0,0.0,2293.0,757.0
1100262,Rondônia,Rio Crespo,0.0,0.0,544.0,0.0,0.0,0.0,135.0,0.0,544.0,135.0
1100288,Rondônia,Rolim de Moura,281.0,665.0,5905.0,0.0,67.0,0.0,2352.0,0.0,6851.0,2419.0
1100296,Rondônia,Santa Luzia D'Oeste,0.0,0.0,797.0,0.0,0.0,0.0,280.0,0.0,797.0,280.0
1100304,Rondônia,Vilhena,1321.0,386.0,11315.0,0.0,418.0,19.0,4063.0,0.0,13022.0,4500.0
1100320,Rondônia,São Miguel do Guaporé,132.0,779.0,1923.0,0.0,0.0,0.0,894.0,0.0,2834.0,894.0
1100338,Rondônia,Nova Mamoré,203.0,1121.0,3006.0,0.0,0.0,0.0,1075.0,0.0,4330.0,1075.0
1100346,Rondônia,Alvorada D'Oeste,0.0,160.0,1407.0,0.0,0.0,0.0,559.0,0.0,1567.0,559.0
1100379,Rondônia,Alto Alegre dos Parecis,0.0,693.0,949.0,0.0,0.0,0.0,446.0,0.0,1642.0,446.0
1100403,Rondônia,Alto Paraíso,303.0,628.0,996.0,0.0,0.0,0.0,534.0,0.0,1927.0,534.0
1100452,Rondônia,Buritis,171.0,431.0,3477.0,0.0,0.0,0.0,1474.0,0.0,4079.0,1474.0
1100502,Rondônia,Novo Horizonte do Oeste,0.0,0.0,987.0,0.0,0.0,0.0,301.0,220.0,987.0,521.0
1100601,Rondônia,Cacaulândia,0.0,139.0,500.0,0.0,0.0,0.0,197.0,0.0,639.0,197.0
1100700,Rondônia,Campo Novo de Rondônia,0.0,775.0,756.0,0.0,0.0,108.0,253.0,0.0,1531.0,361.0
1100809,Rondônia,Candeias do Jamari,0.0,907.0,2691.0,0.0,0.0,3.0,798.0,0.0,3598.0,801.0
1100908,Rondônia,Castanheiras,0.0,387.0,53.0,0.0,0.0,0.0,111.0,0.0,440.0,111.0
1100924,Rondônia,Chupinguaia,0.0,515.0,1129.0,0.0,0.0,60.0,436.0,0.0,1644.0,496.0
1100940,Rondônia,Cujubim,72.0,726.0,1640.0,0.0,0.0,0.0,637.0,0.0,2438.0,637.0
1101005,Rondônia,Governador Jorge Teixeira,0.0,205.0,872.0,0.0,0.0,0.0,305.0,0.0,1077.0,305.0
