NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,164364.0,33113.0,197477.0
Alagoas,660805.0,128937.0,789742.0
Amapá,142182.0,35733.0,177915.0
Amazonas,796224.0,159656.0,955880.0
Bahia,2622197.0,650127.0,3272324.0
Ceará,1595951.0,409060.0,2005011.0
Distrito Federal,426153.0,91277.0,517430.0
Espírito Santo,558031.0,140214.0,698245.0
Goiás,950040.0,264279.0,1214319.0
Maranhão,1413356.0,327256.0,1740612.0
Mato Grosso,524331.0,148084.0,672415.0
Mato Grosso do Sul,429585.0,91135.0,520720.0
Minas Gerais,3221775.0,834368.0,4056143.0
Paraná,1717892.0,472244.0,2190136.0
Paraíba,709956.0,154247.0,864203.0
Pará,1542952.0,337819.0,1880771.0
Pernambuco,1566523.0,440352.0,2006875.0
Piauí,619729.0,185710.0,805439.0
Rio Grande do Norte,562177.0,155414.0,717591.0
Rio Grande do Sul,1613255.0,429630.0,2042885.0
Rio de Janeiro,2405604.0,656444.0,3062048.0
Rondônia,302751.0,60441.0,363192.0
Roraima,85096.0,17146.0,102242.0
Santa Catarina,923736.0,243028.0,1166764.0
Sergipe,381911.0,86868.0,468779.0
São Paulo,6075606.0,1745294.0,7820900.0
Tocantins,276644.0,70992.0,347636.0
