UF,Resultado_Multiplicacao_EF2019,Resultado_Multiplicacao_EM2019
AC,3252,2402
AL,6764,6951
AM,16756,20786
AP,2629,3207
BA,52370,38177
CE,7436,12620
DF,2999,4070
ES,2582,2254
GO,5178,4601
MA,20429,13225
MG,16598,34387
MS,4621,6171
MT,2965,13599
PA,41265,35960
PB,12330,8374
PE,12316,4726
PI,6032,9113
PR,5984,12247
RJ,19421,33120
RN,9495,9364
RO,2981,3465
RR,2004,1668
RS,12054,17784
SC,3148,12239
SE,6462,4749
SP,21476,31464
TO,2138,2619
